Instance,Run,Objective,Runtime
1,1,182,0.159245
2,1,243,0.155365
3,1,232,0.158455
4,1,331,0.175579
5,1,204,0.162222
6,1,285,0.164879
7,1,254,0.171325
8,1,221,0.159931
9,1,253,0.160608
10,1,286,0.164742
11,1,212,0.158155
12,1,161,0.164672
13,1,179,0.168189
14,1,249,0.161907
15,1,266,0.165615
16,1,190,0.170832
17,1,175,0.166181
18,1,164,0.182698
19,1,238,0.21553
20,1,206,0.167949
21,1,143,0.153837
22,1,252,0.164538
23,1,137,0.155289
24,1,135,0.155777
25,1,148,0.157916
26,1,246,0.173471
27,1,141,0.156156
28,1,126,0.155094
29,1,194,0.170336
30,1,143,0.191814
31,1,230,0.160531
32,1,247,0.155236
33,1,273,0.158568
34,1,202,0.154959
35,1,248,0.158856
36,1,310,0.168719
37,1,205,0.159812
38,1,210,0.165803
39,1,226,0.16169
40,1,191,0.165095
41,1,147,0.184862
42,1,181,0.17594
43,1,159,0.167771
44,1,183,0.175682
45,1,179,0.186812
46,1,225,0.180948
47,1,327,0.169914
48,1,223,0.17484
49,1,158,0.165458
50,1,171,0.16557
51,1,225,0.162496
52,1,192,0.209184
53,1,113,0.169873
54,1,182,0.237318
55,1,202,0.174329
56,1,118,0.193011
57,1,93,0.191688
58,1,119,0.170206
59,1,182,0.170131
60,1,188,0.189928
61,1,1041,0.213642
62,1,857,0.188902
63,1,1376,0.213905
64,1,661,0.178612
65,1,673,0.176679
66,1,865,0.183043
67,1,1346,0.227232
68,1,659,0.18917
69,1,1523,0.188385
70,1,720,0.199519
71,1,779,0.229113
72,1,913,0.212705
73,1,902,0.210144
74,1,735,0.181209
75,1,549,0.191873
76,1,584,0.298229
77,1,596,0.230161
78,1,681,0.248019
79,1,684,0.207455
80,1,541,0.192176
81,1,808,0.246891
82,1,750,0.198617
83,1,720,0.192644
84,1,698,0.265092
85,1,619,0.303204
86,1,598,0.252859
87,1,789,0.243868
88,1,1206,0.238225
89,1,839,0.264363
90,1,785,0.179547
91,1,1413,0.223977
92,1,898,0.199625
93,1,858,0.250712
94,1,855,0.310827
95,1,961,0.311813
96,1,526,0.311634
97,1,2060,0.320456
98,1,940,0.300801
99,1,937,0.314737
100,1,666,0.317493
101,1,839,0.330464
102,1,964,0.3145
103,1,975,0.389731
104,1,719,0.329981
105,1,729,0.344365
106,1,1046,0.330569
107,1,1027,0.347414
108,1,1159,0.351748
109,1,839,0.326794
110,1,1020,0.354844
111,1,618,0.313048
112,1,603,0.313559
113,1,822,0.334707
114,1,650,0.328117
115,1,687,0.328612
116,1,774,0.341488
117,1,348,0.329956
118,1,840,0.330215
119,1,539,0.367839
120,1,923,0.446867
121,1,452,0.371106
122,1,354,0.400739
123,1,187,0.363345
124,1,404,0.381738
125,1,269,0.353912
126,1,306,0.37433
127,1,391,0.361127
128,1,267,0.357561
129,1,377,0.377253
130,1,300,0.392279
131,1,388,0.376914
132,1,201,0.409625
133,1,261,0.384492
134,1,249,0.423294
135,1,191,0.375365
136,1,391,0.369216
137,1,295,0.38522
138,1,303,0.374612
139,1,309,0.38068
140,1,292,0.380243
141,1,228,0.405034
142,1,184,0.394586
143,1,318,0.424431
144,1,294,0.424399
145,1,202,0.46669
146,1,293,0.420165
147,1,137,0.394327
148,1,204,0.395848
149,1,184,0.435518
150,1,291,0.423961
151,1,251,0.393528
152,1,368,0.379819
153,1,410,0.379936
154,1,243,0.402621
155,1,289,0.39828
156,1,362,0.392444
157,1,353,0.376969
158,1,335,0.379011
159,1,450,0.390291
160,1,378,0.398088
161,1,206,0.386142
162,1,281,0.3794
163,1,195,0.392482
164,1,276,0.401432
165,1,197,0.403086
166,1,328,0.390951
167,1,264,0.371428
168,1,223,0.382629
169,1,305,0.413587
170,1,313,0.395954
171,1,146,0.398229
172,1,282,0.418269
173,1,235,0.37281
174,1,233,0.416074
175,1,211,0.397458
176,1,164,0.395815
177,1,223,0.413907
178,1,244,0.407638
179,1,223,0.382077
180,1,286,0.390644
181,1,1826,0.422278
182,1,1121,0.444056
183,1,1804,0.393234
184,1,1743,0.397308
185,1,2690,0.402669
186,1,1745,0.40008
187,1,1643,0.412646
188,1,1890,0.407155
189,1,2326,0.401373
190,1,2146,0.404031
191,1,1200,0.415717
192,1,1607,0.40481
193,1,1177,0.419181
194,1,1461,0.422207
195,1,819,0.397212
196,1,2190,0.416988
197,1,1287,0.423323
198,1,1662,0.4141
199,1,1633,0.435043
200,1,1161,0.399709
201,1,1160,0.426999
202,1,1395,0.42518
203,1,1432,0.435761
204,1,1219,0.420814
205,1,1772,0.423609
206,1,769,0.419706
207,1,1865,0.428192
208,1,829,0.421774
209,1,750,0.412861
210,1,560,0.409253
211,1,1450,0.39899
212,1,2381,0.422578
213,1,1187,0.40981
214,1,2183,0.428794
215,1,2021,0.423288
216,1,1921,0.441216
217,1,1853,0.431515
218,1,1420,0.421114
219,1,2375,0.46632
220,1,1511,0.422708
221,1,1432,0.431329
222,1,1003,0.446296
223,1,905,0.445785
224,1,1438,0.460488
225,1,1189,0.416084
226,1,1034,0.437455
227,1,1695,0.479971
228,1,1023,0.450151
229,1,2124,0.432207
230,1,882,0.443528
231,1,1230,0.438941
232,1,968,0.414004
233,1,912,0.426351
234,1,1355,0.441316
235,1,1429,0.444707
236,1,974,0.432922
237,1,972,0.447358
238,1,1138,0.444526
239,1,1251,0.438673
240,1,1563,0.430263
241,1,585,0.471558
242,1,700,0.495211
243,1,352,0.517072
244,1,443,0.51622
245,1,572,0.503645
246,1,395,0.478552
247,1,518,0.527926
248,1,485,0.513044
249,1,491,0.480911
250,1,504,0.467706
251,1,425,0.494434
252,1,406,0.48306
253,1,332,0.498284
254,1,277,0.480907
255,1,420,0.484236
256,1,472,0.490132
257,1,550,0.522299
258,1,263,0.468587
259,1,430,0.504735
260,1,365,0.489783
261,1,342,0.485618
262,1,230,0.481339
263,1,479,0.509304
264,1,338,0.532487
265,1,322,0.50522
266,1,338,0.505624
267,1,402,0.545815
268,1,280,0.523666
269,1,336,0.528861
270,1,219,0.496188
271,1,486,0.4634
272,1,453,0.465916
273,1,724,0.483594
274,1,418,0.489066
275,1,666,0.499349
276,1,324,0.501975
277,1,752,0.488465
278,1,476,0.478408
279,1,340,0.486212
280,1,285,0.454394
281,1,207,0.50926
282,1,437,0.731877
283,1,611,0.494289
284,1,498,0.567775
285,1,314,0.515107
286,1,257,0.526551
287,1,307,0.497933
288,1,482,0.512384
289,1,329,0.508395
290,1,308,0.518694
291,1,172,0.545672
292,1,361,0.527012
293,1,314,0.518952
294,1,323,0.572357
295,1,295,0.548737
296,1,495,0.567685
297,1,276,0.501236
298,1,382,0.519966
299,1,388,0.507088
300,1,354,0.496226
301,1,2222,0.540098
302,1,1660,0.503771
303,1,2273,0.528737
304,1,2253,0.529618
305,1,2880,0.536735
306,1,1537,0.515755
307,1,1712,0.569491
308,1,2106,0.639365
309,1,2206,0.531112
310,1,2867,0.522635
311,1,2048,0.538216
312,1,2211,0.547822
313,1,655,0.511468
314,1,1472,0.536284
315,1,1280,0.52817
316,1,1950,0.544894
317,1,2372,0.565313
318,1,1585,0.545578
319,1,1079,0.510171
320,1,2054,0.596286
321,1,1899,0.547544
322,1,1400,0.580332
323,1,1743,0.595493
324,1,2016,0.622872
325,1,1642,0.590057
326,1,1775,0.596252
327,1,1538,0.580155
328,1,1786,0.620969
329,1,1443,0.60366
330,1,1776,0.595315
331,1,1595,0.567473
332,1,1657,0.619715
333,1,2555,0.578371
334,1,2225,0.608742
335,1,2926,0.587923
336,1,1903,0.570971
337,1,1250,0.607251
338,1,2405,0.569808
339,1,3368,0.591974
340,1,1618,0.60561
341,1,1727,0.590082
342,1,1764,0.572757
343,1,1493,0.599991
344,1,1631,0.54906
345,1,1081,0.594053
346,1,1621,0.573857
347,1,1552,0.546023
