Instance,Run,Objective,Runtime
1,1,182,0.168944
2,1,243,0.167976
3,1,232,0.172516
4,1,331,0.166659
5,1,204,0.143771
6,1,285,0.174321
7,1,254,0.178505
8,1,221,0.169203
9,1,253,0.172642
10,1,286,0.175732
11,1,212,0.1725
12,1,161,0.1347
13,1,179,0.136109
14,1,249,0.171759
15,1,266,0.153901
16,1,190,0.140105
17,1,175,0.134316
18,1,164,0.133394
19,1,238,0.167845
20,1,206,0.167329
21,1,143,0.132801
22,1,252,0.141403
23,1,137,0.130811
24,1,135,0.128652
25,1,148,0.132309
26,1,246,0.137186
27,1,141,0.12981
28,1,126,0.135751
29,1,194,0.136463
30,1,143,0.135012
31,1,230,0.161064
32,1,247,0.160462
33,1,273,0.162818
34,1,202,0.158791
35,1,248,0.175763
36,1,310,0.175719
37,1,205,0.165807
38,1,210,0.167589
39,1,226,0.161565
40,1,191,0.165876
41,1,147,0.131889
42,1,181,0.136769
43,1,159,0.134211
44,1,183,0.159431
45,1,179,0.134151
46,1,225,0.13689
47,1,327,0.170379
48,1,223,0.169681
49,1,158,0.131284
50,1,171,0.136502
51,1,225,0.13425
52,1,192,0.136185
53,1,113,0.131225
54,1,182,0.13183
55,1,202,0.134389
56,1,118,0.145532
57,1,93,0.125073
58,1,119,0.129313
59,1,182,0.137668
60,1,188,0.131256
61,1,1041,0.191002
62,1,857,0.190209
63,1,1376,0.181148
64,1,661,0.167579
65,1,673,0.181174
66,1,865,0.186805
67,1,1346,0.193193
68,1,659,0.149008
69,1,1523,0.189719
70,1,720,0.186657
71,1,779,0.147581
72,1,913,0.186818
73,1,902,0.155893
74,1,735,0.1504
75,1,549,0.147649
76,1,584,0.151229
77,1,596,0.146646
78,1,681,0.149532
79,1,684,0.150796
80,1,541,0.144327
81,1,808,0.148392
82,1,750,0.142954
83,1,720,0.147047
84,1,698,0.146509
85,1,619,0.146751
86,1,598,0.147155
87,1,789,0.162549
88,1,1206,0.156226
89,1,839,0.174834
90,1,785,0.157945
91,1,1413,0.195744
92,1,898,0.179665
93,1,858,0.152369
94,1,855,0.195716
95,1,961,0.176778
96,1,526,0.151667
97,1,2060,0.194816
98,1,940,0.191241
99,1,937,0.188167
100,1,666,0.150598
101,1,839,0.147307
102,1,964,0.150785
103,1,975,0.151097
104,1,719,0.152974
105,1,729,0.150047
106,1,1046,0.157696
107,1,1027,0.15266
108,1,1159,0.152967
109,1,839,0.151831
110,1,1020,0.190215
111,1,618,0.152471
112,1,603,0.146351
113,1,822,0.14609
114,1,650,0.14882
115,1,687,0.15227
116,1,774,0.148242
117,1,348,0.142583
118,1,840,0.15029
119,1,539,0.145694
120,1,923,0.153159
121,1,452,0.223869
122,1,354,0.394886
123,1,187,0.37919
124,1,404,0.39841
125,1,269,0.415474
126,1,306,0.420729
127,1,391,0.39629
128,1,267,0.419009
129,1,377,0.4378
130,1,300,0.368665
131,1,388,0.34739
132,1,201,0.263041
133,1,261,0.188944
134,1,249,0.187388
135,1,191,0.199202
136,1,391,0.217493
137,1,295,0.201247
138,1,303,0.244349
139,1,309,0.217147
140,1,292,0.186809
141,1,228,0.201522
142,1,184,0.186368
143,1,318,0.184816
144,1,294,0.182782
145,1,202,0.244846
146,1,293,0.233876
147,1,137,0.2018
148,1,204,0.181304
149,1,184,0.204298
150,1,291,0.223684
151,1,251,0.199228
152,1,368,0.20648
153,1,410,0.208745
154,1,243,0.24867
155,1,289,0.1876
156,1,362,0.245557
157,1,353,0.243622
158,1,335,0.218174
159,1,450,0.26306
160,1,378,0.224067
161,1,206,0.201053
162,1,281,0.197282
163,1,195,0.210961
164,1,276,0.197233
165,1,197,0.215518
166,1,328,0.328994
167,1,264,0.352296
168,1,223,0.29181
169,1,305,0.294785
170,1,313,0.306465
171,1,146,0.275831
172,1,282,0.238674
173,1,235,0.188151
174,1,233,0.221929
175,1,211,0.200727
176,1,164,0.224802
177,1,223,0.214877
178,1,244,0.220534
179,1,223,0.231402
180,1,286,0.24561
181,1,1826,0.269401
182,1,1121,0.232952
183,1,1804,0.357887
184,1,1743,0.346007
185,1,2690,0.34315
186,1,1745,0.364627
187,1,1643,0.239209
188,1,1890,0.261495
189,1,2326,0.250751
190,1,2146,0.292834
191,1,1200,0.246116
192,1,1607,0.320268
193,1,1177,0.235988
194,1,1461,0.259228
195,1,819,0.207762
196,1,2190,0.300201
197,1,1287,0.206207
198,1,1662,0.254908
199,1,1633,0.248497
200,1,1161,0.267023
201,1,1160,0.216701
202,1,1395,0.263725
203,1,1432,0.265048
204,1,1219,0.22327
205,1,1772,0.259159
206,1,769,0.24991
207,1,1865,0.261274
208,1,829,0.203034
209,1,750,0.223909
210,1,560,0.236033
211,1,1450,0.239705
212,1,2381,0.293806
213,1,1187,0.249793
214,1,2183,0.273863
215,1,2021,0.354866
216,1,1921,0.332153
217,1,1853,0.303892
218,1,1420,0.290066
219,1,2375,0.329538
220,1,1511,0.348039
221,1,1432,0.33954
222,1,1003,0.316175
223,1,905,0.300127
224,1,1438,0.279094
225,1,1189,0.38008
226,1,1034,0.240864
227,1,1695,0.277706
228,1,1023,0.228496
229,1,2124,0.255266
230,1,882,0.254233
231,1,1230,0.281611
232,1,968,0.230605
233,1,912,0.249204
234,1,1355,0.243008
235,1,1429,0.233852
236,1,974,0.251222
237,1,972,0.243771
238,1,1138,0.21183
239,1,1251,0.230187
240,1,1563,0.238595
241,1,585,0.31549
242,1,700,0.359665
243,1,352,0.418706
244,1,443,0.424527
245,1,572,0.422474
246,1,395,0.36599
247,1,518,0.34286
248,1,485,0.305601
249,1,491,0.332765
250,1,504,0.317307
251,1,425,0.267579
252,1,406,0.244979
253,1,332,0.241897
254,1,277,0.260032
255,1,420,0.242498
256,1,472,0.244984
257,1,550,0.250686
258,1,263,0.234939
259,1,430,0.248138
260,1,365,0.318238
261,1,342,0.248234
262,1,230,0.268132
263,1,479,0.28673
264,1,338,0.242282
265,1,322,0.25056
266,1,338,0.275219
267,1,402,0.250756
268,1,280,0.253059
269,1,336,0.309279
270,1,219,0.241012
271,1,486,0.33439
272,1,453,0.291409
273,1,724,0.332543
274,1,418,0.360953
275,1,666,0.309013
276,1,324,0.381151
277,1,752,0.315361
278,1,476,0.301417
279,1,340,0.324997
280,1,285,0.297409
281,1,207,0.239279
282,1,437,0.268173
283,1,611,0.24804
284,1,498,0.273388
285,1,314,0.243633
286,1,257,0.30811
287,1,307,0.273651
288,1,482,0.356667
289,1,329,0.279324
290,1,308,0.294765
291,1,172,0.257432
292,1,361,0.256939
293,1,314,0.243496
294,1,323,0.25808
295,1,295,0.244996
296,1,495,0.250947
297,1,276,0.265466
298,1,382,0.285053
299,1,388,0.246581
300,1,354,0.256478
301,1,2222,0.32195
302,1,1660,0.341201
303,1,2273,0.341363
304,1,2253,0.388366
305,1,2880,0.317179
306,1,1537,0.316817
307,1,1712,0.310013
308,1,2106,0.367142
309,1,2206,0.33757
310,1,2867,0.326962
311,1,2048,0.305405
312,1,2211,0.285903
313,1,655,0.247388
314,1,1472,0.263313
315,1,1280,0.257553
316,1,1950,0.270167
317,1,2372,0.300261
318,1,1585,0.298728
319,1,1079,0.298732
320,1,2054,0.356672
321,1,1899,0.29442
322,1,1400,0.344671
323,1,1743,0.321972
324,1,2016,0.272034
325,1,1642,0.267527
326,1,1775,0.270138
327,1,1538,0.33064
328,1,1786,0.352238
329,1,1443,0.338402
330,1,1776,0.280419
331,1,1595,0.354706
332,1,1657,0.321233
333,1,2555,0.357446
334,1,2225,0.328355
335,1,2926,0.344136
336,1,1903,0.412346
337,1,1250,0.343551
338,1,2405,0.373784
339,1,3368,0.338897
340,1,1618,0.35815
341,1,1727,0.367124
342,1,1764,0.269764
343,1,1493,0.327139
344,1,1631,0.268976
345,1,1081,0.313713
346,1,1621,0.327822
347,1,1552,0.265073
348,1,2070,0.26735
349,1,1049,0.378505
350,1,1475,0.308084
351,1,1276,0.291667
352,1,1387,0.304142
353,1,1707,0.335793
354,1,1136,0.269764
355,1,1315,0.267479
356,1,1768,0.344119
357,1,1118,0.285414
358,1,1778,0.303769
359,1,1572,0.295962
360,1,1284,0.326012
361,1,100,0.159945
362,1,233,0.171528
363,1,191,0.174136
364,1,177,0.166438
365,1,208,0.165461
366,1,92,0.180057
367,1,197,0.184642
368,1,163,0.187406
369,1,263,0.200278
370,1,153,0.191218
371,1,163,0.160903
372,1,149,0.161657
373,1,171,0.159658
374,1,93,0.15506
375,1,229,0.167789
376,1,214,0.163384
377,1,120,0.169109
378,1,190,0.197895
379,1,179,0.161505
380,1,209,0.164999
381,1,156,0.159186
382,1,156,0.178112
383,1,109,0.191586
384,1,174,0.176529
385,1,102,0.183495
386,1,134,0.164932
387,1,210,0.158991
388,1,121,0.157676
389,1,138,0.158862
390,1,122,0.160395
391,1,272,0.164429
392,1,129,0.15748
393,1,134,0.163294
394,1,171,0.165967
395,1,159,0.174339
396,1,177,0.163609
397,1,210,0.16134
398,1,208,0.174545
399,1,152,0.161572
400,1,265,0.193876
401,1,159,0.17663
402,1,211,0.162455
403,1,148,0.15966
404,1,198,0.163989
405,1,111,0.182273
406,1,159,0.189294
407,1,165,0.168242
408,1,202,0.203604
409,1,180,0.198183
410,1,110,0.163293
411,1,86,0.15441
412,1,134,0.191411
413,1,132,0.173118
414,1,170,0.168081
415,1,109,0.15688
416,1,65,0.154845
417,1,163,0.164933
418,1,139,0.177033
419,1,109,0.15947
420,1,107,0.216176
421,1,1877,0.221635
422,1,1480,0.229851
423,1,1632,0.182287
424,1,1629,0.181653
425,1,483,0.225967
426,1,1068,0.250022
427,1,1045,0.182537
428,1,1163,0.196271
429,1,1017,0.224136
430,1,1166,0.216011
431,1,824,0.17915
432,1,843,0.187186
433,1,695,0.192471
434,1,584,0.189092
435,1,1096,0.199792
436,1,503,0.172597
437,1,443,0.173568
438,1,953,0.178904
439,1,414,0.179846
440,1,586,0.175699
441,1,938,0.180345
442,1,692,0.18181
443,1,819,0.188729
444,1,526,0.218155
445,1,512,0.215127
446,1,388,0.173614
447,1,609,0.184513
448,1,577,0.183143
449,1,365,0.172859
450,1,446,0.174352
451,1,592,0.17374
452,1,847,0.182301
453,1,1274,0.184203
454,1,506,0.204369
455,1,861,0.234721
456,1,1063,0.249048
457,1,577,0.217111
458,1,838,0.218876
459,1,1164,0.21678
460,1,1367,0.186183
461,1,614,0.212324
462,1,650,0.17118
463,1,686,0.176207
464,1,765,0.179865
465,1,558,0.178023
466,1,784,0.178609
467,1,495,0.178081
468,1,826,0.200314
469,1,545,0.179004
470,1,446,0.170507
471,1,678,0.189421
472,1,782,0.17784
473,1,415,0.170141
474,1,645,0.192404
475,1,715,0.234318
476,1,839,0.218994
477,1,409,0.183191
478,1,698,0.188915
479,1,465,0.179027
480,1,457,0.234392
481,1,407,0.211136
482,1,349,0.186793
483,1,316,0.220694
484,1,188,0.208922
485,1,178,0.215952
486,1,197,0.189986
487,1,159,0.195391
488,1,245,0.189489
489,1,421,0.172989
490,1,332,0.183978
491,1,245,0.182199
492,1,144,0.187253
493,1,180,0.192515
494,1,180,0.18186
495,1,299,0.246396
496,1,186,0.236889
497,1,295,0.215746
498,1,172,0.192725
499,1,184,0.240061
500,1,189,0.24559
501,1,172,0.220149
502,1,199,0.20352
503,1,216,0.219933
504,1,129,0.178959
505,1,142,0.186524
506,1,120,0.177224
507,1,220,0.224723
508,1,153,0.226546
509,1,242,0.218553
510,1,212,0.229101
511,1,245,0.241025
512,1,387,0.193544
513,1,429,0.180284
514,1,404,0.255393
515,1,194,0.216683
516,1,420,0.2139
517,1,290,0.202844
518,1,293,0.185586
519,1,188,0.187774
520,1,332,0.180451
521,1,252,0.188065
522,1,179,0.240758
523,1,178,0.179704
524,1,181,0.180933
525,1,246,0.187234
526,1,121,0.195603
527,1,186,0.225437
528,1,161,0.186195
529,1,260,0.218077
530,1,227,0.177939
531,1,229,0.236978
532,1,199,0.225923
533,1,247,0.201067
534,1,234,0.201512
535,1,209,0.184592
536,1,132,0.188033
537,1,181,0.213937
538,1,193,0.209577
539,1,259,0.231409
540,1,240,0.230013
541,1,1044,0.237612
542,1,1073,0.21406
543,1,1598,0.238098
544,1,1575,0.214873
545,1,1516,0.202611
546,1,902,0.250565
547,1,1956,0.213773
548,1,1424,0.247129
549,1,1312,0.238419
550,1,1501,0.198307
551,1,844,0.21149
552,1,621,0.241725
553,1,1382,0.21462
554,1,1252,0.202752
555,1,958,0.208796
556,1,1053,0.207413
557,1,1178,0.201291
558,1,724,0.207908
559,1,1342,0.210335
560,1,1431,0.251053
561,1,796,0.251876
562,1,1337,0.233926
