Instance,test_id,obj_original,obj_ISA,gap_ISA_minus_original,ratio_ISA_over_original,runtime_ISA,file,n_rows,lower_cost,upper_cost,
1,T_1,182,182,0,1,0.159245,I_1_10.xls,20,74,152,EQUAL
2,T_2,243,243,0,1,0.155365,I_1_10.xls,20,344,391,EQUAL
3,T_3,232,232,0,1,0.158455,I_1_10.xls,20,84,234,EQUAL
4,T_4,331,331,0,1,0.175579,I_1_10.xls,20,102,264,EQUAL
5,T_5,204,204,0,1,0.162222,I_1_10.xls,20,160,304,EQUAL
6,T_6,285,285,0,1,0.164879,I_1_10.xls,20,202,258,EQUAL
7,T_7,254,254,0,1,0.171325,I_1_10.xls,20,348,394,EQUAL
8,T_8,221,221,0,1,0.159931,I_1_10.xls,20,84,130,EQUAL
9,T_9,253,253,0,1,0.160608,I_1_10.xls,20,261,309,EQUAL
10,T_10,286,286,0,1,0.164742,I_1_10.xls,20,372,422,EQUAL
11,T_11,212,212,0,1,0.158155,I_11_20.xls,20,89,233,EQUAL
12,T_12,161,161,0,1,0.164672,I_11_20.xls,20,164,210,EQUAL
13,T_13,179,179,0,1,0.168189,I_11_20.xls,20,80,256,EQUAL
14,T_14,249,249,0,1,0.161907,I_11_20.xls,20,104,275,EQUAL
15,T_15,266,266,0,1,0.165615,I_11_20.xls,20,110,350,EQUAL
16,T_16,190,190,0,1,0.170832,I_11_20.xls,20,228,310,EQUAL
17,T_17,175,175,0,1,0.166181,I_11_20.xls,20,80,215,EQUAL
18,T_18,164,164,0,1,0.182698,I_11_20.xls,20,234,276,EQUAL
19,T_19,238,238,0,1,0.21553,I_11_20.xls,20,396,450,EQUAL
20,T_20,206,206,0,1,0.167949,I_11_20.xls,20,88,186,EQUAL
21,T_21,143,143,0,1,0.153837,I_21_30.xls,20,234,318,EQUAL
22,T_22,252,252,0,1,0.164538,I_21_30.xls,20,234,426,EQUAL
23,T_23,137,137,0,1,0.155289,I_21_30.xls,20,76,158,EQUAL
24,T_24,135,135,0,1,0.155777,I_21_30.xls,20,192,226,EQUAL
25,T_25,148,148,0,1,0.157916,I_21_30.xls,20,79,169,EQUAL
26,T_26,246,246,0,1,0.173471,I_21_30.xls,20,111,351,EQUAL
27,T_27,141,141,0,1,0.156156,I_21_30.xls,20,162,254,EQUAL
28,T_28,126,126,0,1,0.155094,I_21_30.xls,20,136,216,EQUAL
29,T_29,194,194,0,1,0.170336,I_21_30.xls,20,276,376,EQUAL
30,T_30,144,143,-1,0.993055556,0.191814,I_21_30.xls,20,138,174,BETTER
31,T_31,230,230,0,1,0.160531,I_31_40.xls,20,77,455,EQUAL
32,T_32,247,247,0,1,0.155236,I_31_40.xls,20,445,545,EQUAL
33,T_33,273,273,0,1,0.158568,I_31_40.xls,20,485,697,EQUAL
34,T_34,202,202,0,1,0.154959,I_31_40.xls,20,207,435,EQUAL
35,T_35,248,248,0,1,0.158856,I_31_40.xls,20,188,396,EQUAL
36,T_36,310,310,0,1,0.168719,I_31_40.xls,20,206,380,EQUAL
37,T_37,205,205,0,1,0.159812,I_31_40.xls,20,380,420,EQUAL
38,T_38,210,210,0,1,0.165803,I_31_40.xls,20,249,494,EQUAL
39,T_39,226,226,0,1,0.16169,I_31_40.xls,20,77,371,EQUAL
40,T_40,191,191,0,1,0.165095,I_31_40.xls,20,320,460,EQUAL
41,T_41,147,147,0,1,0.184862,I_41_50.xls,20,560,599,EQUAL
42,T_42,181,181,0,1,0.17594,I_41_50.xls,20,240,372,EQUAL
43,T_43,159,159,0,1,0.167771,I_41_50.xls,20,219,299,EQUAL
44,T_44,183,183,0,1,0.175682,I_41_50.xls,20,462,544,EQUAL
45,T_45,179,179,0,1,0.186812,I_41_50.xls,20,168,309,EQUAL
46,T_46,225,225,0,1,0.180948,I_41_50.xls,20,588,792,EQUAL
47,T_47,327,327,0,1,0.169914,I_41_50.xls,20,127,610,EQUAL
48,T_48,223,223,0,1,0.17484,I_41_50.xls,20,92,239,EQUAL
49,T_49,158,158,0,1,0.165458,I_41_50.xls,20,385,428,EQUAL
50,T_50,171,171,0,1,0.16557,I_41_50.xls,20,234,369,EQUAL
51,T_51,225,225,0,1,0.162496,I_51_60.xls,20,742,799,EQUAL
52,T_52,192,192,0,1,0.209184,I_51_60.xls,20,94,406,EQUAL
53,T_53,113,113,0,1,0.169873,I_51_60.xls,20,67,436,EQUAL
54,T_54,182,182,0,1,0.237318,I_51_60.xls,20,680,725,EQUAL
55,T_55,202,202,0,1,0.174329,I_51_60.xls,20,768,822,EQUAL
56,T_56,118,118,0,1,0.193011,I_51_60.xls,20,276,314,EQUAL
57,T_57,93,93,0,1,0.191688,I_51_60.xls,20,300,384,EQUAL
58,T_58,119,119,0,1,0.170206,I_51_60.xls,20,120,358,EQUAL
59,T_59,182,182,0,1,0.170131,I_51_60.xls,20,267,459,EQUAL
60,T_60,188,188,0,1,0.189928,I_51_60.xls,20,186,342,EQUAL
61,T_61,1041,1041,0,1,0.213642,I_61_70.xls,20,400,627,EQUAL
62,T_62,857,857,0,1,0.188902,I_61_70.xls,20,708,1299,EQUAL
63,T_63,1376,1376,0,1,0.213905,I_61_70.xls,20,469,713,EQUAL
64,T_64,661,661,0,1,0.178612,I_61_70.xls,20,1610,1610,EQUAL
65,T_65,673,673,0,1,0.176679,I_61_70.xls,20,1100,1267,EQUAL
66,T_66,865,865,0,1,0.183043,I_61_70.xls,20,326,696,EQUAL
67,T_67,1598,1346,-252,0.842302879,0.227232,I_61_70.xls,20,1314,1548,BETTER
68,T_68,659,659,0,1,0.18917,I_61_70.xls,20,299,663,EQUAL
69,T_69,1523,1523,0,1,0.188385,I_61_70.xls,20,515,802,EQUAL
70,T_70,720,720,0,1,0.199519,I_61_70.xls,20,668,1286,EQUAL
71,T_71,779,779,0,1,0.229113,I_71_80.xls,20,384,1212,EQUAL
72,T_72,913,913,0,1,0.212705,I_71_80.xls,20,1242,1706,EQUAL
73,T_73,902,902,0,1,0.210144,I_71_80.xls,20,440,1199,EQUAL
74,T_74,735,735,0,1,0.181209,I_71_80.xls,20,740,1170,EQUAL
