Instance,Run,Objective,Runtime
1,1,182.0,0.094665
2,1,243.0,0.090995
3,1,232.0,0.097454
4,1,331.0,0.09331
5,1,204.0,0.098237
6,1,285.0,0.098861
7,1,254.0,0.096318
8,1,221.0,0.092976
9,1,253.0,0.09754
10,1,286.0,0.097241
11,1,212.0,0.100266
12,1,161.0,0.107091
13,1,179.0,0.103274
14,1,249.0,0.099433
15,1,266.0,0.100308
16,1,190.0,0.10582
17,1,175.0,0.101261
18,1,164.0,0.099788
19,1,238.0,0.10453
20,1,206.0,0.101236
21,1,143.0,0.098387
22,1,252.0,0.105871
23,1,137.0,0.101503
24,1,135.0,0.106495
25,1,148.0,0.118025
26,1,246.0,0.191416
27,1,141.0,0.184005
28,1,126.0,0.185563
29,1,194.0,0.186039
30,1,143.0,0.193564
31,1,230.0,0.166879
32,1,247.0,0.178913
33,1,273.0,0.172419
34,1,202.0,0.16132
35,1,248.0,0.179243
36,1,310.0,0.178603
37,1,205.0,0.17099
38,1,210.0,0.169863
39,1,226.0,0.208882
40,1,191.0,0.185326
41,1,147.0,0.195249
42,1,181.0,0.185469
43,1,159.0,0.178839
44,1,183.0,0.177557
45,1,179.0,0.185115
46,1,225.0,0.193028
47,1,327.0,0.197979
48,1,223.0,0.185211
49,1,158.0,0.178911
50,1,171.0,0.178115
51,1,225.0,0.187349
52,1,192.0,0.185363
53,1,113.0,0.184468
54,1,182.0,0.189989
55,1,202.0,0.176481
56,1,118.0,0.183385
57,1,93.0,0.181022
58,1,119.0,0.178637
59,1,182.0,0.186404
60,1,188.0,0.188368
61,1,1041.0,0.193551
62,1,857.0,0.210422
63,1,1376.0,0.19578
64,1,661.0,0.215134
65,1,673.0,0.194823
66,1,865.0,0.194339
67,1,1346.0,0.21052
68,1,659.0,0.200526
69,1,1523.0,0.191699
70,1,720.0,0.203652
71,1,779.0,0.196992
72,1,913.0,0.211785
73,1,902.0,0.202835
74,1,735.0,0.19924
75,1,549.0,0.190907
76,1,584.0,0.198541
77,1,596.0,0.199674
78,1,681.0,0.20197
79,1,684.0,0.222685
80,1,541.0,0.197032
81,1,808.0,0.201183
82,1,750.0,0.207937
83,1,720.0,0.200586
84,1,698.0,0.204505
85,1,619.0,0.200811
86,1,598.0,0.21075
87,1,789.0,0.231643
88,1,1206.0,0.223236
89,1,839.0,0.208299
90,1,785.0,0.202845
91,1,1413.0,0.196614
92,1,898.0,0.185428
93,1,858.0,0.196196
94,1,855.0,0.204935
95,1,961.0,0.188893
96,1,526.0,0.198845
97,1,2060.0,0.194277
98,1,940.0,0.192824
99,1,937.0,0.188419
100,1,666.0,0.195441
101,1,839.0,0.205606
102,1,964.0,0.228468
103,1,975.0,0.202478
104,1,719.0,0.200693
105,1,729.0,0.204024
106,1,1046.0,0.205497
107,1,1027.0,0.200762
108,1,1159.0,0.203103
109,1,839.0,0.199111
110,1,1020.0,0.197889
111,1,618.0,0.203666
112,1,603.0,0.206686
113,1,822.0,0.204151
114,1,650.0,0.197851
115,1,687.0,0.210678
