Instance,Run,Objective,Runtime
1,1,182,0.828017
2,1,243,0.780036
3,1,232,0.815836
4,1,331,0.845128
5,1,204,0.832014
6,1,285,0.879545
7,1,254,0.88627
8,1,221,0.8085
9,1,253,0.808988
10,1,286,0.827084
11,1,212,0.806468
12,1,161,0.73483
13,1,179,0.753662
14,1,249,0.807249
15,1,266,0.812653
16,1,190,0.777828
17,1,175,0.762012
18,1,164,0.768841
19,1,238,0.765321
20,1,206,0.791914
21,1,143,0.716917
22,1,252,0.779929
23,1,137,0.79204
24,1,135,0.754069
25,1,148,0.871224
26,1,246,0.922799
27,1,141,0.887549
28,1,126,0.904513
29,1,194,0.829807
30,1,143,0.792566
31,1,230,0.775961
32,1,247,0.793489
33,1,273,0.802204
34,1,202,0.874147
35,1,248,0.868002
36,1,310,0.829572
37,1,205,0.798298
38,1,210,0.802174
39,1,226,0.784533
40,1,191,0.766699
41,1,147,0.756752
42,1,181,0.803209
43,1,159,0.744118
44,1,183,0.879057
45,1,179,0.814289
46,1,225,0.837918
47,1,327,0.875991
48,1,223,0.848219
49,1,158,0.775721
50,1,171,0.763829
51,1,225,0.78545
52,1,192,0.749976
53,1,113,0.743108
54,1,182,0.749111
55,1,202,0.736114
56,1,118,0.750163
57,1,93,0.707089
58,1,119,0.719824
59,1,182,0.793908
60,1,188,0.782023
61,1,1041,0.923145
62,1,857,0.94937
63,1,1376,0.927064
64,1,661,0.87068
65,1,673,0.918694
66,1,865,0.897524
67,1,1346,0.916209
68,1,659,0.85617
69,1,1523,0.89367
70,1,720,0.893869
71,1,779,0.848315
72,1,913,0.866168
73,1,902,0.912126
74,1,735,0.874228
75,1,549,0.790552
76,1,584,0.881651
77,1,596,0.832252
78,1,681,0.865759
79,1,684,0.881363
80,1,541,0.834534
81,1,808,0.846572
82,1,750,0.822481
83,1,720,0.854349
84,1,698,0.831602
85,1,619,0.824987
86,1,598,0.822799
87,1,789,0.858479
88,1,1206,0.882411
89,1,839,0.846741
90,1,785,0.817104
91,1,1413,0.921933
92,1,898,0.899869
93,1,858,0.860278
94,1,855,0.978181
95,1,961,0.880945
96,1,526,0.845173
97,1,2060,0.90711
98,1,940,0.901242
99,1,937,0.900551
100,1,666,0.863716
101,1,839,0.887438
102,1,964,0.838849
103,1,975,0.858807
104,1,719,0.849228
105,1,729,0.861547
106,1,1046,0.880588
107,1,1027,0.928509
108,1,1159,0.876024
109,1,839,0.869306
110,1,1020,0.904253
111,1,618,0.814328
112,1,603,0.791935
113,1,822,0.819098
114,1,650,0.821249
115,1,687,0.803159
116,1,774,0.814475
117,1,348,0.787035
118,1,840,0.815314
119,1,539,0.797939
120,1,923,0.850759
121,1,452,1.06774
122,1,354,1.03042
123,1,187,0.961141
124,1,404,1.01482
125,1,269,0.975366
126,1,306,1.04015
127,1,391,1.04323
128,1,267,1.04701
129,1,377,1.03118
130,1,300,0.998586
131,1,388,1.05233
132,1,201,0.983377
133,1,261,1.00261
134,1,249,0.998644
135,1,191,0.979561
136,1,391,1.06114
137,1,295,1.04415
138,1,303,1.04588
139,1,309,1.04094
140,1,292,1.06361
141,1,228,1.02479
142,1,184,1.00262
143,1,318,1.03672
144,1,294,1.05588
145,1,202,1.01099
146,1,293,1.08904
147,1,137,1.02148
148,1,204,1.01189
149,1,184,1.04607
150,1,291,1.00125
151,1,251,0.965398
152,1,368,0.999597
153,1,410,1.00529
154,1,243,1.00329
155,1,289,1.01223
156,1,362,1.05984
157,1,353,1.0232
158,1,335,0.990657
159,1,450,1.0578
160,1,378,1.0305
161,1,206,1.07569
162,1,281,1.02512
163,1,195,0.99668
164,1,276,1.02052
165,1,197,0.984778
166,1,328,1.03357
167,1,264,1.02361
168,1,223,1.00205
169,1,305,1.01618
170,1,313,0.9977
171,1,146,1.005
172,1,282,0.990727
173,1,235,0.991098
174,1,233,1.00495
175,1,211,1.02668
176,1,164,0.975708
177,1,223,0.998396
178,1,244,0.989447
179,1,223,1.10658
180,1,286,1.07333
181,1,1826,1.21605
182,1,1121,1.14925
183,1,1804,1.18174
184,1,1743,1.16775
185,1,2690,1.19243
186,1,1745,1.22093
187,1,1643,1.13107
188,1,1890,1.13007
189,1,2326,1.15595
190,1,2146,1.16783
191,1,1200,1.14955
192,1,1607,1.1705
193,1,1177,1.14595
194,1,1461,1.15153
195,1,819,1.08936
196,1,2190,1.17918
197,1,1287,1.14315
198,1,1662,1.16545
199,1,1633,1.18407
200,1,1161,1.16999
201,1,1160,1.1503
202,1,1395,1.16259
203,1,1432,1.18084
204,1,1219,1.17335
205,1,1772,1.13846
206,1,769,1.09366
207,1,1865,1.15476
208,1,829,1.1409
209,1,750,1.10205
210,1,560,1.11787
211,1,1450,1.17341
212,1,2381,1.1712
213,1,1187,1.1294
214,1,2183,1.11429
215,1,2021,1.13451
216,1,1921,1.16743
217,1,1853,1.10899
218,1,1420,1.09121
219,1,2375,1.1355
220,1,1511,1.19512
221,1,1432,1.13959
222,1,1003,1.16293
223,1,905,1.08635
224,1,1438,1.10878
225,1,1189,1.11543
226,1,1034,1.08445
227,1,1695,1.17205
228,1,1023,1.09017
229,1,2124,1.18016
230,1,882,1.12958
231,1,1230,1.24179
232,1,968,1.21447
233,1,912,1.16849
234,1,1355,1.18159
235,1,1429,1.18803
236,1,974,1.1598
237,1,972,1.19666
238,1,1138,1.16031
239,1,1251,1.16678
240,1,1563,1.17761
241,1,585,1.44589
242,1,700,1.43745
243,1,352,1.38692
244,1,443,1.38824
245,1,572,1.37741
246,1,395,1.31279
247,1,518,1.33913
248,1,485,1.33733
249,1,491,1.33179
250,1,504,1.34806
251,1,425,1.29584
252,1,406,1.28856
253,1,332,1.29965
254,1,277,1.31887
255,1,420,1.31984
256,1,472,1.30377
257,1,550,1.32068
258,1,263,1.28205
259,1,430,1.39721
260,1,365,1.31607
261,1,342,1.32642
262,1,230,1.28397
263,1,479,1.34793
264,1,338,1.30689
265,1,322,1.31689
266,1,338,1.38054
267,1,402,1.30735
268,1,280,1.27975
269,1,336,1.29167
270,1,219,1.28759
271,1,486,1.3523
272,1,453,1.29443
273,1,724,1.35911
274,1,418,1.37468
275,1,666,1.35867
276,1,324,1.43338
277,1,752,1.36574
278,1,476,1.38561
279,1,340,1.34082
280,1,285,1.35463
281,1,207,1.31186
282,1,437,1.3315
283,1,611,1.39866
284,1,498,1.35817
285,1,314,1.3303
286,1,257,1.31595
287,1,307,1.30816
288,1,482,1.37529
289,1,329,1.35046
290,1,308,1.3291
291,1,172,1.31749
292,1,361,1.37032
293,1,314,1.35513
294,1,323,1.38247
295,1,295,1.38733
296,1,495,1.3912
297,1,276,1.34341
298,1,382,1.35267
299,1,388,1.352
300,1,354,1.37169
301,1,2222,1.5573
302,1,1660,1.51431
303,1,2273,1.55556
304,1,2253,1.67309
305,1,2880,1.53631
306,1,1537,1.51226
307,1,1712,1.60905
308,1,2106,1.65013
309,1,2206,1.53632
310,1,2867,1.52678
311,1,2048,1.50805
312,1,2211,1.48709
313,1,655,1.41188
314,1,1472,1.55272
315,1,1280,1.47826
316,1,1950,1.49604
317,1,2372,1.5069
318,1,1585,1.51953
319,1,1079,1.43278
320,1,2054,1.51893
321,1,1899,1.52294
322,1,1400,1.49563
323,1,1743,1.50761
324,1,2016,1.5385
325,1,1642,1.50673
326,1,1775,1.55448
327,1,1538,1.49377
328,1,1786,1.51529
329,1,1443,1.55516
330,1,1776,1.50624
331,1,1595,1.50517
332,1,1657,1.48522
333,1,2555,1.56897
334,1,2225,1.65027
335,1,2926,1.49726
336,1,1903,1.45028
337,1,1250,1.38897
338,1,2405,1.524
339,1,3368,1.45106
340,1,1618,1.41754
341,1,1727,1.47191
342,1,1764,1.4814
343,1,1493,1.43774
344,1,1631,1.56125
345,1,1081,1.38805
346,1,1621,1.46636
347,1,1552,1.40244
348,1,2070,1.4203
349,1,1049,1.46917
350,1,1475,1.4294
351,1,1276,1.44695
352,1,1387,1.44205
353,1,1707,1.44126
354,1,1136,1.43553
355,1,1315,1.42929
356,1,1768,1.48288
357,1,1118,1.44004
358,1,1778,1.47343
359,1,1572,1.51067
360,1,1284,1.4833
361,1,100,0.755049
362,1,233,0.841011
363,1,191,0.789524
364,1,177,0.77305
365,1,208,0.776156
366,1,92,0.76311
367,1,197,0.80889
368,1,163,0.783025
369,1,263,0.80221
370,1,153,0.765464
371,1,163,0.751981
372,1,149,0.740076
373,1,171,0.751631
374,1,93,0.714267
375,1,229,0.80626
376,1,214,0.793324
377,1,120,0.775325
378,1,190,0.787028
379,1,179,0.784903
380,1,209,0.796492
381,1,156,0.791079
382,1,156,0.741853
383,1,109,0.788138
384,1,174,0.806192
385,1,102,0.722938
386,1,134,0.757521
387,1,210,0.785438
388,1,121,0.760437
389,1,138,0.763434
390,1,122,0.739718
391,1,272,0.732833
392,1,129,0.72343
393,1,134,0.728742
394,1,171,0.817274
395,1,159,0.85573
396,1,177,0.756971
397,1,210,0.746532
398,1,208,0.7482
399,1,152,0.733863
400,1,265,0.792085
401,1,159,0.718792
402,1,211,0.75198
403,1,148,0.771142
404,1,198,0.753034
405,1,111,0.744991
406,1,159,0.746558
407,1,165,0.766907
408,1,202,0.758977
409,1,180,0.764627
410,1,110,0.720559
411,1,86,0.722164
412,1,134,0.725179
413,1,132,0.754651
414,1,170,0.731095
415,1,109,0.728949
416,1,65,0.694573
417,1,163,0.756371
418,1,139,0.731712
419,1,109,0.709656
420,1,107,0.755507
421,1,1877,0.872471
422,1,1480,0.873042
423,1,1632,0.81642
424,1,1629,0.85106
425,1,483,0.830017
426,1,1068,0.890875
427,1,1045,0.873681
428,1,1163,0.856343
429,1,1017,0.826357
430,1,1166,0.817441
431,1,824,0.829356
432,1,843,0.885897
433,1,695,0.914614
434,1,584,0.861092
435,1,1096,0.901142
436,1,503,0.839323
437,1,443,0.803338
438,1,953,0.850414
439,1,414,0.850946
440,1,586,0.866935
441,1,938,0.867391
442,1,692,0.84489
443,1,819,0.847702
444,1,526,0.823359
445,1,512,0.852719
446,1,388,0.812473
447,1,609,0.864752
448,1,577,0.876931
449,1,365,0.834275
450,1,446,0.826096
451,1,592,0.822483
452,1,847,0.853469
453,1,1274,0.880355
454,1,506,0.85412
455,1,861,0.870853
456,1,1063,0.863604
457,1,577,0.842454
458,1,838,0.86844
459,1,1164,0.867663
460,1,1367,0.8505
461,1,614,0.819465
462,1,650,0.824673
463,1,686,0.854378
464,1,765,0.825849
465,1,558,0.827262
466,1,784,0.83031
467,1,495,0.818082
468,1,826,0.858298
469,1,545,0.805282
470,1,446,0.769545
471,1,678,0.810944
472,1,782,0.849102
473,1,415,0.773798
474,1,645,0.801806
475,1,715,0.820704
476,1,839,0.841606
477,1,409,0.811257
478,1,698,0.844862
479,1,465,0.828838
480,1,457,0.838221
481,1,407,0.853422
482,1,349,0.873115
483,1,316,0.910254
484,1,188,0.898662
485,1,178,0.903608
486,1,197,0.906434
487,1,159,0.806193
488,1,245,0.876483
489,1,421,0.835304
490,1,332,0.852096
491,1,245,0.861009
492,1,144,0.843752
493,1,180,0.872807
494,1,180,0.845454
495,1,299,0.856654
496,1,186,0.854404
497,1,295,0.922453
498,1,172,0.920463
499,1,184,0.824544
500,1,189,0.835407
501,1,172,0.835956
502,1,199,0.935687
503,1,216,0.891979
504,1,129,0.880572
505,1,142,0.876338
506,1,120,0.869318
507,1,220,0.928284
508,1,153,0.889869
509,1,242,0.909976
510,1,212,0.904939
511,1,245,0.912798
512,1,387,0.845838
513,1,429,0.834314
514,1,404,0.953193
515,1,194,0.827953
516,1,420,0.844447
517,1,290,0.817639
518,1,293,0.910592
519,1,188,0.882979
520,1,332,0.833202
521,1,252,0.913756
522,1,179,0.827195
523,1,178,0.865682
524,1,181,0.884311
525,1,246,0.891514
526,1,121,0.823688
527,1,186,0.823872
528,1,161,0.86796
529,1,260,0.864074
530,1,227,0.920925
531,1,229,0.875865
532,1,199,0.86054
533,1,247,0.904463
534,1,234,0.864026
535,1,209,0.886059
536,1,132,0.831738
537,1,181,0.875797
538,1,193,0.865193
539,1,259,0.877693
540,1,240,0.893122
541,1,1044,0.92045
542,1,1073,0.931191
