Instance,Run,Objective,Runtime
1,1,182,1
1,2,182,1
1,3,182,1
1,4,182,1
1,5,182,1
1,6,182,1
1,7,182,1
1,8,182,1
1,9,182,1
1,10,182,1
2,1,243,1
2,2,243,1
2,3,243,1
2,4,243,1
2,5,243,1
2,6,243,1
2,7,243,1
2,8,243,1
2,9,243,1
2,10,243,1
3,1,232,1
3,2,232,1
3,3,232,1
3,4,232,1
3,5,232,1
3,6,232,1
3,7,232,1
3,8,232,1
3,9,232,1
3,10,232,1
4,1,331,1
4,2,331,1
4,3,331,1
4,4,331,1
4,5,331,1
4,6,331,1
4,7,331,1
4,8,331,1
4,9,331,1
4,10,331,1
5,1,204,1
5,2,204,1
5,3,204,1
5,4,204,1.00002
5,5,204,1
5,6,204,1
5,7,204,1
5,8,204,1
5,9,204,1
5,10,204,1
6,1,285,1
6,2,285,1
6,3,285,1.00001
6,4,285,1
6,5,285,1
6,6,285,1
6,7,285,1
6,8,285,1
6,9,285,1
6,10,285,1
7,1,254,1.00005
7,2,254,1
7,3,254,1
7,4,254,1
7,5,254,1
7,6,254,1
7,7,254,1
7,8,254,1
7,9,254,1
7,10,254,1
8,1,221,1
8,2,221,1
8,3,221,1
8,4,221,1
8,5,221,1
8,6,221,1
8,7,221,1
8,8,221,1
8,9,221,1.00005
8,10,221,1
9,1,253,1
9,2,253,1
9,3,253,1
9,4,253,1
9,5,253,1
9,6,253,1
9,7,253,1
9,8,253,1.00002
9,9,253,1
9,10,253,1
10,1,286,1
10,2,286,1
10,3,286,1
10,4,286,1
10,5,286,1
10,6,286,1.00001
10,7,286,1
10,8,286,1
10,9,286,1
10,10,286,1
11,1,212,1
11,2,212,1
11,3,212,1
11,4,212,1.00002
11,5,212,1
11,6,212,1
11,7,212,1
11,8,212,1
11,9,212,1
11,10,212,1
12,1,161,1
12,2,161,1
12,3,161,1
12,4,161,1
12,5,161,1
12,6,161,1.00001
12,7,161,1
12,8,161,1
12,9,161,1
12,10,161,1.00004
13,1,179,1
13,2,179,1
13,3,179,1.00013
