Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
1,1,182,0.200001,83137,2,8
1,2,182,0.200002,83441,2,8
1,3,182,0.200011,88577,2,8
1,4,182,0.200001,86958,2,8
1,5,182,0.200002,84910,2,8
1,6,182,0.200002,86346,2,8
1,7,182,0.200082,91503,2,8
1,8,182,0.200002,80613,2,8
1,9,182,0.200001,89539,2,8
1,10,182,0.2,87432,2,8
2,1,243,0.200003,90414,2,8
2,2,243,0.200001,89739,2,8
2,3,243,0.2,88582,2,8
2,4,243,0.200001,87606,2,8
2,5,243,0.200002,87132,2,8
2,6,243,0.200001,89777,2,8
2,7,243,0.200001,92640,2,8
2,8,243,0.200002,89299,2,8
2,9,243,0.200002,88460,2,8
2,10,243,0.2,86352,2,8
3,1,232,0.200001,79298,2,8
3,2,232,0.200001,85724,2,8
3,3,232,0.200002,81189,2,8
3,4,232,0.200002,83097,2,8
3,5,232,0.200002,85732,2,8
3,6,232,0.2,80823,2,8
3,7,232,0.200002,74980,2,8
3,8,232,0.200001,82539,2,8
3,9,232,0.200001,78065,2,8
3,10,232,0.200001,81270,2,8
4,1,331,0.200001,80315,2,8
4,2,331,0.200001,71235,2,8
4,3,331,0.200002,76439,2,8
4,4,331,0.200003,81430,2,8
4,5,331,0.2,65820,2,8
4,6,331,0.200001,71027,2,8
4,7,331,0.200007,75164,2,8
4,8,331,0.200004,80805,2,8
4,9,331,0.200004,58626,2,8
4,10,331,0.200001,71675,2,8
5,1,204,0.200001,70437,2,8
5,2,204,0.200002,81454,2,8
5,3,204,0.200001,66296,2,8
5,4,204,0.200002,62385,2,8
5,5,204,0.200001,80257,2,8
5,6,204,0.200001,81454,2,8
5,7,204,0.200001,80494,2,8
5,8,204,0.200001,75005,2,8
5,9,204,0.200002,78838,2,8
5,10,204,0.200002,72672,2,8
6,1,285,0.200002,87499,2,8
6,2,285,0.2,85352,2,8
6,3,285,0.200004,78631,2,8
6,4,285,0.200001,86634,2,8
6,5,285,0.200002,86267,2,8
6,6,285,0.200001,80741,2,8
6,7,285,0.200001,78266,2,8
6,8,285,0.200001,66058,2,8
6,9,285,0.200015,50768,2,8
6,10,285,0.200002,57806,2,8
7,1,254,0.200002,82678,2,8
7,2,254,0.200001,83812,2,8
7,3,254,0.200002,80781,2,8
7,4,254,0.200002,90440,2,8
7,5,254,0.200002,90748,2,8
7,6,254,0.2,80039,2,8
7,7,254,0.200002,72519,2,8
7,8,254,0.200003,47522,2,8
7,9,254,0.200004,54282,2,8
7,10,254,0.200003,54070,2,8
8,1,221,0.200001,59849,2,8
8,2,221,0.200001,55614,2,8
8,3,221,0.200001,77205,2,8
8,4,221,0.200003,66258,2,8
8,5,221,0.200002,69823,2,8
8,6,221,0.200004,78668,2,8
8,7,221,0.200001,86666,2,8
8,8,221,0.200003,80866,2,8
8,9,221,0.200002,77796,2,8
8,10,221,0.200002,78656,2,8
9,1,253,0.200002,74628,2,8
9,2,253,0.200001,76824,2,8
9,3,253,0.2,74644,2,8
9,4,253,0.200001,68789,2,8
9,5,253,0.200001,79446,2,8
9,6,253,0.200004,68595,2,8
9,7,253,0.200004,61692,2,8
9,8,253,0.200001,70665,2,8
9,9,253,0.200002,68107,2,8
9,10,253,0.200002,68648,2,8
10,1,286,0.200001,87809,2,8
10,2,286,0.200002,86706,2,8
10,3,286,0.200001,86803,2,8
10,4,286,0.200001,86069,2,8
10,5,286,0.200002,79662,2,8
10,6,286,0.200002,84995,2,8
10,7,286,0.200001,87925,2,8
10,8,286,0.2,80966,2,8
10,9,286,0.200001,66698,2,8
10,10,286,0.2,83271,2,8
11,1,212,0.200003,69977,2,8
11,2,212,0.2,80907,2,8
11,3,212,0.200003,74511,2,8
11,4,212,0.200004,88689,2,8
11,5,212,0.2,81148,2,8
11,6,212,0.200004,60362,2,8
11,7,212,0.200005,52895,2,8
11,8,212,0.200001,76331,2,8
11,9,212,0.200001,88710,2,8
11,10,212,0.200001,77905,2,8
12,1,161,0.200002,62460,2,8
12,2,161,0.200002,76362,2,8
12,3,161,0.200001,81519,2,8
12,4,161,0.200001,88826,2,8
12,5,161,0.200001,80923,2,8
12,6,161,0.200006,70523,2,8
12,7,161,0.2,85820,2,8
12,8,161,0.200002,89465,2,8
12,9,161,0.200001,88981,2,8
12,10,161,0.200002,88493,2,8
13,1,179,0.200002,89159,2,8
