Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_1,,1,1054449,5.000,43728
200_2000,N_N_1,,2,1043766,5.000,44175
200_2000,N_N_1,,3,1048995,5.000,44226
200_2000,N_N_1,,4,1049398,5.000,45448
200_2000,N_N_1,,5,1070405,5.000,45717
200_2000,N_N_1,,6,1056847,5.000,45843
200_2000,N_N_1,,7,1052420,5.000,45527
200_2000,N_N_1,,8,1049242,5.000,45744
200_2000,N_N_1,,9,1048255,5.000,46016
200_2000,N_N_1,,10,1056030,5.000,45615
200_2000,N_N_2,,1,1025211,5.000,45692
200_2000,N_N_2,,2,1023079,5.000,43614
200_2000,N_N_2,,3,1022113,5.000,44689
200_2000,N_N_2,,4,1015895,5.000,44514
200_2000,N_N_2,,5,1022686,5.000,44427
200_2000,N_N_2,,6,1016416,5.000,44761
200_2000,N_N_2,,7,1025265,5.000,44437
200_2000,N_N_2,,8,1029786,5.000,44299
200_2000,N_N_2,,9,1024330,5.000,44386
200_2000,N_N_2,,10,1027128,5.000,44400
200_2000,N_N_3,,1,505834,5.000,43983
200_2000,N_N_3,,2,504319,5.000,43656
200_2000,N_N_3,,3,503083,5.000,43956
200_2000,N_N_3,,4,505283,5.000,43099
200_2000,N_N_3,,5,503553,5.000,43796
200_2000,N_N_3,,6,505672,5.000,43932
200_2000,N_N_3,,7,504083,5.000,43711
200_2000,N_N_3,,8,504722,5.000,44239
200_2000,N_N_3,,9,503683,5.000,43752
200_2000,N_N_3,,10,504195,5.000,44071
200_2000,N_N_4,,1,4228514,5.000,44252
200_2000,N_N_4,,2,4147515,5.000,44690
200_2000,N_N_4,,3,4238555,5.000,44689
200_2000,N_N_4,,4,4145712,5.000,44923
200_2000,N_N_4,,5,4258339,5.000,44121
200_2000,N_N_4,,6,4039209,5.000,44538
200_2000,N_N_4,,7,4154124,5.000,43989
200_2000,N_N_4,,8,4273911,5.000,44375
200_2000,N_N_4,,9,4270496,5.000,44617
200_2000,N_N_4,,10,4245726,5.000,45018
200_2000,N_N_5,,1,7068636,5.000,44851
200_2000,N_N_5,,2,6919840,5.000,44849
200_2000,N_N_5,,3,7158508,5.000,44355
200_2000,N_N_5,,4,7139575,5.000,44171
200_2000,N_N_5,,5,7451040,5.001,44653
200_2000,N_N_5,,6,7105458,5.000,44784
200_2000,N_N_5,,7,7318642,5.000,44352
200_2000,N_N_5,,8,7042823,5.000,43783
200_2000,N_N_5,,9,7381297,5.000,44573
200_2000,N_N_5,,10,7363760,5.000,44176
200_2000,N_U_1,,1,640179,5.000,45350
200_2000,N_U_1,,2,641545,5.000,45436
200_2000,N_U_1,,3,639411,5.000,45265
200_2000,N_U_1,,4,641694,5.000,45111
200_2000,N_U_1,,5,640725,5.000,45204
200_2000,N_U_1,,6,642427,5.000,45669
200_2000,N_U_1,,7,640701,5.000,45291
200_2000,N_U_1,,8,642100,5.000,45057
200_2000,N_U_1,,9,642149,5.000,44969
200_2000,N_U_1,,10,642919,5.000,44763
200_2000,N_U_2,,1,731090,5.000,44951
200_2000,N_U_2,,2,732739,5.000,45007
200_2000,N_U_2,,3,730478,5.000,44584
200_2000,N_U_2,,4,727882,5.000,44759
200_2000,N_U_2,,5,733115,5.000,44967
200_2000,N_U_2,,6,726927,5.000,44786
200_2000,N_U_2,,7,729455,5.000,44961
200_2000,N_U_2,,8,730513,5.000,44921
200_2000,N_U_2,,9,727865,5.000,44715
200_2000,N_U_2,,10,728976,5.000,44845
200_2000,N_U_3,,1,691783,5.000,45014
200_2000,N_U_3,,2,689787,5.000,45022
200_2000,N_U_3,,3,690093,5.000,45033
200_2000,N_U_3,,4,689559,5.000,45131
200_2000,N_U_3,,5,689620,5.000,44943
200_2000,N_U_3,,6,690956,5.000,44870
200_2000,N_U_3,,7,691369,5.000,45142
200_2000,N_U_3,,8,692692,5.000,45026
200_2000,N_U_3,,9,691747,5.000,45360
200_2000,N_U_3,,10,690037,5.000,45108
200_2000,N_U_4,,1,1742645,5.000,45184
200_2000,N_U_4,,2,1746213,5.000,45204
200_2000,N_U_4,,3,1729575,5.000,44320
200_2000,N_U_4,,4,1767422,5.000,44521
200_2000,N_U_4,,5,1752422,5.000,44130
200_2000,N_U_4,,6,1711276,5.000,44784
200_2000,N_U_4,,7,1721655,5.000,44392
200_2000,N_U_4,,8,1719448,5.000,44522
200_2000,N_U_4,,9,1752729,5.000,44047
200_2000,N_U_4,,10,1736278,5.000,44506
200_2000,N_U_5,,1,720478,5.000,44687
200_2000,N_U_5,,2,723395,5.000,44704
200_2000,N_U_5,,3,719725,5.000,45202
200_2000,N_U_5,,4,722404,5.000,45316
200_2000,N_U_5,,5,724384,5.000,44740
200_2000,N_U_5,,6,721613,5.000,45338
200_2000,N_U_5,,7,722135,5.000,45408
200_2000,N_U_5,,8,723839,5.000,45397
200_2000,N_U_5,,9,718646,5.000,45335
200_2000,N_U_5,,10,720243,5.000,45253
200_2000,U_N_1,,1,889487,5.000,44318
200_2000,U_N_1,,2,886952,5.000,44868
200_2000,U_N_1,,3,889969,5.000,44856
200_2000,U_N_1,,4,884088,5.000,44966
200_2000,U_N_1,,5,880005,5.000,44955
200_2000,U_N_1,,6,883726,5.000,44754
200_2000,U_N_1,,7,890530,5.000,44762
200_2000,U_N_1,,8,881158,5.000,44726
200_2000,U_N_1,,9,888377,5.000,44834
