Folder,Instance,O3_Standard_obj_best,O3_Smart_obj_best,Tabu_obj_best,delta_Smart_obj_best,delta_Smart_obj_best_pct,verdict_Smart,delta_Tabu_obj_best,delta_Tabu_obj_best_pct,verdict_Tabu,O3_Standard_obj_avg,O3_Smart_obj_avg,Tabu_obj_avg,delta_Smart_obj_avg,delta_Smart_obj_avg_pct,delta_Tabu_obj_avg,delta_Tabu_obj_avg_pct,O3_Standard_runtime_avg,O3_Smart_runtime_avg,Tabu_runtime_avg
200_2000,N_N_1,1086753.0,1071018.0,1043766.0,-15735.0,-1.44789110313015,Better,-42987.0,-3.955544636177678,Better,1101801.0,1083534.5,1052980.7,-18266.5,-1.6578765130908395,-48820.30000000005,-4.4309544100976535,5.000100000000001,5.0,5.0
200_2000,N_N_2,1060421.0,1047969.0,1015895.0,-12452.0,-1.1742506042411458,Better,-44526.0,-4.198898362065632,Better,1074730.0,1066664.8,1023190.9,-8065.199999999953,-0.7504396453062586,-51539.09999999998,-4.79553934476566,5.0001,5.0,5.0
200_2000,N_N_3,549014.0,553488.0,503083.0,4474.0,0.814915466636552,Worse,-45931.0,-8.366089025052185,Better,577291.1,577885.1,504442.7,594.0,0.10289436299987997,-72848.39999999997,-12.619006251785272,5.0,5.0,5.0
200_2000,N_N_4,4475989.0,4260090.0,4039209.0,-215899.0,-4.823492640397463,Better,-436780.0,-9.758290290704467,Better,4591874.0,4477899.7,4200210.1,-113974.29999999981,-2.4820868342641766,-391663.9000000004,-8.529500156145406,5.0,5.0,5.0
200_2000,N_N_5,7911407.0,7132833.0,6919840.0,-778574.0,-9.841157205033188,Better,-991567.0,-12.533383758413644,Better,8384878.2,7528993.7,7194957.9,-855884.5,-10.207476836097632,-1189920.2999999998,-14.191265175444048,5.0002,5.0,5.000100000000001
200_2000,N_U_1,671367.0,664929.0,639411.0,-6438.0,-0.9589390005764359,Better,-31956.0,-4.759840742842588,Better,674738.9,668321.9,641385.0,-6417.0,-0.9510345409164938,-33353.90000000002,-4.943230633360552,5.000100000000001,5.0,5.0
200_2000,N_U_2,759487.0,756679.0,726927.0,-2808.0,-0.369723247402523,Better,-32560.0,-4.287104321732959,Better,765774.2,761687.1,729904.0,-4087.0999999999767,-0.5337212980014183,-35870.19999999995,-4.684174525597749,5.0,5.0,5.0
200_2000,N_U_3,719421.0,717222.0,689559.0,-2199.0,-0.3056624702364818,Better,-29862.0,-4.150837965530614,Better,726582.2,722332.2,690764.3,-4250.0,-0.5849303767694832,-35817.89999999991,-4.929641821668616,5.0,5.0,5.0
200_2000,N_U_4,1821988.0,1964320.0,1711276.0,142332.0,7.811906554818143,Worse,-110712.0,-6.076439581380338,Better,1928668.8,2022991.7,1737966.3,94322.8999999999,4.890570117585762,-190702.5,-9.887778554824965,5.0,5.0,5.0
200_2000,N_U_5,755212.0,748909.0,718646.0,-6303.0,-0.8346000858037214,Better,-36566.0,-4.841819250753431,Better,758800.1,755062.1,721686.2,-3738.0,-0.4926198612783525,-37113.90000000002,-4.891130088148383,5.0,5.0,5.0
