Instance,ISA_obj_best,HybridTabu_obj_best,delta_best,delta_best_pct,verdict_best,ISA_obj_avg,HybridTabu_obj_avg,delta_avg,delta_avg_pct,verdict_avg,ISA_obj_std,HybridTabu_obj_std,ISA_iter_avg,HybridTabu_iter_avg,ISA_runtime_avg,HybridTabu_runtime_avg,ISA_n_runs,HybridTabu_n_runs
1,182.0,182.0,0.0,0.0,Tie,182.0,182.0,0.0,0.0,Tie,0.0,0.0,95774.9,83825.6,0.2000093,0.2000058,10.0,10.0
10,286.0,286.0,0.0,0.0,Tie,286.0,286.0,0.0,0.0,Tie,0.0,0.0,54385.5,76207.3,0.20000239999999997,0.20000080000000003,10.0,10.0
100,666.0,666.0,0.0,0.0,Tie,666.0,666.0,0.0,0.0,Tie,0.0,0.0,42942.4,74626.5,0.20000329999999997,0.20000110000000001,10.0,10.0
1000,3158.0,3157.0,-1.0,-0.031665611146295125,Tabu better,3158.9,3158.9,0.0,0.0,Tie,0.9433981132056604,1.8681541692269403,107938.5,174132.4,1.000018,1.000004,10.0,10.0
1001,3054.0,3055.0,1.0,0.03274394237066143,ISA better,3057.8,3059.0,1.199999999999818,0.03924390084373792,ISA better,3.2186953878862163,3.22490309931942,120656.9,191803.8,1.000008,1.000004,10.0,10.0
1002,2253.0,2253.0,0.0,0.0,Tie,2254.5,2254.8,0.3000000000001819,0.013306719893554309,ISA better,1.6278820596099706,1.2489995996796797,123427.6,205791.2,1.000026,1.000004,10.0,10.0
1003,2232.0,2231.0,-1.0,-0.044802867383512544,Tabu better,2234.1,2233.1,-1.0,-0.04476075377109351,Tabu better,1.5132745950421556,1.7,128433.4,206424.5,1.0000060000000002,1.000009,10.0,10.0
1004,2652.0,2653.0,1.0,0.037707390648567124,ISA better,2654.7,2654.4,-0.29999999999972715,-0.01130071194484225,Tabu better,1.7916472867168918,1.4966629547095767,137992.5,201998.8,1.000003,1.0000050000000003,10.0,10.0
1005,2915.0,2913.0,-2.0,-0.06861063464837049,Tabu better,2917.1,2919.6,2.5,0.08570155291213877,ISA better,1.5779733838059502,3.6110940170535577,126297.2,173936.2,1.000005,1.000004,10.0,10.0
1006,3612.0,3613.0,1.0,0.02768549280177187,ISA better,3619.9,3617.8,-2.099999999999909,-0.05801265228320973,Tabu better,5.107837115648853,3.2186953878862163,121231.7,163556.4,1.000006,1.000005,10.0,10.0
1007,3249.0,3250.0,1.0,0.03077870113881194,ISA better,3255.2,3254.0,-1.199999999999818,-0.03686409437207601,Tabu better,3.7894590642992836,2.6457513110645907,115822.9,184491.6,1.0000069999999999,1.000004,10.0,10.0
1008,2579.0,2579.0,0.0,0.0,Tie,2581.9,2580.0,-1.900000000000091,-0.07358921724311905,Tabu better,2.0712315177207983,0.6324555320336759,138413.6,198247.5,1.000006,1.000003,10.0,10.0
1009,3389.0,3390.0,1.0,0.029507229271171435,ISA better,3393.9,3395.9,2.0,0.05892925542885766,ISA better,3.78021163428716,5.3188344587888805,121515.8,194888.9,1.0000879999999999,1.000003,10.0,10.0
101,839.0,839.0,0.0,0.0,Tie,839.0,839.0,0.0,0.0,Tie,0.0,0.0,44224.1,77041.5,0.20000420000000002,0.200001,10.0,10.0
1010,2601.0,2601.0,0.0,0.0,Tie,2603.4,2602.4,-1.0,-0.038411308289160326,Tabu better,1.624807680927192,1.019803902718557,127849.6,181113.6,1.00001,1.000245,10.0,10.0
1011,2010.0,2010.0,0.0,0.0,Tie,2011.0,2011.0,0.0,0.0,Tie,0.6324555320336759,0.7745966692414834,137769.6,205173.0,1.000004,1.000004,10.0,10.0
1012,1985.0,1984.0,-1.0,-0.05037783375314861,Tabu better,1986.2,1985.8,-0.40000000000009095,-0.020138958815833802,Tabu better,0.8717797887081347,1.077032961426901,133270.5,207724.6,1.000012,1.000003,10.0,10.0
1013,2070.0,2070.0,0.0,0.0,Tie,2070.8,2071.1,0.29999999999972715,0.014487154722799264,ISA better,0.8717797887081347,0.9433981132056604,134997.9,203238.3,1.000009,1.0000019999999998,10.0,10.0
1014,2356.0,2356.0,0.0,0.0,Tie,2356.6,2356.4,-0.1999999999998181,-0.008486803021294157,Tabu better,0.8,0.66332495807108,137211.5,180222.1,1.000003,1.000005,10.0,10.0
1015,2127.0,2127.0,0.0,0.0,Tie,2127.6,2127.6,0.0,0.0,Tie,0.8,0.9165151389911681,141967.4,206041.3,1.000009,1.0000040000000001,10.0,10.0
1016,1987.0,1987.0,0.0,0.0,Tie,1987.8,1987.5,-0.2999999999999545,-0.01509206157560894,Tabu better,0.7483314773547883,0.5,140938.8,167477.9,1.000005,1.000005,10.0,10.0
1017,2374.0,2375.0,1.0,0.04212299915754002,ISA better,2375.6,2375.3,-0.29999999999972715,-0.012628388617600907,Tabu better,1.019803902718557,0.45825756949558405,141100.0,197645.2,1.000001,1.000001,10.0,10.0
1018,2230.0,2230.0,0.0,0.0,Tie,2230.6,2230.7,0.09999999999990905,0.004483098717829689,ISA better,0.48989794855663565,0.6403124237432849,140612.9,205639.4,1.000003,1.000004,10.0,10.0
1019,2230.0,2228.0,-2.0,-0.08968609865470852,Tabu better,2230.4,2229.9,-0.5,-0.022417503586800575,Tabu better,0.8,1.044030650891055,136274.8,196889.6,1.000003,1.000004,10.0,10.0
102,964.0,964.0,0.0,0.0,Tie,964.0,964.0,0.0,0.0,Tie,0.0,0.0,44098.1,70469.7,0.20000369999999998,0.2000013,10.0,10.0
1020,2056.0,2056.0,0.0,0.0,Tie,2057.4,2057.4,0.0,0.0,Tie,1.019803902718557,0.66332495807108,139693.0,194267.7,1.000005,1.000003,10.0,10.0
1021,33906.0,33906.0,0.0,0.0,Tie,33907.4,33910.5,3.099999999998545,0.009142547054620951,ISA better,1.7435595774162693,7.85175139698144,121464.8,178240.7,1.000007,1.000001,10.0,10.0
1022,21100.0,21101.0,1.0,0.004739336492890995,ISA better,21109.8,21106.7,-3.099999999998545,-0.014685122549709353,Tabu better,9.05317623820502,12.190570126126177,124846.9,178104.8,1.000006,1.000049,10.0,10.0
1023,24611.0,24609.0,-2.0,-0.008126447523465119,Tabu better,24648.9,24643.2,-5.700000000000728,-0.023124764188262873,Tabu better,28.479641851680647,20.71617725353787,123751.8,174344.7,1.0000069999999999,1.00039,10.0,10.0
1024,24245.0,24246.0,1.0,0.0041245617653124355,ISA better,24277.5,24262.4,-15.099999999998545,-0.062197507980634524,Tabu better,28.10782809112081,18.461852561430558,124799.9,182090.5,1.0000050000000003,1.000011,10.0,10.0
1025,12844.0,12843.0,-1.0,-0.0077857365306758025,Tabu better,12862.1,12853.3,-8.800000000001091,-0.06841806547920705,Tabu better,13.545848072379963,7.937883848986455,122184.7,172007.3,1.000004,1.000003,10.0,10.0
1026,14621.0,14618.0,-3.0,-0.02051843239176527,Tabu better,14634.2,14627.4,-6.800000000001091,-0.04646649628952106,Tabu better,13.818827736099758,8.002499609497024,121478.4,181518.6,1.0000069999999999,1.00001,10.0,10.0
1027,15273.0,15273.0,0.0,0.0,Tie,15286.4,15296.7,10.300000000001091,0.0673801549089458,ISA better,8.901685233707155,15.716551784663201,124728.7,172867.0,1.0000060000000002,1.000006,10.0,10.0
1028,12806.0,12803.0,-3.0,-0.023426518819303452,Tabu better,12812.0,12810.2,-1.7999999999992724,-0.014049328754287172,Tabu better,3.7416573867739413,5.362835071116769,121599.5,179575.2,1.0000110000000002,1.000006,10.0,10.0
1029,22855.0,22853.0,-2.0,-0.008750820389411508,Tabu better,22882.7,22878.4,-4.299999999999272,-0.01879148876661964,Tabu better,19.261619869574833,16.650525517232182,127462.9,180431.1,1.000004,1.000003,10.0,10.0
103,975.0,975.0,0.0,0.0,Tie,975.0,975.0,0.0,0.0,Tie,0.0,0.0,46316.4,70834.4,0.20000280000000004,0.2000253,10.0,10.0
1030,9214.0,9213.0,-1.0,-0.010853049706967658,Tabu better,9216.7,9215.3,-1.4000000000014552,-0.015189818481684932,Tabu better,2.0999999999999996,2.4515301344262523,133284.0,183958.8,1.000003,1.000004,10.0,10.0
1031,11961.0,11959.0,-2.0,-0.016721009949000918,Tabu better,11966.1,11964.8,-1.3000000000010914,-0.010864024201712265,Tabu better,4.27668095606862,4.214261501141095,119505.8,169359.5,1.000005,1.000005,10.0,10.0
1032,15443.0,15447.0,4.0,0.025901703036974682,ISA better,15455.0,15458.2,3.2000000000007276,0.02070527337431723,ISA better,8.099382692526634,12.343419299367579,116355.2,167663.6,1.000006,1.000004,10.0,10.0
1033,13699.0,13694.0,-5.0,-0.03649901452660778,Tabu better,13710.2,13702.4,-7.800000000001091,-0.05689194905983203,Tabu better,9.410632284814874,7.964923100695951,133789.4,192129.3,1.000006,1.000005,10.0,10.0
1034,10948.0,10948.0,0.0,0.0,Tie,10953.6,10956.3,2.6999999999989086,0.024649430324266985,ISA better,3.52703841770968,6.148983655857284,135076.8,191116.3,1.000006,1.000003,10.0,10.0
1035,15374.0,15374.0,0.0,0.0,Tie,15379.3,15384.0,4.700000000000728,0.03056055867302626,ISA better,4.859012245302537,7.155417527999327,117697.6,165304.0,1.000003,1.0000019999999998,10.0,10.0
1036,14906.0,14909.0,3.0,0.02012612370857373,ISA better,14927.4,14922.8,-4.600000000000364,-0.030815815212296607,Tabu better,15.344054223053305,8.1706792863262,120821.7,173081.2,1.000005,1.0000099999999998,10.0,10.0
1037,10401.0,10401.0,0.0,0.0,Tie,10409.1,10406.4,-2.7000000000007276,-0.02593884197481749,Tabu better,5.146843692983109,5.3516352641038605,136751.5,192133.7,1.0001380000000002,1.000005,10.0,10.0
1038,10455.0,10456.0,1.0,0.009564801530368245,ISA better,10457.0,10458.3,1.2999999999992724,0.012431863823269317,ISA better,1.3416407864998738,2.758622844826744,135683.9,188540.8,1.000003,1.000001,10.0,10.0
1039,13047.0,13046.0,-1.0,-0.007664597225415804,Tabu better,13068.0,13053.4,-14.600000000000364,-0.11172329354147814,Tabu better,17.337819932159867,7.552483035399682,121362.6,176020.7,1.000005,1.000005,10.0,10.0
104,719.0,719.0,0.0,0.0,Tie,719.0,719.0,0.0,0.0,Tie,0.0,0.0,43169.9,75785.7,0.200003,0.2000117,10.0,10.0
1040,10022.0,10022.0,0.0,0.0,Tie,10027.6,10025.7,-1.8999999999996362,-0.018947704336028923,Tabu better,3.826225293941799,3.0347981810987035,129539.3,183893.3,1.000007,1.000001,10.0,10.0
1041,9354.0,9354.0,0.0,0.0,Tie,9358.7,9356.0,-2.7000000000007276,-0.028850160812941193,Tabu better,4.960846701924985,3.0983866769659336,134789.5,194692.6,1.000004,1.000006,10.0,10.0
1042,10051.0,10051.0,0.0,0.0,Tie,10054.0,10052.0,-2.0,-0.019892580067634773,Tabu better,3.1622776601683795,2.04939015319192,134237.8,175678.5,1.000007,1.000355,10.0,10.0
1043,8585.0,8585.0,0.0,0.0,Tie,8588.2,8587.6,-0.6000000000003638,-0.006986330080812787,Tabu better,2.2271057451320084,2.5768197453450252,138434.6,181271.1,1.000004,1.000001,10.0,10.0
1044,9855.0,9854.0,-1.0,-0.010147133434804667,Tabu better,9855.5,9855.1,-0.3999999999996362,-0.004058647455731685,Tabu better,0.6708203932499369,1.374772708486752,135646.5,199782.0,1.00001,1.000006,10.0,10.0
1045,8051.0,8051.0,0.0,0.0,Tie,8051.4,8051.8,0.4000000000005457,0.004968080085457755,ISA better,0.7999999999999999,0.9797958971132713,129867.8,189443.3,1.0000049999999998,1.000001,10.0,10.0
