Instance,Run,Objective,Runtime,Iterations
1,1,182,0.200001,88513
1,2,182,0.200005,85464
1,3,182,0.200001,87477
1,4,182,0.200001,92612
1,5,182,0.200004,100944
1,6,182,0.200001,100869
1,7,182,0.200078,99632
1,8,182,0.200001,100296
1,9,182,0.200001,100706
1,10,182,0.2,101236
2,1,243,0.200002,103006
2,2,243,0.200001,101247
2,3,243,0.200002,102054
2,4,243,0.200001,99748
2,5,243,0.200002,101144
2,6,243,0.200001,98048
2,7,243,0.2,102031
2,8,243,0.200003,77912
2,9,243,0.200003,53438
2,10,243,0.200001,49443
3,1,232,0.200002,50266
3,2,232,0.200003,50957
3,3,232,0.200003,50009
3,4,232,0.200001,53203
3,5,232,0.200007,46734
3,6,232,0.200008,50317
3,7,232,0.200001,47050
3,8,232,0.200002,51806
3,9,232,0.200004,50120
3,10,232,0.200005,51536
4,1,331,0.200004,52324
4,2,331,0.200003,53020
4,3,331,0.200002,53217
4,4,331,0.200002,52876
4,5,331,0.200002,51210
4,6,331,0.200003,50147
4,7,331,0.200002,52092
4,8,331,0.200003,44153
4,9,331,0.200004,52776
4,10,331,0.200119,53062
5,1,204,0.200005,49584
5,2,204,0.200003,49307
5,3,204,0.200002,49186
5,4,204,0.200004,49934
5,5,204,0.200004,49899
5,6,204,0.200002,48581
5,7,204,0.200003,49676
5,8,204,0.200004,48716
5,9,204,0.200003,46830
5,10,204,0.200001,49296
6,1,285,0.200001,52039
6,2,285,0.200002,52221
6,3,285,0.200001,52080
6,4,285,0.200004,52285
6,5,285,0.200003,51737
6,6,285,0.200004,51815
6,7,285,0.200002,51649
6,8,285,0.200002,51461
6,9,285,0.200001,52386
6,10,285,0.200004,52844
7,1,254,0.200004,53234
7,2,254,0.200001,53514
7,3,254,0.200003,53456
7,4,254,0.2,54245
7,5,254,0.200003,54617
7,6,254,0.200002,54421
7,7,254,0.200003,54187
7,8,254,0.200001,53582
7,9,254,0.200003,54049
7,10,254,0.200003,54414
8,1,221,0.200003,54280
8,2,221,0.20006,54392
8,3,221,0.200001,52072
8,4,221,0.200004,51823
8,5,221,0.200002,52263
8,6,221,0.200003,50750
8,7,221,0.200001,51977
8,8,221,0.200002,51827
8,9,221,0.200004,53856
8,10,221,0.200003,53288
9,1,253,0.200002,53561
9,2,253,0.200002,53590
9,3,253,0.200004,53677
9,4,253,0.2,53699
9,5,253,0.200003,53810
9,6,253,0.200003,53649
9,7,253,0.200003,53344
9,8,253,0.200003,54321
9,9,253,0.200001,54530
9,10,253,0.2,54998
10,1,286,0.200003,54681
10,2,286,0.200004,54738
10,3,286,0.200002,54251
10,4,286,0.200002,54077
10,5,286,0.200001,54468
10,6,286,0.200003,54171
10,7,286,0.200002,54276
10,8,286,0.200001,54122
