Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
1,1,182,0.200001,88513,2,8
1,2,182,0.200005,85464,2,8
1,3,182,0.200001,87477,2,8
1,4,182,0.200001,92612,2,8
1,5,182,0.200004,100944,2,8
1,6,182,0.200001,100869,2,8
1,7,182,0.200078,99632,2,8
1,8,182,0.200001,100296,2,8
1,9,182,0.200001,100706,2,8
1,10,182,0.2,101236,2,8
2,1,243,0.200002,103006,2,8
2,2,243,0.200001,101247,2,8
2,3,243,0.200002,102054,2,8
2,4,243,0.200001,99748,2,8
2,5,243,0.200002,101144,2,8
2,6,243,0.200001,98048,2,8
2,7,243,0.2,102031,2,8
2,8,243,0.200003,77912,2,8
2,9,243,0.200003,53438,2,8
2,10,243,0.200001,49443,2,8
3,1,232,0.200002,50266,2,8
3,2,232,0.200003,50957,2,8
3,3,232,0.200003,50009,2,8
3,4,232,0.200001,53203,2,8
3,5,232,0.200007,46734,2,8
3,6,232,0.200008,50317,2,8
3,7,232,0.200001,47050,2,8
3,8,232,0.200002,51806,2,8
3,9,232,0.200004,50120,2,8
3,10,232,0.200005,51536,2,8
4,1,331,0.200004,52324,2,8
4,2,331,0.200003,53020,2,8
4,3,331,0.200002,53217,2,8
4,4,331,0.200002,52876,2,8
4,5,331,0.200002,51210,2,8
4,6,331,0.200003,50147,2,8
4,7,331,0.200002,52092,2,8
4,8,331,0.200003,44153,2,8
4,9,331,0.200004,52776,2,8
4,10,331,0.200119,53062,2,8
5,1,204,0.200005,49584,2,8
5,2,204,0.200003,49307,2,8
5,3,204,0.200002,49186,2,8
5,4,204,0.200004,49934,2,8
5,5,204,0.200004,49899,2,8
5,6,204,0.200002,48581,2,8
5,7,204,0.200003,49676,2,8
5,8,204,0.200004,48716,2,8
5,9,204,0.200003,46830,2,8
5,10,204,0.200001,49296,2,8
6,1,285,0.200001,52039,2,8
6,2,285,0.200002,52221,2,8
6,3,285,0.200001,52080,2,8
6,4,285,0.200004,52285,2,8
6,5,285,0.200003,51737,2,8
6,6,285,0.200004,51815,2,8
6,7,285,0.200002,51649,2,8
6,8,285,0.200002,51461,2,8
6,9,285,0.200001,52386,2,8
6,10,285,0.200004,52844,2,8
7,1,254,0.200004,53234,2,8
7,2,254,0.200001,53514,2,8
7,3,254,0.200003,53456,2,8
7,4,254,0.2,54245,2,8
7,5,254,0.200003,54617,2,8
7,6,254,0.200002,54421,2,8
7,7,254,0.200003,54187,2,8
7,8,254,0.200001,53582,2,8
7,9,254,0.200003,54049,2,8
7,10,254,0.200003,54414,2,8
8,1,221,0.200003,54280,2,8
8,2,221,0.20006,54392,2,8
8,3,221,0.200001,52072,2,8
8,4,221,0.200004,51823,2,8
8,5,221,0.200002,52263,2,8
8,6,221,0.200003,50750,2,8
8,7,221,0.200001,51977,2,8
8,8,221,0.200002,51827,2,8
8,9,221,0.200004,53856,2,8
8,10,221,0.200003,53288,2,8
9,1,253,0.200002,53561,2,8
9,2,253,0.200002,53590,2,8
9,3,253,0.200004,53677,2,8
9,4,253,0.2,53699,2,8
9,5,253,0.200003,53810,2,8
9,6,253,0.200003,53649,2,8
9,7,253,0.200003,53344,2,8
9,8,253,0.200003,54321,2,8
9,9,253,0.200001,54530,2,8
9,10,253,0.2,54998,2,8
10,1,286,0.200003,54681,2,8
10,2,286,0.200004,54738,2,8
10,3,286,0.200002,54251,2,8
10,4,286,0.200002,54077,2,8
10,5,286,0.200001,54468,2,8
10,6,286,0.200003,54171,2,8
10,7,286,0.200002,54276,2,8
10,8,286,0.200001,54122,2,8
10,9,286,0.200003,54180,2,8
10,10,286,0.200003,54891,2,8
11,1,212,0.200004,49231,2,8
11,2,212,0.200003,55218,2,8
11,3,212,0.200001,49919,2,8
11,4,212,0.200001,49959,2,8
11,5,212,0.200002,49392,2,8
11,6,212,0.200004,48347,2,8
11,7,212,0.200001,48319,2,8
11,8,212,0.200004,53457,2,8
11,9,212,0.200002,53018,2,8
11,10,212,0.200001,53266,2,8
12,1,161,0.200001,52155,2,8
12,2,161,0.200002,53009,2,8
12,3,161,0.200002,53162,2,8
12,4,161,0.200005,52951,2,8
12,5,161,0.200004,52894,2,8
12,6,161,0.200005,52443,2,8
12,7,161,0.200003,52990,2,8
12,8,161,0.200001,52675,2,8
12,9,161,0.200004,53942,2,8
12,10,161,0.200003,53359,2,8
13,1,179,0.200002,53042,2,8
13,2,179,0.200006,53089,2,8
13,3,179,0.200001,52920,2,8
13,4,179,0.200003,53432,2,8
13,5,179,0.200002,53896,2,8
13,6,179,0.200004,53714,2,8
13,7,179,0.200004,53832,2,8
13,8,179,0.200004,53518,2,8
13,9,179,0.200002,53187,2,8
13,10,179,0.200004,53755,2,8
14,1,249,0.200003,53913,2,8
14,2,249,0.200003,53222,2,8
14,3,249,0.200002,54023,2,8
14,4,249,0.200001,53433,2,8
14,5,249,0.200003,53765,2,8
14,6,249,0.200008,53548,2,8
14,7,249,0.200003,47921,2,8
14,8,249,0.200002,52163,2,8
14,9,249,0.200001,52790,2,8
14,10,249,0.200005,52223,2,8
15,1,266,0.200003,52340,2,8
15,2,266,0.200006,49040,2,8
15,3,266,0.200023,51683,2,8
15,4,266,0.200003,53984,2,8
15,5,266,0.200003,53569,2,8
15,6,266,0.200004,52462,2,8
15,7,266,0.200004,50824,2,8
15,8,266,0.200001,52709,2,8
15,9,266,0.200021,49714,2,8
15,10,266,0.200001,49026,2,8
16,1,190,0.200001,54831,2,8
16,2,190,0.200004,53874,2,8
16,3,190,0.200004,54834,2,8
16,4,190,0.200002,54803,2,8
16,5,190,0.200001,53984,2,8
16,6,190,0.200002,55445,2,8
16,7,190,0.200003,55205,2,8
16,8,190,0.200002,54826,2,8
16,9,190,0.200003,54115,2,8
16,10,190,0.200002,54815,2,8
17,1,175,0.200003,50834,2,8
17,2,175,0.200005,50276,2,8
17,3,175,0.200005,51063,2,8
17,4,175,0.200516,49472,2,8
17,5,175,0.200002,50295,2,8
17,6,175,0.200005,50596,2,8
17,7,175,0.200003,49036,2,8
17,8,175,0.200005,48234,2,8
17,9,175,0.200001,46028,2,8
17,10,175,0.200008,42641,2,8
18,1,164,0.200002,50555,2,8
18,2,164,0.200002,60478,2,8
18,3,164,0.200006,38731,2,8
18,4,164,0.200003,45745,2,8
18,5,164,0.200006,49337,2,8
18,6,164,0.200006,38934,2,8
18,7,164,0.200003,51709,2,8
