Folder,Instance,ISA_avg,Tabu_avg,AVG_DIFF%,Verdict_avg,ISA_best,Tabu_best,BEST_DIFF%,Verdict_best
200_2000,N_N_1,1101801.0,1052980.7,4.431,Tabu,1086753,1043766,3.956,Tabu
200_2000,N_N_2,1074730.0,1023190.9,4.796,Tabu,1060421,1015895,4.199,Tabu
200_2000,N_N_3,577291.1,504442.7,12.619,Tabu,549014,503083,8.366,Tabu
200_2000,N_N_4,4591874.0,4200210.1,8.53,Tabu,4475989,4039209,9.758,Tabu
200_2000,N_N_5,8384878.2,7194957.9,14.191,Tabu,7911407,6919840,12.533,Tabu
200_2000,N_U_1,674738.9,641385.0,4.943,Tabu,671367,639411,4.76,Tabu
200_2000,N_U_2,765774.2,729904.0,4.684,Tabu,759487,726927,4.287,Tabu
200_2000,N_U_3,726582.2,690764.3,4.93,Tabu,719421,689559,4.151,Tabu
200_2000,N_U_4,1928668.8,1737966.3,9.888,Tabu,1821988,1711276,6.076,Tabu
200_2000,N_U_5,758800.1,721686.2,4.891,Tabu,755212,718646,4.842,Tabu
200_2000,U_N_1,945985.3,886287.2,6.311,Tabu,932218,880005,5.601,Tabu
200_2000,U_N_2,564277.7,460641.8,18.366,Tabu,546437,459222,15.961,Tabu
200_2000,U_N_3,893458.8,837518.2,6.261,Tabu,879013,833246,5.207,Tabu
200_2000,U_N_4,987094.9,928814.8,5.904,Tabu,972193,920563,5.311,Tabu
200_2000,U_N_5,9293178.1,7328101.0,21.145,Tabu,8833436,7015997,20.575,Tabu
200_2000,U_U_1,1646361.5,1379004.2,16.239,Tabu,1571114,1371121,12.729,Tabu
200_2000,U_U_2,452852.2,407628.5,9.986,Tabu,447499,406604,9.139,Tabu
200_2000,U_U_3,559470.7,435127.9,22.225,Tabu,541456,434428,19.767,Tabu
200_2000,U_U_4,599585.2,566386.1,5.537,Tabu,593949,565025,4.87,Tabu
200_2000,U_U_5,463657.4,409993.6,11.574,Tabu,459664,409128,10.994,Tabu
200_2000,T-AVG,,,9.873,,,,8.654,
200_5000,N_N_1,95054685.5,82118674.5,13.609,Tabu,91595736,78557188,14.235,Tabu
200_5000,N_N_2,9567197.7,8607327.4,10.033,Tabu,8665279,8081662,6.735,Tabu
200_5000,N_N_3,11193167.5,9631372.7,13.953,Tabu,10720395,8805969,17.858,Tabu
200_5000,N_N_4,4345200.2,3205073.3,26.239,Tabu,3655013,3156037,13.652,Tabu
200_5000,N_N_5,4000215.7,3014611.9,24.639,Tabu,3828714,2983071,22.087,Tabu
200_5000,N_U_1,4692081.3,4310453.3,8.133,Tabu,4563887,4253081,6.81,Tabu
200_5000,N_U_2,17611523.7,14978774.2,14.949,Tabu,16471948,14249193,13.494,Tabu
200_5000,N_U_3,17332672.2,15524791.6,10.43,Tabu,16401452,15027989,8.374,Tabu
200_5000,N_U_4,18964284.0,16847138.6,11.164,Tabu,18266330,15462289,15.351,Tabu
200_5000,N_U_5,15699313.4,14118057.3,10.072,Tabu,15350668,13682486,10.867,Tabu
200_5000,U_N_1,3545308.5,2582146.5,27.167,Tabu,3403151,2570113,24.478,Tabu
200_5000,U_N_2,6228408.7,5895095.0,5.352,Tabu,5993709,5694905,4.985,Tabu
200_5000,U_N_3,27343425.2,24718360.0,9.6,Tabu,26428888,24279905,8.131,Tabu
200_5000,U_N_4,50071662.7,45033833.9,10.061,Tabu,48947076,43057050,12.033,Tabu
200_5000,U_N_5,3586096.1,2699393.3,24.726,Tabu,3288432,2668121,18.863,Tabu
200_5000,U_U_1,3193991.2,2472498.4,22.589,Tabu,3123756,2463236,21.145,Tabu
200_5000,U_U_2,3899686.3,3664254.9,6.037,Tabu,3841899,3594622,6.436,Tabu
200_5000,U_U_3,11948739.2,10247614.6,14.237,Tabu,11568320,9558901,17.37,Tabu
