Instance,test_id,obj_original,obj_ISA,gap_ISA_minus_original,ratio_ISA_over_original,runtime_ISA,file,n_rows,lower_cost,upper_cost,mach,job,mean_runtime
1,T_1,182.0,182.0,0.0,1.0,0.094665,I_1_10.xls,20,74,152,2,8,0.2
2,T_2,243.0,243.0,0.0,1.0,0.090995,I_1_10.xls,20,344,391,2,8,0.2
3,T_3,232.0,232.0,0.0,1.0,0.097454,I_1_10.xls,20,84,234,2,8,0.2
4,T_4,331.0,331.0,0.0,1.0,0.09331,I_1_10.xls,20,102,264,2,8,0.2
5,T_5,204.0,204.0,0.0,1.0,0.098237,I_1_10.xls,20,160,304,2,8,0.2
6,T_6,285.0,285.0,0.0,1.0,0.098861,I_1_10.xls,20,202,258,2,8,0.2
7,T_7,254.0,254.0,0.0,1.0,0.096318,I_1_10.xls,20,348,394,2,8,0.2
8,T_8,221.0,221.0,0.0,1.0,0.092976,I_1_10.xls,20,84,130,2,8,0.2
9,T_9,253.0,253.0,0.0,1.0,0.09754,I_1_10.xls,20,261,309,2,8,0.2
10,T_10,286.0,286.0,0.0,1.0,0.097241,I_1_10.xls,20,372,422,2,8,0.2
11,T_11,212.0,212.0,0.0,1.0,0.100266,I_11_20.xls,20,89,233,2,8,0.2
12,T_12,161.0,161.0,0.0,1.0,0.107091,I_11_20.xls,20,164,210,2,8,0.2
13,T_13,179.0,179.0,0.0,1.0,0.103274,I_11_20.xls,20,80,256,2,8,0.2
14,T_14,249.0,249.0,0.0,1.0,0.099433,I_11_20.xls,20,104,275,2,8,0.2
15,T_15,266.0,266.0,0.0,1.0,0.100308,I_11_20.xls,20,110,350,2,8,0.2
16,T_16,190.0,190.0,0.0,1.0,0.10582,I_11_20.xls,20,228,310,2,8,0.2
17,T_17,175.0,175.0,0.0,1.0,0.101261,I_11_20.xls,20,80,215,2,8,0.2
18,T_18,164.0,164.0,0.0,1.0,0.099788,I_11_20.xls,20,234,276,2,8,0.2
19,T_19,238.0,238.0,0.0,1.0,0.10453,I_11_20.xls,20,396,450,2,8,0.2
20,T_20,206.0,206.0,0.0,1.0,0.101236,I_11_20.xls,20,88,186,2,8,0.2
21,T_21,143.0,143.0,0.0,1.0,0.098387,I_21_30.xls,20,234,318,2,8,0.2
22,T_22,252.0,252.0,0.0,1.0,0.105871,I_21_30.xls,20,234,426,2,8,0.2
23,T_23,137.0,137.0,0.0,1.0,0.101503,I_21_30.xls,20,76,158,2,8,0.2
