Instance,test_id,obj_original,obj_ISA,gap_ISA_minus_original,ratio_ISA_over_original,runtime_ISA,file,n_rows,lower_cost,upper_cost,,mach,job,,,
1,T_1,182,182,0,1,0.828017,I_1_10.xls,20,74,152,EQUAL,2,8,EQUAL,BETTER,WORSE
2,T_2,243,243,0,1,0.780036,I_1_10.xls,20,344,391,EQUAL,2,8,701,651,483
3,T_3,232,232,0,1,0.815836,I_1_10.xls,20,84,234,EQUAL,2,8,,,
4,T_4,331,331,0,1,0.845128,I_1_10.xls,20,102,264,EQUAL,2,8,,,
5,T_5,204,204,0,1,0.832014,I_1_10.xls,20,160,304,EQUAL,2,8,,,
6,T_6,285,285,0,1,0.879545,I_1_10.xls,20,202,258,EQUAL,2,8,,,
7,T_7,254,254,0,1,0.88627,I_1_10.xls,20,348,394,EQUAL,2,8,,,
8,T_8,221,221,0,1,0.8085,I_1_10.xls,20,84,130,EQUAL,2,8,,,
9,T_9,253,253,0,1,0.808988,I_1_10.xls,20,261,309,EQUAL,2,8,,,
10,T_10,286,286,0,1,0.827084,I_1_10.xls,20,372,422,EQUAL,2,8,,,
11,T_11,212,212,0,1,0.806468,I_11_20.xls,20,89,233,EQUAL,2,8,,,
12,T_12,161,161,0,1,0.73483,I_11_20.xls,20,164,210,EQUAL,2,8,,,
13,T_13,179,179,0,1,0.753662,I_11_20.xls,20,80,256,EQUAL,2,8,,,
14,T_14,249,249,0,1,0.807249,I_11_20.xls,20,104,275,EQUAL,2,8,,,
15,T_15,266,266,0,1,0.812653,I_11_20.xls,20,110,350,EQUAL,2,8,,,
16,T_16,190,190,0,1,0.777828,I_11_20.xls,20,228,310,EQUAL,2,8,,,
17,T_17,175,175,0,1,0.762012,I_11_20.xls,20,80,215,EQUAL,2,8,,,
18,T_18,164,164,0,1,0.768841,I_11_20.xls,20,234,276,EQUAL,2,8,,,
19,T_19,238,238,0,1,0.765321,I_11_20.xls,20,396,450,EQUAL,2,8,,,
20,T_20,206,206,0,1,0.791914,I_11_20.xls,20,88,186,EQUAL,2,8,,,
21,T_21,143,143,0,1,0.716917,I_21_30.xls,20,234,318,EQUAL,2,8,,,
22,T_22,252,252,0,1,0.779929,I_21_30.xls,20,234,426,EQUAL,2,8,,,
23,T_23,137,137,0,1,0.79204,I_21_30.xls,20,76,158,EQUAL,2,8,,,
