Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_1,STANDARD,1,1097325,5.000,38587
200_2000,N_N_1,STANDARD,2,1103798,5.001,40277
200_2000,N_N_1,STANDARD,3,1110781,5.000,40311
200_2000,N_N_1,STANDARD,4,1112570,5.000,30511
200_2000,N_N_1,STANDARD,5,1098666,5.000,39954
200_2000,N_N_1,STANDARD,6,1086753,5.000,42388
200_2000,N_N_1,STANDARD,7,1102112,5.000,42331
200_2000,N_N_1,STANDARD,8,1100949,5.000,42521
200_2000,N_N_1,STANDARD,9,1112311,5.000,40480
200_2000,N_N_1,STANDARD,10,1092745,5.000,32188
200_2000,N_N_1,SMART,1,1074902,5.000,41041
200_2000,N_N_1,SMART,2,1084498,5.000,42453
200_2000,N_N_1,SMART,3,1084635,5.000,42439
200_2000,N_N_1,SMART,4,1092922,5.000,41840
200_2000,N_N_1,SMART,5,1081334,5.000,40560
200_2000,N_N_1,SMART,6,1100457,5.000,40832
200_2000,N_N_1,SMART,7,1079461,5.000,39794
200_2000,N_N_1,SMART,8,1071018,5.000,41420
200_2000,N_N_1,SMART,9,1077839,5.000,43018
200_2000,N_N_1,SMART,10,1088279,5.000,43458
200_2000,N_N_2,STANDARD,1,1087796,5.000,37936
200_2000,N_N_2,STANDARD,2,1069360,5.000,38409
200_2000,N_N_2,STANDARD,3,1067253,5.000,40844
200_2000,N_N_2,STANDARD,4,1078672,5.000,40414
200_2000,N_N_2,STANDARD,5,1082105,5.000,39279
200_2000,N_N_2,STANDARD,6,1060421,5.000,39255
200_2000,N_N_2,STANDARD,7,1080369,5.000,41570
200_2000,N_N_2,STANDARD,8,1064904,5.000,43008
200_2000,N_N_2,STANDARD,9,1078407,5.001,39806
200_2000,N_N_2,STANDARD,10,1078013,5.000,37484
200_2000,N_N_2,SMART,1,1079479,5.000,35044
200_2000,N_N_2,SMART,2,1060909,5.000,36786
200_2000,N_N_2,SMART,3,1062523,5.000,39399
200_2000,N_N_2,SMART,4,1068083,5.000,38285
200_2000,N_N_2,SMART,5,1073128,5.000,38369
200_2000,N_N_2,SMART,6,1060769,5.000,42468
200_2000,N_N_2,SMART,7,1069224,5.000,42404
200_2000,N_N_2,SMART,8,1075409,5.000,42057
200_2000,N_N_2,SMART,9,1047969,5.000,37928
200_2000,N_N_2,SMART,10,1069155,5.000,39428
200_2000,N_N_3,STANDARD,1,605703,5.000,39918
