Instance,Run,Objective,Runtime
1,1,182.0,1.0
2,1,243.0,1.0
3,1,232.0,1.0
4,1,331.0,1.0
5,1,204.0,1.000002
6,1,285.0,1.000001
7,1,254.0,1.000006
8,1,221.0,1.0
9,1,253.0,1.000002
10,1,286.0,1.000001
11,1,212.0,1.000002
12,1,161.0,1.000001
13,1,179.0,1.000016
14,1,249.0,1.0
15,1,266.0,1.000019
16,1,190.0,1.0
17,1,175.0,1.0
18,1,164.0,1.0
19,1,238.0,1.000007
20,1,206.0,1.000006
21,1,143.0,1.0
22,1,252.0,1.0
23,1,137.0,1.0
24,1,135.0,1.000001
25,1,148.0,1.000001
26,1,246.0,1.0
27,1,141.0,1.0
28,1,126.0,1.000001
29,1,194.0,1.0
30,1,143.0,1.0
31,1,230.0,1.0
32,1,247.0,1.000001
33,1,273.0,1.0
34,1,202.0,1.0
35,1,248.0,1.0
36,1,310.0,1.0
37,1,205.0,1.0
38,1,210.0,1.0
39,1,226.0,1.0
40,1,191.0,1.000016
41,1,147.0,1.000005
42,1,181.0,1.0
43,1,159.0,1.0
44,1,183.0,1.0
45,1,179.0,1.000024
46,1,225.0,1.0
47,1,327.0,1.0
48,1,223.0,1.0
49,1,158.0,1.000001
50,1,171.0,1.0
51,1,225.0,1.000001
52,1,192.0,1.0
53,1,113.0,1.0
54,1,182.0,1.000001
55,1,202.0,1.0
56,1,118.0,1.0
57,1,93.0,1.0
58,1,119.0,1.0
59,1,182.0,1.0
60,1,188.0,1.000004
61,1,1041.0,1.00002
62,1,857.0,1.0
63,1,1376.0,1.00005
64,1,661.0,1.000007
65,1,673.0,1.000001
66,1,865.0,1.0
67,1,1346.0,1.0
68,1,659.0,1.000002
69,1,1523.0,1.000001
70,1,720.0,1.000036
71,1,779.0,1.000014
72,1,913.0,1.000016
73,1,902.0,1.000002
74,1,735.0,1.0
75,1,549.0,1.000015
76,1,584.0,1.000002
77,1,596.0,1.000002
78,1,681.0,1.000001
79,1,684.0,1.0
80,1,541.0,1.0
81,1,808.0,1.000002
82,1,750.0,1.000001
83,1,720.0,1.0
84,1,698.0,1.000014
85,1,619.0,1.000026
86,1,598.0,1.000001
87,1,789.0,1.0
88,1,1206.0,1.000001
89,1,839.0,1.0
90,1,785.0,1.0
91,1,1413.0,1.0
92,1,898.0,1.0
93,1,858.0,1.0
94,1,855.0,1.000004
95,1,961.0,1.000034
96,1,526.0,1.0
97,1,2060.0,1.000001
98,1,940.0,1.00001
99,1,937.0,1.0
100,1,666.0,1.000001
101,1,839.0,1.000002
102,1,964.0,1.000001
103,1,975.0,1.000001
104,1,719.0,1.000229
105,1,729.0,1.00001
106,1,1046.0,1.000023
107,1,1027.0,1.000001
108,1,1159.0,1.0
109,1,839.0,1.0
110,1,1020.0,1.000001
111,1,618.0,1.000011
112,1,603.0,1.000084
113,1,822.0,1.000002
114,1,650.0,1.000014
115,1,687.0,1.000028
116,1,774.0,1.0
117,1,348.0,1.000001
118,1,840.0,1.0
119,1,539.0,1.000001
120,1,923.0,1.000001
121,1,452.0,1.0
