Folder,Instance,algo,obj_best,obj_avg,runtime_avg,n_runs
200_2000,N_N_1,O3_Smart,1071018.0,1083534.5,5.0,10.0
200_2000,N_N_1,O3_Standard,1086753.0,1101801.0,5.000100000000001,10.0
200_2000,N_N_1,Tabu,1043766.0,1052980.7,5.0,10.0
200_2000,N_N_2,O3_Smart,1047969.0,1066664.8,5.0,10.0
200_2000,N_N_2,O3_Standard,1060421.0,1074730.0,5.0001,10.0
200_2000,N_N_2,Tabu,1015895.0,1023190.9,5.0,10.0
200_2000,N_N_3,O3_Smart,553488.0,577885.1,5.0,10.0
200_2000,N_N_3,O3_Standard,549014.0,577291.1,5.0,10.0
200_2000,N_N_3,Tabu,503083.0,504442.7,5.0,10.0
200_2000,N_N_4,O3_Smart,4260090.0,4477899.7,5.0,10.0
200_2000,N_N_4,O3_Standard,4475989.0,4591874.0,5.0,10.0
200_2000,N_N_4,Tabu,4039209.0,4200210.1,5.0,10.0
200_2000,N_N_5,O3_Smart,7132833.0,7528993.7,5.0,10.0
200_2000,N_N_5,O3_Standard,7911407.0,8384878.2,5.0002,10.0
200_2000,N_N_5,Tabu,6919840.0,7194957.9,5.000100000000001,10.0
200_2000,N_U_1,O3_Smart,664929.0,668321.9,5.0,10.0
200_2000,N_U_1,O3_Standard,671367.0,674738.9,5.000100000000001,10.0
200_2000,N_U_1,Tabu,639411.0,641385.0,5.0,10.0
200_2000,N_U_2,O3_Smart,756679.0,761687.1,5.0,10.0
200_2000,N_U_2,O3_Standard,759487.0,765774.2,5.0,10.0
200_2000,N_U_2,Tabu,726927.0,729904.0,5.0,10.0
200_2000,N_U_3,O3_Smart,717222.0,722332.2,5.0,10.0
200_2000,N_U_3,O3_Standard,719421.0,726582.2,5.0,10.0
200_2000,N_U_3,Tabu,689559.0,690764.3,5.0,10.0
200_2000,N_U_4,O3_Smart,1964320.0,2022991.7,5.0,10.0
200_2000,N_U_4,O3_Standard,1821988.0,1928668.8,5.0,10.0
200_2000,N_U_4,Tabu,1711276.0,1737966.3,5.0,10.0
200_2000,N_U_5,O3_Smart,748909.0,755062.1,5.0,10.0
200_2000,N_U_5,O3_Standard,755212.0,758800.1,5.0,10.0
200_2000,N_U_5,Tabu,718646.0,721686.2,5.0,10.0
200_2000,U_N_1,O3_Smart,919216.0,929838.0,5.0,10.0
200_2000,U_N_1,O3_Standard,932218.0,945985.3,5.000100000000001,10.0
200_2000,U_N_1,Tabu,880005.0,886287.2,5.0,10.0
200_2000,U_N_2,O3_Smart,555752.0,577542.0,5.0,10.0
200_2000,U_N_2,O3_Standard,546437.0,564277.7,5.0,10.0
200_2000,U_N_2,Tabu,459222.0,460641.8,5.0,10.0
200_2000,U_N_3,O3_Smart,861505.0,877381.4,5.0,10.0
200_2000,U_N_3,O3_Standard,879013.0,893458.8,5.000100000000001,10.0
200_2000,U_N_3,Tabu,833246.0,837518.2,5.0,10.0
200_2000,U_N_4,O3_Smart,958043.0,972041.4,5.000100000000001,10.0
200_2000,U_N_4,O3_Standard,972193.0,987094.9,5.0,10.0
200_2000,U_N_4,Tabu,920563.0,928814.8,5.0,10.0
200_2000,U_N_5,O3_Smart,8380342.0,8608739.1,5.0003,10.0
200_2000,U_N_5,O3_Standard,8833436.0,9293178.1,5.0,10.0
200_2000,U_N_5,Tabu,7015997.0,7328101.0,5.0004,10.0
200_2000,U_U_1,O3_Smart,1528489.0,1575917.4,5.0,10.0
200_2000,U_U_1,O3_Standard,1571114.0,1646361.5,5.0,10.0
200_2000,U_U_1,Tabu,1371121.0,1379004.2,5.0,10.0
200_2000,U_U_2,O3_Smart,451228.0,454341.9,5.0,10.0
200_2000,U_U_2,O3_Standard,447499.0,452852.2,5.0,10.0
200_2000,U_U_2,Tabu,406604.0,407628.5,5.000100000000001,10.0
200_2000,U_U_3,O3_Smart,545686.0,567717.4,5.0,10.0
200_2000,U_U_3,O3_Standard,541456.0,559470.7,5.0,10.0
200_2000,U_U_3,Tabu,434428.0,435127.9,5.0,10.0
200_2000,U_U_4,O3_Smart,592218.0,594717.1,5.0,10.0
200_2000,U_U_4,O3_Standard,593949.0,599585.2,5.0,10.0
200_2000,U_U_4,Tabu,565025.0,566386.1,5.0,10.0
200_2000,U_U_5,O3_Smart,463336.0,464980.1,5.0,10.0
200_2000,U_U_5,O3_Standard,459664.0,463657.4,5.0,10.0
200_2000,U_U_5,Tabu,409128.0,409993.6,5.0,10.0
200_5000,N_N_1,O3_Smart,87443675.0,92338344.5,5.0004,10.0
200_5000,N_N_1,O3_Standard,91595736.0,95054685.5,5.0009999999999994,10.0
200_5000,N_N_1,Tabu,78557188.0,82118674.5,5.000100000000001,10.0
200_5000,N_N_2,O3_Smart,8207983.0,9153380.2,5.0,10.0
200_5000,N_N_2,O3_Standard,8665279.0,9567197.7,5.0003,10.0
200_5000,N_N_2,Tabu,8081662.0,8607327.4,5.0,10.0
200_5000,N_N_3,O3_Smart,9443720.0,10185867.0,5.0,10.0
200_5000,N_N_3,O3_Standard,10720395.0,11193167.5,5.0002,10.0
200_5000,N_N_3,Tabu,8805969.0,9631372.7,5.0,10.0
200_5000,N_N_4,O3_Smart,4102985.0,4405306.9,5.0002,10.0
200_5000,N_N_4,O3_Standard,3655013.0,4345200.2,5.000100000000001,10.0
200_5000,N_N_4,Tabu,3156037.0,3205073.3,5.0,10.0
200_5000,N_N_5,O3_Smart,3940893.0,4139567.6,5.000100000000001,10.0
200_5000,N_N_5,O3_Standard,3828714.0,4000215.7,5.0002,10.0
200_5000,N_N_5,Tabu,2983071.0,3014611.9,5.0,10.0
200_5000,N_U_1,O3_Smart,4558338.0,4758664.4,5.000100000000001,10.0
200_5000,N_U_1,O3_Standard,4563887.0,4692081.3,5.0004,10.0
200_5000,N_U_1,Tabu,4253081.0,4310453.3,5.0,10.0
200_5000,N_U_2,O3_Smart,15014621.0,15874213.5,5.0,10.0
200_5000,N_U_2,O3_Standard,16471948.0,17611523.7,5.0,10.0
200_5000,N_U_2,Tabu,14249193.0,14978774.2,5.0,10.0
200_5000,N_U_3,O3_Smart,15582349.0,16362274.3,5.000500000000001,10.0
200_5000,N_U_3,O3_Standard,16401452.0,17332672.2,5.0004,10.0
200_5000,N_U_3,Tabu,15027989.0,15524791.6,5.0003,10.0
200_5000,N_U_4,O3_Smart,17239553.0,17885684.9,5.0,10.0
200_5000,N_U_4,O3_Standard,18266330.0,18964284.0,5.0,10.0
200_5000,N_U_4,Tabu,15462289.0,16847138.6,5.0,10.0
200_5000,N_U_5,O3_Smart,14672402.0,15140735.2,5.0,10.0
200_5000,N_U_5,O3_Standard,15350668.0,15699313.4,5.0,10.0
200_5000,N_U_5,Tabu,13682486.0,14118057.3,5.000100000000001,10.0
200_5000,U_N_1,O3_Smart,3516273.0,3632645.1,5.0,10.0
200_5000,U_N_1,O3_Standard,3403151.0,3545308.5,5.0,10.0
200_5000,U_N_1,Tabu,2570113.0,2582146.5,5.0,10.0
200_5000,U_N_2,O3_Smart,5912972.0,5998102.2,5.0,10.0
200_5000,U_N_2,O3_Standard,5993709.0,6228408.7,5.0,10.0
200_5000,U_N_2,Tabu,5694905.0,5895095.0,5.0,10.0
200_5000,U_N_3,O3_Smart,24218622.0,25579815.0,5.0,10.0
200_5000,U_N_3,O3_Standard,26428888.0,27343425.2,5.0005,10.0
200_5000,U_N_3,Tabu,24279905.0,24718360.0,5.0,10.0
200_5000,U_N_4,O3_Smart,44301236.0,47050657.1,5.0,10.0
200_5000,U_N_4,O3_Standard,48947076.0,50071662.7,5.0005,10.0
200_5000,U_N_4,Tabu,43057050.0,45033833.9,5.0,10.0
200_5000,U_N_5,O3_Smart,3585738.0,3825438.9,5.0,10.0
200_5000,U_N_5,O3_Standard,3288432.0,3586096.1,5.0,10.0
200_5000,U_N_5,Tabu,2668121.0,2699393.3,5.0,10.0
200_5000,U_U_1,O3_Smart,3053296.0,3202904.8,5.0,10.0
200_5000,U_U_1,O3_Standard,3123756.0,3193991.2,5.0,10.0
200_5000,U_U_1,Tabu,2463236.0,2472498.4,5.0,10.0
200_5000,U_U_2,O3_Smart,3813077.0,3833508.7,5.0,10.0
