test_id,algo,mach,job,lower_cost,upper_cost,obj_best,obj_mean,runtime_mean
T_1,Tabu+O3,2.0,8.0,74.0,152.0,182.0,182.0,0.2000058
T_2,Tabu+O3,2.0,8.0,344.0,391.0,243.0,243.0,0.2000017
T_3,Tabu+O3,2.0,8.0,84.0,234.0,232.0,232.0,0.2000017
T_4,Tabu+O3,2.0,8.0,102.0,264.0,331.0,331.0,0.20000289999999996
T_5,Tabu+O3,2.0,8.0,160.0,304.0,204.0,204.0,0.2000025
T_6,Tabu+O3,2.0,8.0,202.0,258.0,285.0,285.0,0.20000150000000003
T_7,Tabu+O3,2.0,8.0,348.0,394.0,254.0,254.0,0.2000013
T_8,Tabu+O3,2.0,8.0,84.0,130.0,221.0,221.0,0.20000310000000004
T_9,Tabu+O3,2.0,8.0,261.0,309.0,253.0,253.0,0.2000019
T_10,Tabu+O3,2.0,8.0,372.0,422.0,286.0,286.0,0.20000080000000003
T_11,Tabu+O3,2.0,8.0,89.0,233.0,212.0,212.0,0.20000150000000003
T_12,Tabu+O3,2.0,8.0,164.0,210.0,161.0,161.0,0.20000120000000005
T_13,Tabu+O3,2.0,8.0,80.0,256.0,179.0,179.0,0.20000179999999998
T_14,Tabu+O3,2.0,8.0,104.0,275.0,249.0,249.0,0.20000210000000002
T_15,Tabu+O3,2.0,8.0,110.0,350.0,266.0,266.0,0.2000072
T_16,Tabu+O3,2.0,8.0,228.0,310.0,190.0,190.0,0.2000016
T_17,Tabu+O3,2.0,8.0,80.0,215.0,175.0,175.0,0.2000019
T_18,Tabu+O3,2.0,8.0,234.0,276.0,164.0,164.0,0.20000180000000004
T_19,Tabu+O3,2.0,8.0,396.0,450.0,238.0,238.0,0.20000610000000002
T_20,Tabu+O3,2.0,8.0,88.0,186.0,206.0,206.0,0.2000021
T_21,Tabu+O3,2.0,8.0,234.0,318.0,143.0,143.0,0.20001280000000002
T_22,Tabu+O3,2.0,8.0,234.0,426.0,252.0,252.0,0.20000990000000002
T_23,Tabu+O3,2.0,8.0,76.0,158.0,137.0,137.0,0.2000064
T_24,Tabu+O3,2.0,8.0,192.0,226.0,135.0,135.0,0.20000140000000002
T_25,Tabu+O3,2.0,8.0,79.0,169.0,148.0,148.0,0.2000032
T_26,Tabu+O3,2.0,8.0,111.0,351.0,246.0,246.0,0.200001
T_27,Tabu+O3,2.0,8.0,162.0,254.0,141.0,141.0,0.20000090000000004
T_28,Tabu+O3,2.0,8.0,136.0,216.0,126.0,126.0,0.2000017
