Instance,Run,Objective,Runtime
1,1,182,0.094852
1,2,182,0.094548
1,3,182,0.096394
1,4,182,0.096264
1,5,182,0.090982
1,6,182,0.10077
1,7,182,0.089384
1,8,182,0.094127
1,9,182,0.093554
1,10,182,0.097899
2,1,243,0.087396
2,2,243,0.091388
2,3,243,0.092067
2,4,243,0.090303
2,5,243,0.089817
2,6,243,0.094622
2,7,243,0.092903
2,8,243,0.089465
2,9,243,0.102414
2,10,243,0.094324
3,1,232,0.094123
3,2,232,0.109742
3,3,232,0.095264
3,4,232,0.098128
3,5,232,0.094481
3,6,232,0.099358
3,7,232,0.093403
3,8,232,0.09513
3,9,232,0.094978
3,10,232,0.097871
4,1,331,0.090479
4,2,331,0.092578
4,3,331,0.094119
4,4,331,0.092392
4,5,331,0.092887
4,6,331,0.097885
4,7,331,0.09318
4,8,331,0.092958
4,9,331,0.09246
4,10,331,0.096216
5,1,204,0.096558
5,2,204,0.095202
5,3,204,0.099614
5,4,204,0.096886
5,5,204,0.103491
5,6,204,0.096897
5,7,204,0.101342
5,8,204,0.095902
5,9,204,0.096366
5,10,204,0.098018
6,1,285,0.098602
6,2,285,0.0985
6,3,285,0.098005
6,4,285,0.09667
6,5,285,0.103642
6,6,285,0.097424
6,7,285,0.098448
6,8,285,0.099598
6,9,285,0.097154
6,10,285,0.097929
7,1,254,0.09652
7,2,254,0.096319
7,3,254,0.096062
7,4,254,0.095865
7,5,254,0.096331
7,6,254,0.099249
7,7,254,0.097674
7,8,254,0.092524
7,9,254,0.097943
7,10,254,0.098399
8,1,221,0.092859
8,2,221,0.090927
8,3,221,0.092837
8,4,221,0.094545
8,5,221,0.090968
8,6,221,0.097023
8,7,221,0.09396
8,8,221,0.090687
8,9,221,0.090363
8,10,221,0.096432
9,1,253,0.095816
9,2,253,0.09838
9,3,253,0.094729
9,4,253,0.094853
9,5,253,0.096692
9,6,253,0.096293
9,7,253,0.100886
9,8,253,0.10267
9,9,253,0.096467
9,10,253,0.09943
10,1,286,0.094663
10,2,286,0.093711
10,3,286,0.094779
10,4,286,0.109615
10,5,286,0.098948
10,6,286,0.09392
10,7,286,0.09666
10,8,286,0.095631
10,9,286,0.099231
10,10,286,0.102182
11,1,212,0.102038
11,2,212,0.099121
11,3,212,0.103194
11,4,212,0.102213
11,5,212,0.102331
11,6,212,0.098496
11,7,212,0.098294
11,8,212,0.096445
11,9,212,0.102315
11,10,212,0.095263
12,1,161,0.133712
12,2,161,0.100032
12,3,161,0.107086
12,4,161,0.100727
12,5,161,0.099517
12,6,161,0.103916
12,7,161,0.107903
12,8,161,0.103838
12,9,161,0.102074
12,10,161,0.103066
13,1,179,0.103106
13,2,179,0.099222
13,3,179,0.100376
13,4,179,0.10396
13,5,179,0.102585
13,6,179,0.112557
13,7,179,0.101559
13,8,179,0.102826
13,9,179,0.102605
13,10,179,0.097721
14,1,249,0.099824
14,2,249,0.098699
14,3,249,0.097637
14,4,249,0.101102
14,5,249,0.101888
14,6,249,0.097423
14,7,249,0.098699
14,8,249,0.100193
14,9,249,0.103806
14,10,249,0.098247
15,1,266,0.100781
15,2,266,0.097946
15,3,266,0.095319
15,4,266,0.100873
15,5,266,0.098241
15,6,266,0.106121
15,7,266,0.101996
15,8,266,0.101189
15,9,266,0.099597
15,10,266,0.098124
16,1,190,0.110266
16,2,190,0.103579
16,3,190,0.107358
16,4,190,0.105491
16,5,190,0.102111
16,6,190,0.100238
16,7,190,0.113726
16,8,190,0.103794
16,9,190,0.103094
16,10,190,0.101222
17,1,175,0.095533
17,2,175,0.100847
17,3,175,0.098304
17,4,175,0.097426
17,5,175,0.099169
17,6,175,0.099746
17,7,175,0.098866
17,8,175,0.120198
17,9,175,0.107098
17,10,175,0.09976
18,1,164,0.100385
18,2,164,0.101217
18,3,164,0.098019
18,4,164,0.101369
18,5,164,0.097484
18,6,164,0.101587
18,7,164,0.099153
18,8,164,0.099093
18,9,164,0.102397
18,10,164,0.101933
19,1,238,0.104289
19,2,238,0.100621
19,3,238,0.100716
19,4,238,0.107722
19,5,238,0.106216
19,6,238,0.107636
19,7,238,0.103502
19,8,238,0.105538
19,9,238,0.103755
19,10,238,0.111278
20,1,206,0.09912
20,2,206,0.098839
20,3,206,0.104762
20,4,206,0.102143
20,5,206,0.097391
20,6,206,0.102201
20,7,206,0.102796
20,8,206,0.102639
20,9,206,0.119891
20,10,206,0.095215
21,1,143,0.096979
21,2,143,0.0987
21,3,143,0.097586
21,4,143,0.096886
21,5,143,0.100758
21,6,143,0.099713
21,7,143,0.098187
21,8,143,0.098289
21,9,143,0.103119
21,10,143,0.099309
22,1,252,0.102548
22,2,252,0.111315
22,3,252,0.107553
22,4,252,0.103398
22,5,252,0.104915
22,6,252,0.105787
22,7,252,0.105644
22,8,252,0.105809
22,9,252,0.109307
22,10,252,0.105113
23,1,137,0.106224
23,2,137,0.102591
23,3,137,0.1026
23,4,137,0.100774
23,5,137,0.099856
23,6,137,0.097241
23,7,137,0.103401
23,8,137,0.099335
23,9,137,0.096796
23,10,137,0.102944
24,1,135,0.116149
24,2,135,0.103545
24,3,135,0.10122
24,4,135,0.104349
24,5,135,0.117566
24,6,135,0.106015
24,7,135,0.098434
24,8,135,0.104679
24,9,135,0.111161
24,10,135,0.11756
25,1,148,0.139191
25,2,148,0.129457
25,3,148,0.113241
25,4,148,0.127077
25,5,148,0.1118
25,6,148,0.104611
25,7,148,0.111542
25,8,148,0.10728
25,9,148,0.111047
25,10,148,0.178251
26,1,246,0.191151
26,2,246,0.185819
26,3,246,0.18721
26,4,246,0.204105
26,5,246,0.185392
26,6,246,0.196977
26,7,246,0.18888
26,8,246,0.191798
26,9,246,0.209554
26,10,246,0.192438
27,1,141,0.180695
27,2,141,0.189344
27,3,141,0.179248
27,4,141,0.170259
27,5,141,0.186998
27,6,141,0.191838
27,7,141,0.18454
27,8,141,0.189118
27,9,141,0.181337
27,10,141,0.183363
28,1,126,0.190243
28,2,126,0.187667
28,3,126,0.192616
28,4,126,0.182025
28,5,126,0.182373
28,6,126,0.180678
28,7,126,0.183663
28,8,126,0.185242
28,9,126,0.187988
28,10,126,0.194179
29,1,194,0.188255
29,2,194,0.196057
29,3,194,0.179555
29,4,194,0.19071
29,5,194,0.181596
29,6,194,0.182387
29,7,194,0.187383
29,8,194,0.182369
29,9,194,0.176173
29,10,194,0.186672
30,1,143,0.186233
30,2,143,0.182518
30,3,143,0.183405
30,4,143,0.206815
30,5,143,0.209902
30,6,143,0.218188
30,7,143,0.180191
30,8,143,0.181259
30,9,143,0.191715
30,10,143,0.180458
31,1,230,0.166476
31,2,230,0.166353
31,3,230,0.166645
31,4,230,0.17217
31,5,230,0.159577
31,6,230,0.168216
31,7,230,0.168237
31,8,230,0.167355
31,9,230,0.160013
31,10,230,0.161934
32,1,247,0.188049
32,2,247,0.163672
32,3,247,0.166308
32,4,247,0.166063
32,5,247,0.166139
32,6,247,0.179721
32,7,247,0.231349
32,8,247,0.170006
32,9,247,0.173639
32,10,247,0.160946
33,1,273,0.172707
33,2,273,0.174891
33,3,273,0.187008
33,4,273,0.161441
33,5,273,0.181205
33,6,273,0.162954
33,7,273,0.163166
33,8,273,0.17598
33,9,273,0.160128
33,10,273,0.16921
34,1,202,0.157934
34,2,202,0.16343
34,3,202,0.155642
34,4,202,0.153488
34,5,202,0.175316
34,6,202,0.160771
34,7,202,0.163685
34,8,202,0.160296
34,9,202,0.154138
34,10,202,0.175759
35,1,248,0.177986
35,2,248,0.177198
35,3,248,0.172807
35,4,248,0.178011
35,5,248,0.188762
35,6,248,0.1817
35,7,248,0.172589
35,8,248,0.18489
35,9,248,0.173538
35,10,248,0.173975
36,1,310,0.166377
36,2,310,0.181429
36,3,310,0.172711
36,4,310,0.17522
36,5,310,0.168438
36,6,310,0.173364
36,7,310,0.179075
36,8,310,0.212213
36,9,310,0.17282
36,10,310,0.178187
37,1,205,0.169432
37,2,205,0.155485
37,3,205,0.210612
37,4,205,0.174934
37,5,205,0.17075
37,6,205,0.161252
37,7,205,0.161321
37,8,205,0.164134
37,9,205,0.172062
37,10,205,0.163334
38,1,210,0.176069
38,2,210,0.16902
38,3,210,0.163318
38,4,210,0.164815
38,5,210,0.170255
38,6,210,0.170587
38,7,210,0.172854
38,8,210,0.171989
38,9,210,0.172864
38,10,210,0.172257
39,1,226,0.169762
39,2,226,0.162783
39,3,226,0.162827
39,4,226,0.3517
39,5,226,0.168947
39,6,226,0.19817
39,7,226,0.256639
39,8,226,0.20023
39,9,226,0.159934
39,10,226,0.163169
40,1,191,0.227932
40,2,191,0.174354
40,3,191,0.271272
40,4,191,0.158219
40,5,191,0.160764
40,6,191,0.167472
40,7,191,0.161797
40,8,191,0.160798
40,9,191,0.16576
40,10,191,0.161506
41,1,147,0.20879
41,2,147,0.19343
41,3,147,0.182615
41,4,147,0.184214
41,5,147,0.235144
41,6,147,0.178468
41,7,147,0.173945
41,8,147,0.205386
41,9,147,0.178966
41,10,147,0.177122
42,1,181,0.20557
42,2,181,0.189032
42,3,181,0.175656
42,4,181,0.164027
42,5,181,0.191108
42,6,181,0.179044
42,7,181,0.18715
42,8,181,0.192162
42,9,181,0.18155
42,10,181,0.180977
43,1,159,0.188275
43,2,159,0.172974
43,3,159,0.175549
43,4,159,0.174855
43,5,159,0.172774
43,6,159,0.184787
43,7,159,0.180317
43,8,159,0.181178
43,9,159,0.185142
43,10,159,0.173054
