Instance,Run,Objective,Runtime
1800,1,244620,41.8713
1800,2,244565,40.7777
1800,3,244681,43.7244
1800,4,244550,43.3543
1800,5,244599,44.2306
1800,6,244585,45.0281
1800,7,244643,45.4876
1800,8,244594,45.8988
1800,9,244541,50.5734
1800,10,244582,47.5535
1801,1,2587,1.40406
1801,2,2572,1.34605
1801,3,2623,1.3325
1801,4,2584,1.38057
1801,5,2582,1.33978
1801,6,2579,1.39222
1801,7,2572,1.39271
1801,8,2577,1.31765
1801,9,2591,1.33803
1801,10,2583,1.312
1802,1,2264,1.4247
1802,2,2290,1.30535
1802,3,2267,1.33072
1802,4,2265,1.30363
1802,5,2265,1.35234
1802,6,2262,1.33284
1802,7,2277,1.28038
1802,8,2261,1.29194
1802,9,2256,1.39183
1802,10,2245,1.32414
1803,1,1917,1.32316
1803,2,1917,1.33696
1803,3,1919,1.40572
1803,4,1918,1.41432
1803,5,1917,1.32754
1803,6,1920,1.42355
1803,7,1920,1.27646
1803,8,1925,1.32126
1803,9,1919,1.30851
1803,10,1925,1.36077
1804,1,2479,1.22984
1804,2,2467,1.31486
1804,3,2474,1.31259
1804,4,2471,1.34552
1804,5,2471,1.37735
1804,6,2493,1.36257
1804,7,2479,1.28333
1804,8,2459,1.3537
1804,9,2477,1.31902
1804,10,2478,1.35962
1805,1,2040,1.33086
1805,2,2045,1.2954
1805,3,2042,1.29802
1805,4,2043,1.28052
1805,5,2038,1.37757
1805,6,2038,1.31922
1805,7,2047,1.32891
1805,8,2039,1.4434
1805,9,2042,1.44399
1805,10,2041,1.35545
1806,1,2161,1.26402
1806,2,2168,1.28978
1806,3,2172,1.36686
1806,4,2174,1.32286
1806,5,2188,1.34425
1806,6,2177,1.32212
1806,7,2176,1.36866
1806,8,2179,1.35692
1806,9,2210,1.27255
1806,10,2186,1.28642
1807,1,2111,1.26984
1807,2,2113,1.35316
1807,3,2117,1.32265
1807,4,2103,1.34251
1807,5,2111,1.24667
1807,6,2127,1.3308
1807,7,2114,1.30303
1807,8,2109,1.3154
1807,9,2114,1.28887
1807,10,2109,1.26996
1808,1,2613,1.30897
1808,2,2620,1.27483
1808,3,2570,1.40963
1808,4,2564,1.46284
1808,5,2591,1.34541
1808,6,2580,1.25498
1808,7,2605,1.29931
1808,8,2606,1.32444
1808,9,2569,1.2673
1808,10,2574,1.25829
1809,1,1711,1.2646
1809,2,1708,1.26526
1809,3,1711,1.25872
1809,4,1716,1.26937
1809,5,1712,1.24909
1809,6,1709,1.37098
1809,7,1712,1.29967
1809,8,1711,1.30878
1809,9,1704,1.30107
1809,10,1708,1.33852
1810,1,2426,1.30909
1810,2,2446,1.36785
1810,3,2483,1.36072
1810,4,2442,1.36136
1810,5,2468,1.26084
1810,6,2446,1.28604
1810,7,2432,1.3316
1810,8,2455,1.30887
1810,9,2478,1.46023
1810,10,2455,1.50909
1811,1,1476,1.20758
1811,2,1474,1.30355
1811,3,1471,1.26348
1811,4,1478,1.20427
1811,5,1475,1.23134
1811,6,1473,1.24526
1811,7,1475,1.25439
1811,8,1475,1.24368
1811,9,1474,1.2937
1811,10,1476,1.20588
1812,1,1884,1.27248
1812,2,1882,1.2205
1812,3,1885,1.32559
1812,4,1883,1.251
1812,5,1886,1.23857
1812,6,1884,1.31796
