Instance,Run,Objective,Runtime,Iterations
1,1,182,1,406776
1,2,182,1,412978
1,3,182,1,412726
1,4,182,1,439681
1,5,182,1,451255
1,6,182,1,453282
1,7,182,1,452990
1,8,182,1.00007,436580
1,9,182,1,444558
1,10,182,1,440527
2,1,243,1,443650
2,2,243,1,460873
2,3,243,1,465636
2,4,243,1,442275
2,5,243,1,465093
2,6,243,1,455188
2,7,243,1,466333
2,8,243,1,466580
2,9,243,1,465260
2,10,243,1,461427
3,1,232,1,455705
3,2,232,1,452816
3,3,232,1,456688
3,4,232,1,454385
3,5,232,1,453093
3,6,232,1,446487
3,7,232,1,439942
3,8,232,1,440303
3,9,232,1,454442
3,10,232,1,455259
4,1,331,1.00001,468482
4,2,331,1,461958
4,3,331,1,460952
4,4,331,1.00001,465580
4,5,331,1,468650
4,6,331,1,465815
4,7,331,1,462972
4,8,331,1,468165
4,9,331,1,460506
4,10,331,1,466606
5,1,204,1,417105
5,2,204,1,416642
5,3,204,1,383479
5,4,204,1,399336
5,5,204,1,416949
5,6,204,1,410697
5,7,204,1,418917
5,8,204,1,412447
5,9,204,1,422331
5,10,204,1,421087
6,1,285,1.00002,456423
6,2,285,1,456349
6,3,285,1,447877
6,4,285,1,447550
6,5,285,1,461661
6,6,285,1,455984
6,7,285,1,437308
6,8,285,1.00002,410740
6,9,285,1,424973
6,10,285,1,454149
7,1,254,1,446968
7,2,254,1,410653
7,3,254,1,224727
7,4,254,1,220284
7,5,254,1,214974
7,6,254,1,214277
7,7,254,1,209744
7,8,254,1.00001,214476
7,9,254,1,214969
7,10,254,1,210794
8,1,221,1,211590
8,2,221,1,231759
8,3,221,1,231202
8,4,221,1,245707
8,5,221,1,244092
8,6,221,1,377595
8,7,221,1,466662
8,8,221,1,465816
8,9,221,1,459424
8,10,221,1,467691
9,1,253,1,451562
9,2,253,1,455404
9,3,253,1,460839
9,4,253,1,456582
9,5,253,1,455221
9,6,253,1,463053
9,7,253,1,451471
9,8,253,1,459297
9,9,253,1,458586
9,10,253,1,460779
10,1,286,1,446428
10,2,286,1,449211
10,3,286,1,457014
10,4,286,1,454522
10,5,286,1,444984
10,6,286,1,451556
10,7,286,1,448304
10,8,286,1,452429
10,9,286,1.00001,440497
10,10,286,1,447378
11,1,212,1,386623
11,2,212,1,405139
11,3,212,1,411143
11,4,212,1,414889
11,5,212,1,347618
11,6,212,1,277564
11,7,212,1.00038,223786
11,8,212,1,211222
11,9,212,1,193423
11,10,212,1,208596
12,1,161,1.00001,227176
12,2,161,1,233499
12,3,161,1,221956
12,4,161,1.00001,230250
12,5,161,1,229216
12,6,161,1,375357
12,7,161,1,465667
12,8,161,1,466189
12,9,161,1,464016
12,10,161,1,459274
13,1,179,1,459140
13,2,179,1,466483
13,3,179,1,451871
13,4,179,1,465673
13,5,179,1,468135
13,6,179,1.00022,456892
13,7,179,1,461918
13,8,179,1,466259
13,9,179,1,457269
13,10,179,1,465229
14,1,249,1,459079
14,2,249,1,410166
14,3,249,1,275929
14,4,249,1,240164
14,5,249,1,241121
14,6,249,1,237320
14,7,249,1,239945
14,8,249,1.00001,240672
14,9,249,1,242217
14,10,249,1,325871
15,1,266,1,407358
15,2,266,1,448215
15,3,266,1,454953
15,4,266,1,454468
15,5,266,1,456316
15,6,266,1,408614
15,7,266,1,402918
15,8,266,1,437471
15,9,266,1,269229
15,10,266,1,393302
16,1,190,1,404798
16,2,190,1.00002,367801
16,3,190,1,399831
16,4,190,1,425730
16,5,190,1,389331
16,6,190,1,353648
16,7,190,1,255532
16,8,190,1,338047
16,9,190,1,410827
16,10,190,1,396406
17,1,175,1,413772
17,2,175,1,382354
17,3,175,1,379224
17,4,175,1,360632
17,5,175,1,357371
17,6,175,1,336018
17,7,175,1,366908
17,8,175,1,403674
17,9,175,1,402669
17,10,175,1,421679
18,1,164,1,472779
18,2,164,1,478846
18,3,164,1,469013
18,4,164,1,465669
18,5,164,1,467909
18,6,164,1,451956
18,7,164,1,470175
18,8,164,1,473840
18,9,164,1,473723
18,10,164,1,474444
19,1,238,1,476477
19,2,238,1,472801
19,3,238,1,467867
19,4,238,1,469655
19,5,238,1,464637
19,6,238,1,453880
19,7,238,1,465109
19,8,238,1,474357
19,9,238,1,470960
19,10,238,1,459245
20,1,206,1,410477
20,2,206,1,466012
20,3,206,1,458468
20,4,206,1,411919
20,5,206,1.00029,468891
20,6,206,1,412410
20,7,206,1,421440
20,8,206,1,468762
20,9,206,1,416071
20,10,206,1,419174
21,1,143,1,396675
21,2,143,1,383315
21,3,143,1.00001,336061
21,4,143,1,221021
21,5,143,1,212608
21,6,143,1,203353
21,7,143,1,201898
21,8,143,1,207887
21,9,143,1,208235
21,10,143,1.00001,201882
22,1,252,1.00146,205060
22,2,252,1,218439
22,3,252,1,227111
22,4,252,1.00001,215586
22,5,252,1.00001,206829
22,6,252,1,226740
22,7,252,1,226217
22,8,252,1.00001,218184
22,9,252,1,211738
22,10,252,1.00001,212292
23,1,137,1,213722
23,2,137,1,209579
23,3,137,1,212245
23,4,137,1,204175
23,5,137,1,211151
23,6,137,1,210992
23,7,137,1,200563
23,8,137,1,204998
23,9,137,1,216170
23,10,137,1,205435
24,1,135,1,200605
24,2,135,1,230665
24,3,135,1,195364
24,4,135,1,201883
24,5,135,1,232457
24,6,135,1,229555
24,7,135,1,236229
24,8,135,1.00005,198238
24,9,135,1,202530
24,10,135,1.00001,197015
25,1,148,1,242183
25,2,148,1,225572
25,3,148,1,222539
25,4,148,1,226585
25,5,148,1,236638
25,6,148,1,239541
25,7,148,1,237657
25,8,148,1.00001,216244
25,9,148,1,226103
25,10,148,1.00002,233971
26,1,246,1,231646
26,2,246,1,223683
26,3,246,1,225333
26,4,246,1,229114
26,5,246,1,234332
26,6,246,1,228390
26,7,246,1,214827
26,8,246,1,241635
26,9,246,1,222020
26,10,246,1,231789
27,1,141,1.00001,214609
27,2,141,1,209096
27,3,141,1,221442
27,4,141,1,210237
27,5,141,1.00001,213285
27,6,141,1,225284
27,7,141,1,222084
27,8,141,1,216288
27,9,141,1.00001,227444
27,10,141,1,217182
28,1,126,1,213755
28,2,126,1,206623
28,3,126,1,206086
28,4,126,1,214045
28,5,126,1,200217
28,6,126,1.00013,214665
28,7,126,1,212890
28,8,126,1,200100
28,9,126,1,212785
28,10,126,1,223111
29,1,194,1,233037
29,2,194,1,228130
29,3,194,1,225644
29,4,194,1,227451
29,5,194,1,224905
29,6,194,1,217858
29,7,194,1,385814
29,8,194,1,470743
29,9,194,1,436238
29,10,194,1,469117
30,1,143,1,474992
30,2,143,1,469073
30,3,143,1,470112
30,4,143,1,463710
30,5,143,1,469483
30,6,143,1.00001,457830
30,7,143,1,477519
30,8,143,1,484625
30,9,143,1,446038
30,10,143,1,481666
31,1,230,1,468802
31,2,230,1,461894
31,3,230,1,458697
31,4,230,1,453652
31,5,230,1,457276
31,6,230,1,470512
31,7,230,1,474149
31,8,230,1,468272
31,9,230,1,454864
31,10,230,1,472113
32,1,247,1,472131
32,2,247,1,468725
32,3,247,1,473826
32,4,247,1,464822
32,5,247,1,470596
32,6,247,1,465428
32,7,247,1.00001,470701
32,8,247,1,463334
32,9,247,1,482526
32,10,247,1,464170
33,1,273,1,465661
33,2,273,1,476749
33,3,273,1,472113
33,4,273,1,464737
33,5,273,1,486496
33,6,273,1,462780
33,7,273,1,456727
33,8,273,1,465388
33,9,273,1,464785
33,10,273,1,456798
34,1,202,1,437924
34,2,202,1,414126
34,3,202,1,436967
34,4,202,1,428270
34,5,202,1,443785
34,6,202,1,451738
34,7,202,1,478127
34,8,202,1,469806
34,9,202,1,457188
34,10,202,1,465064
35,1,248,1,453645
35,2,248,1,460705
35,3,248,1,446836
35,4,248,1,438458
35,5,248,1,451912
35,6,248,1,460442
35,7,248,1,417301
35,8,248,1,391647
35,9,248,1,409661
35,10,248,1,455133
36,1,310,1,450097
36,2,310,1,416087
36,3,310,1,363288
36,4,310,1,395750
36,5,310,1,389250
36,6,310,1,373022
36,7,310,1,433837
36,8,310,1,454700
36,9,310,1,449510
36,10,310,1,454559
37,1,205,1,458634
37,2,205,1,465291
37,3,205,1,421785
37,4,205,1,384902
37,5,205,1,429512
37,6,205,1,459000
37,7,205,1,443703
37,8,205,1,454224
37,9,205,1,428809
37,10,205,1,462061
38,1,210,1,443609
38,2,210,1,437561
38,3,210,1,453172
38,4,210,1,356179
38,5,210,1,411335
38,6,210,1,364434
38,7,210,1.00001,362112
38,8,210,1,228313
38,9,210,1,228560
38,10,210,1,225922
39,1,226,1,222633
39,2,226,1.0001,228224
39,3,226,1,230683
39,4,226,1,217434
39,5,226,1,226271
39,6,226,1,218339
39,7,226,1,227368
39,8,226,1,223132
39,9,226,1,230908
39,10,226,1,384564
40,1,191,1,455429
40,2,191,1,467491
40,3,191,1,470170
40,4,191,1,466925
40,5,191,1.00007,430220
40,6,191,1,425792
40,7,191,1,412164
40,8,191,1,373041
40,9,191,1,411304
40,10,191,1,436558
41,1,147,1,403947
41,2,147,1,452813
41,3,147,1,433163
41,4,147,1,305288
41,5,147,1.00001,219946
41,6,147,1,222732
41,7,147,1.00001,220402
41,8,147,1,223627
41,9,147,1,219768
41,10,147,1,218763
42,1,181,1,221805
42,2,181,1,193990
42,3,181,1,206934
42,4,181,1,187940
42,5,181,1,223355
42,6,181,1,220211
42,7,181,1,193034
42,8,181,1.00006,190311
42,9,181,1,196149
42,10,181,1.00001,210085
43,1,159,1,203203
43,2,159,1.00028,195540
43,3,159,1,213447
43,4,159,1.00001,195953
43,5,159,1,209638
43,6,159,1.00001,208678
43,7,159,1,197779
43,8,159,1,224982
43,9,159,1,217496
43,10,159,1,217960
44,1,183,1.00001,227006
44,2,183,1,217091
44,3,183,1,280409
44,4,183,1,454738
44,5,183,1,470370
44,6,183,1,420452
44,7,183,1,396272
44,8,183,1,344159
44,9,183,1,210119
44,10,183,1,194148
45,1,179,1,205082
45,2,179,1,207480
45,3,179,1,385679
45,4,179,1,417823
45,5,179,1,409800
45,6,179,1,400448
45,7,179,1,427106
45,8,179,1,438493
45,9,179,1,427068
45,10,179,1,422931
46,1,225,1,434766
46,2,225,1.0003,435382
46,3,225,1,425943
46,4,225,1,424865
46,5,225,1,414396
46,6,225,1,429055
46,7,225,1,422501
46,8,225,1,424077
46,9,225,1,426654
46,10,225,1,410521
47,1,327,1,405298
47,2,327,1,466023
47,3,327,1,465447
47,4,327,1,473543
47,5,327,1,487935
47,6,327,1,480119
47,7,327,1,483659
47,8,327,1,475700
47,9,327,1,474125
47,10,327,1.00013,474975
48,1,223,1,473405
48,2,223,1,482132
48,3,223,1,468346
48,4,223,1,452221
48,5,223,1,463558
48,6,223,1,457251
48,7,223,1,434811
48,8,223,1,362448
48,9,223,1,449489
48,10,223,1,472564
49,1,158,1,382757
49,2,158,1,419721
49,3,158,1,340141
49,4,158,1,374128
49,5,158,1,325423
49,6,158,1,366372
49,7,158,1,365453
49,8,158,1,357687
49,9,158,1,389002
49,10,158,1,372739
50,1,171,1,467632
50,2,171,1,435831
50,3,171,1,445047
50,4,171,1,416995
50,5,171,1,414309
50,6,171,1,425118
50,7,171,1,403002
50,8,171,1.00003,328602
50,9,171,1,450798
50,10,171,1,463726
51,1,225,1,462548
51,2,225,1,464136
51,3,225,1,465877
51,4,225,1,473886
51,5,225,1,464749
51,6,225,1,461228
51,7,225,1,463560
51,8,225,1.00001,447585
51,9,225,1,449317
51,10,225,1,460496
52,1,192,1,444269
52,2,192,1,429713
52,3,192,1,405047
52,4,192,1,427706
52,5,192,1,430811
52,6,192,1,464628
52,7,192,1,421777
52,8,192,1,446905
52,9,192,1,422128
52,10,192,1,457530
53,1,113,1,435875
53,2,113,1,439863
53,3,113,1,431574
53,4,113,1,425548
53,5,113,1,434019
53,6,113,1,431130
53,7,113,1,442291
53,8,113,1,438174
53,9,113,1,443875
53,10,113,1,448208
54,1,182,1,485111
54,2,182,1,483561
54,3,182,1,485110
54,4,182,1,485379
54,5,182,1.00001,491299
54,6,182,1,485854
54,7,182,1,476399
54,8,182,1,476774
54,9,182,1,477113
54,10,182,1,467870
55,1,202,1,346740
55,2,202,1,402584
55,3,202,1,365437
55,4,202,1,379321
55,5,202,1,344607
55,6,202,1,394642
55,7,202,1,390342
55,8,202,1,408597
55,9,202,1,413550
55,10,202,1,421099
56,1,118,1,447214
56,2,118,1,462792
56,3,118,1,379419
56,4,118,1.00001,387203
56,5,118,1,325400
56,6,118,1,362706
56,7,118,1,398115
56,8,118,1,378173
56,9,118,1,340893
56,10,118,1,348359
57,1,93,1,342272
57,2,93,1,427780
57,3,93,1,428080
57,4,93,1,426733
57,5,93,1,459177
57,6,93,1,456155
57,7,93,1,458763
57,8,93,1,459355
57,9,93,1,393743
57,10,93,1,414854
58,1,119,1.00002,416764
58,2,119,1,405936
58,3,119,1,431989
58,4,119,1,462068
58,5,119,1.00001,464499
58,6,119,1,355014
58,7,119,1,452786
58,8,119,1,422185
58,9,119,1,441749
58,10,119,1,418645
59,1,182,1,448219
59,2,182,1,406656
59,3,182,1,388123
59,4,182,1,412663
59,5,182,1,407745
59,6,182,1,422503
59,7,182,1,421510
59,8,182,1,377186
59,9,182,1,360562
59,10,182,1,381174
60,1,188,1,419331
60,2,188,1,453578
60,3,188,1,461724
60,4,188,1,468745
60,5,188,1,466976
60,6,188,1,466975
60,7,188,1,461862
60,8,188,1,462706
60,9,188,1,470216
60,10,188,1,457526
61,1,1041,1,448260
61,2,1041,1,455195
61,3,1041,1,451104
61,4,1041,1,454706
61,5,1041,1,454282
61,6,1041,1,457085
61,7,1041,1,449543
61,8,1041,1,457588
61,9,1041,1,445064
61,10,1041,1,457228
62,1,857,1,456416
62,2,857,1,460270
62,3,857,1,454357
62,4,857,1,463479
62,5,857,1,457362
62,6,857,1,456398
62,7,857,1,387653
62,8,857,1,236656
62,9,857,1.00001,226071
62,10,857,1,227038
63,1,1376,1,221357
63,2,1376,1,229892
63,3,1376,1,263298
63,4,1376,1,451660
63,5,1376,1,465302
63,6,1376,1,470559
63,7,1376,1,469315
63,8,1376,1,473441
63,9,1376,1,466892
63,10,1376,1,471295
64,1,661,1,421784
64,2,661,1,419344
64,3,661,1,419796
64,4,661,1,420478
64,5,661,1,420810
64,6,661,1,413420
64,7,661,1,410110
64,8,661,1,415927
64,9,661,1,394735
64,10,661,1,419829
65,1,673,1,457324
65,2,673,1,455030
65,3,673,1,454312
65,4,673,1,461279
65,5,673,1,464281
65,6,673,1,458305
65,7,673,1,458280
65,8,673,1,463395
65,9,673,1,461230
65,10,673,1,457434
66,1,865,1,461429
66,2,865,1,464233
66,3,865,1,454625
66,4,865,1,439373
66,5,865,1,431133
66,6,865,1,443819
66,7,865,1,431601
66,8,865,1,457019
66,9,865,1,458829
66,10,865,1,453830
67,1,1346,1,454177
67,2,1346,1,465368
67,3,1346,1,459562
67,4,1346,1,459889
67,5,1346,1,458665
67,6,1346,1,470094
67,7,1346,1,464630
67,8,1346,1,457914
67,9,1346,1,464644
67,10,1346,1,457710
68,1,659,1,418013
68,2,659,1,418080
68,3,659,1,411521
68,4,659,1,422135
68,5,659,1,411190
68,6,659,1,421261
68,7,659,1,408226
68,8,659,1,417173
68,9,659,1,420221
68,10,659,1,421211
