Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
1,1,182,0.200001,90373,2,8
1,2,182,0.200001,90517,2,8
1,3,182,0.200001,97811,2,8
1,4,182,0.200001,89965,2,8
1,5,182,0.200001,97741,2,8
1,6,182,0.200002,95578,2,8
1,7,182,0.200001,94289,2,8
1,8,182,0.200002,98127,2,8
1,9,182,0.200001,96378,2,8
1,10,182,0.2,97560,2,8
2,1,243,0.200001,90647,2,8
2,2,243,0.200001,91016,2,8
2,3,243,0.2,89409,2,8
2,4,243,0.2,88758,2,8
2,5,243,0.200001,92238,2,8
2,6,243,0.200002,89055,2,8
2,7,243,0.200002,91250,2,8
2,8,243,0.200001,90397,2,8
2,9,243,0.200002,93112,2,8
2,10,243,0.200001,94710,2,8
3,1,232,0.200002,92965,2,8
3,2,232,0.200001,99611,2,8
3,3,232,0.200002,98785,2,8
3,4,232,0.200002,96488,2,8
3,5,232,0.2,94717,2,8
3,6,232,0.200002,98415,2,8
3,7,232,0.2,98003,2,8
3,8,232,0.200002,95144,2,8
3,9,232,0.200002,99204,2,8
3,10,232,0.200001,96618,2,8
4,1,331,0.200001,91966,2,8
4,2,331,0.200001,91797,2,8
4,3,331,0.200002,89404,2,8
4,4,331,0.200002,91157,2,8
4,5,331,0.200002,91469,2,8
4,6,331,0.200001,91685,2,8
4,7,331,0.2,90613,2,8
4,8,331,0.2,91436,2,8
4,9,331,0.200001,91329,2,8
4,10,331,0.200002,91883,2,8
5,1,204,0.200003,87032,2,8
5,2,204,0.200002,88720,2,8
5,3,204,0.2,84962,2,8
5,4,204,0.2,83694,2,8
5,5,204,0.200001,87875,2,8
5,6,204,0.2,88306,2,8
5,7,204,0.2,89902,2,8
5,8,204,0.200042,89325,2,8
5,9,204,0.200001,89190,2,8
5,10,204,0.200001,89957,2,8
6,1,285,0.200001,99057,2,8
6,2,285,0.200001,91694,2,8
6,3,285,0.200001,94166,2,8
6,4,285,0.200001,92733,2,8
6,5,285,0.200002,90086,2,8
6,6,285,0.200001,90007,2,8
6,7,285,0.200001,92399,2,8
6,8,285,0.200001,91841,2,8
6,9,285,0.2,94581,2,8
6,10,285,0.2,99008,2,8
7,1,254,0.200004,88332,2,8
7,2,254,0.2,89666,2,8
7,3,254,0.200001,90768,2,8
7,4,254,0.200001,88879,2,8
7,5,254,0.200002,90034,2,8
7,6,254,0.200001,89985,2,8
7,7,254,0.200001,88790,2,8
7,8,254,0.200002,86584,2,8
7,9,254,0.200002,99095,2,8
7,10,254,0.2,95340,2,8
8,1,221,0.200003,89117,2,8
8,2,221,0.200003,89898,2,8
8,3,221,0.200001,86721,2,8
8,4,221,0.200001,95063,2,8
8,5,221,0.200004,89095,2,8
8,6,221,0.2,88852,2,8
8,7,221,0.2,88627,2,8
8,8,221,0.200003,86439,2,8
8,9,221,0.200001,85408,2,8
8,10,221,0.200002,81152,2,8
9,1,253,0.200001,98640,2,8
9,2,253,0.200001,88376,2,8
9,3,253,0.200002,88023,2,8
9,4,253,0.200001,90913,2,8
9,5,253,0.200002,89309,2,8
9,6,253,0.200002,90602,2,8
9,7,253,0.200001,89079,2,8
9,8,253,0.200001,94202,2,8
9,9,253,0.200003,87781,2,8
9,10,253,0.2,96550,2,8
10,1,286,0.2,95271,2,8
10,2,286,0.200001,88058,2,8
10,3,286,0.200002,95686,2,8
10,4,286,0.2,94149,2,8
10,5,286,0.200003,95115,2,8
10,6,286,0.200001,94270,2,8
10,7,286,0.2,95549,2,8
10,8,286,0.200001,93646,2,8
