Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_1,,1,1062204,5.000,41460
200_2000,N_N_1,,2,1061053,5.000,41012
200_2000,N_N_1,,3,1057050,5.000,42002
200_2000,N_N_1,,4,1051757,5.000,42172
200_2000,N_N_1,,5,1057873,5.000,37534
200_2000,N_N_1,,6,1055790,5.000,37078
200_2000,N_N_1,,7,1075710,5.001,29861
200_2000,N_N_1,,8,1096739,5.000,25934
200_2000,N_N_1,,9,1105474,5.000,25572
200_2000,N_N_1,,10,1099500,5.000,25537
200_2000,N_N_2,,1,1053603,5.000,23855
200_2000,N_N_2,,2,1042200,5.000,25397
200_2000,N_N_2,,3,1060675,5.000,25197
200_2000,N_N_2,,4,1057627,5.000,25695
200_2000,N_N_2,,5,1053699,5.000,25548
200_2000,N_N_2,,6,1051347,5.000,25057
200_2000,N_N_2,,7,1051422,5.000,25476
200_2000,N_N_2,,8,1057311,5.000,25294
200_2000,N_N_2,,9,1052683,5.000,26000
200_2000,N_N_2,,10,1041499,5.000,24760
200_2000,N_N_3,,1,520957,5.000,24686
200_2000,N_N_3,,2,517413,5.000,24210
200_2000,N_N_3,,3,518587,5.000,25335
200_2000,N_N_3,,4,516899,5.000,24328
200_2000,N_N_3,,5,517606,5.000,24219
200_2000,N_N_3,,6,519688,5.000,24435
200_2000,N_N_3,,7,517008,5.000,24562
200_2000,N_N_3,,8,526540,5.000,24249
200_2000,N_N_3,,9,515030,5.000,24541
200_2000,N_N_3,,10,514474,5.000,23945
200_2000,N_N_4,,1,4617125,5.000,26129
200_2000,N_N_4,,2,4666328,5.000,24669
200_2000,N_N_4,,3,4701864,5.000,23987
200_2000,N_N_4,,4,4640066,5.000,24604
200_2000,N_N_4,,5,4557447,5.000,24077
200_2000,N_N_4,,6,4559994,5.000,24652
200_2000,N_N_4,,7,4712944,5.000,24429
200_2000,N_N_4,,8,4962209,5.000,24410
200_2000,N_N_4,,9,4745875,5.006,24789
200_2000,N_N_4,,10,4870816,5.000,24524
200_2000,N_N_5,,1,9097460,5.000,24522
200_2000,N_N_5,,2,7491841,5.000,37034
200_2000,N_N_5,,3,8785800,5.000,29421
200_2000,N_N_5,,4,9060071,5.000,24245
