Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_1,,1,1076463,5.000,42529
200_2000,N_N_1,,2,1084036,5.000,42133
200_2000,N_N_1,,3,1062946,5.000,42336
200_2000,N_N_1,,4,1075814,5.000,41402
200_2000,N_N_1,,5,1075067,5.000,42256
200_2000,N_N_1,,6,1070601,5.000,42630
200_2000,N_N_1,,7,1080811,5.001,41465
200_2000,N_N_1,,8,1076980,5.000,40002
200_2000,N_N_1,,9,1078160,5.000,38824
200_2000,N_N_1,,10,1088053,5.000,38238
200_2000,N_N_2,,1,1055324,5.000,38682
200_2000,N_N_2,,2,1042873,5.000,39821
200_2000,N_N_2,,3,1039218,5.000,39586
200_2000,N_N_2,,4,1041582,5.000,40813
200_2000,N_N_2,,5,1064135,5.001,28679
200_2000,N_N_2,,6,1072670,5.000,25198
200_2000,N_N_2,,7,1051541,5.000,25070
200_2000,N_N_2,,8,1059160,5.000,24794
200_2000,N_N_2,,9,1058308,5.000,24511
200_2000,N_N_2,,10,1071371,5.000,24981
200_2000,N_N_3,,1,519510,5.000,25771
200_2000,N_N_3,,2,519857,5.000,25241
200_2000,N_N_3,,3,519049,5.000,24616
200_2000,N_N_3,,4,524856,5.000,24440
200_2000,N_N_3,,5,516304,5.000,25698
200_2000,N_N_3,,6,518212,5.000,26369
200_2000,N_N_3,,7,519324,5.000,24460
200_2000,N_N_3,,8,518213,5.000,24485
200_2000,N_N_3,,9,517209,5.000,24356
200_2000,N_N_3,,10,521202,5.000,23668
200_2000,N_N_4,,1,4859095,5.000,23994
200_2000,N_N_4,,2,4928458,5.001,23616
200_2000,N_N_4,,3,4897209,5.000,23530
200_2000,N_N_4,,4,4708728,5.000,24101
200_2000,N_N_4,,5,4847502,5.000,25010
200_2000,N_N_4,,6,4906951,5.000,24517
200_2000,N_N_4,,7,4842367,5.000,24670
200_2000,N_N_4,,8,4926412,5.000,24569
200_2000,N_N_4,,9,4948001,5.000,24616
200_2000,N_N_4,,10,4864397,5.000,24712
200_2000,N_N_5,,1,9370804,5.000,25143
200_2000,N_N_5,,2,9785965,5.000,24254
200_2000,N_N_5,,3,9590197,5.000,24639
200_2000,N_N_5,,4,10058677,5.000,24291
200_2000,N_N_5,,5,9565421,5.000,24622
200_2000,N_N_5,,6,9388809,5.000,24505
200_2000,N_N_5,,7,9195581,5.000,24336
200_2000,N_N_5,,8,10361254,5.004,24080
200_2000,N_N_5,,9,9370655,5.000,24477
200_2000,N_N_5,,10,9903724,5.000,25044
200_2000,N_U_1,,1,669471,5.000,24740
200_2000,N_U_1,,2,668267,5.000,24724
200_2000,N_U_1,,3,664965,5.000,24404
200_2000,N_U_1,,4,667789,5.000,25289
200_2000,N_U_1,,5,666681,5.000,24302
200_2000,N_U_1,,6,672197,5.000,23582
200_2000,N_U_1,,7,666720,5.000,24400
200_2000,N_U_1,,8,671487,5.000,23737
200_2000,N_U_1,,9,659506,5.000,24361
200_2000,N_U_1,,10,665200,5.000,24520
200_2000,N_U_2,,1,755070,5.000,25329
200_2000,N_U_2,,2,756932,5.000,24784
200_2000,N_U_2,,3,761805,5.000,24448
200_2000,N_U_2,,4,761273,5.000,24731
200_2000,N_U_2,,5,752931,5.000,24560
200_2000,N_U_2,,6,767751,5.000,24251
200_2000,N_U_2,,7,755018,5.000,25279
200_2000,N_U_2,,8,764146,5.000,25318
200_2000,N_U_2,,9,758389,5.000,30718
200_2000,N_U_2,,10,748273,5.001,42239
200_2000,N_U_3,,1,714717,5.000,40516
200_2000,N_U_3,,2,711433,5.000,39166
200_2000,N_U_3,,3,719162,5.000,40445
200_2000,N_U_3,,4,715100,5.000,40847
200_2000,N_U_3,,5,710614,5.000,41069
200_2000,N_U_3,,6,720122,5.000,35716
200_2000,N_U_3,,7,712522,5.000,36954
200_2000,N_U_3,,8,718354,5.000,38047
200_2000,N_U_3,,9,711789,5.000,37773
200_2000,N_U_3,,10,716670,5.000,37104
200_2000,N_U_4,,1,1921644,5.000,41365
200_2000,N_U_4,,2,1880189,5.000,40060
200_2000,N_U_4,,3,1927091,5.000,39168
200_2000,N_U_4,,4,1892481,5.000,40073
200_2000,N_U_4,,5,1885702,5.000,42646
200_2000,N_U_4,,6,1838308,5.000,42426
200_2000,N_U_4,,7,1884007,5.000,42818
200_2000,N_U_4,,8,1849479,5.000,43198
200_2000,N_U_4,,9,1894246,5.000,41024
200_2000,N_U_4,,10,1913775,5.000,39888
200_2000,N_U_5,,1,741836,5.000,33993
200_2000,N_U_5,,2,744212,5.000,24930
200_2000,N_U_5,,3,748464,5.000,24775
200_2000,N_U_5,,4,745934,5.000,24446
200_2000,N_U_5,,5,747314,5.000,24083
200_2000,N_U_5,,6,748005,5.000,27627
200_2000,N_U_5,,7,744177,5.000,36797
200_2000,N_U_5,,8,740214,5.000,38890
200_2000,N_U_5,,9,739769,5.000,40466
200_2000,N_U_5,,10,745126,5.000,42436
200_2000,U_N_1,,1,908122,5.000,39118
200_2000,U_N_1,,2,909390,5.000,42175
200_2000,U_N_1,,3,908479,5.000,38820
200_2000,U_N_1,,4,926956,5.000,33579
200_2000,U_N_1,,5,915236,5.000,34345
200_2000,U_N_1,,6,920882,5.000,31958
200_2000,U_N_1,,7,907944,5.000,36816
200_2000,U_N_1,,8,919439,5.000,32384
200_2000,U_N_1,,9,920766,5.000,32817
200_2000,U_N_1,,10,922821,5.000,36303
200_2000,U_N_2,,1,470320,5.000,35238
200_2000,U_N_2,,2,469594,5.000,37010
200_2000,U_N_2,,3,471875,5.000,36210
200_2000,U_N_2,,4,469575,5.000,36074
200_2000,U_N_2,,5,470858,5.000,34761
200_2000,U_N_2,,6,470612,5.000,38800
200_2000,U_N_2,,7,468722,5.000,37693
200_2000,U_N_2,,8,469738,5.000,37352
200_2000,U_N_2,,9,470207,5.000,39069
200_2000,U_N_2,,10,471340,5.000,38374
200_2000,U_N_3,,1,858461,5.000,39037
200_2000,U_N_3,,2,870222,5.000,38580
200_2000,U_N_3,,3,865092,5.000,38411
200_2000,U_N_3,,4,869139,5.000,37979
200_2000,U_N_3,,5,865424,5.000,39016
200_2000,U_N_3,,6,861699,5.000,39340
200_2000,U_N_3,,7,872083,5.000,37867
200_2000,U_N_3,,8,860588,5.000,37505
200_2000,U_N_3,,9,865231,5.000,38138
200_2000,U_N_3,,10,865713,5.000,38546
200_2000,U_N_4,,1,948049,5.000,36673
200_2000,U_N_4,,2,957024,5.000,34075
200_2000,U_N_4,,3,964331,5.000,32639
200_2000,U_N_4,,4,951114,5.000,38724
200_2000,U_N_4,,5,957652,5.000,38742
200_2000,U_N_4,,6,966278,5.000,40353
200_2000,U_N_4,,7,959415,5.001,39741
200_2000,U_N_4,,8,966628,5.000,39623
200_2000,U_N_4,,9,952791,5.000,38629
200_2000,U_N_4,,10,966365,5.000,39863
200_2000,U_N_5,,1,8311348,5.000,38756
200_2000,U_N_5,,2,9089988,5.000,38996
200_2000,U_N_5,,3,8569169,5.000,38652
200_2000,U_N_5,,4,8243352,5.000,39982
200_2000,U_N_5,,5,8675597,5.001,39660
200_2000,U_N_5,,6,8519360,5.000,37283
200_2000,U_N_5,,7,8294872,5.000,38020
200_2000,U_N_5,,8,9236541,5.000,35534
200_2000,U_N_5,,9,8031244,5.000,39785
200_2000,U_N_5,,10,8554245,5.000,40001
200_2000,U_U_1,,1,1555788,5.000,39665
200_2000,U_U_1,,2,1532995,5.000,42249
200_2000,U_U_1,,3,1516238,5.000,41816
200_2000,U_U_1,,4,1558234,5.000,42490
200_2000,U_U_1,,5,1565335,5.000,37012
200_2000,U_U_1,,6,1559071,5.000,38910
200_2000,U_U_1,,7,1501626,5.000,38566
200_2000,U_U_1,,8,1526973,5.000,38146
200_2000,U_U_1,,9,1560754,5.000,37503
200_2000,U_U_1,,10,1542694,5.000,36760
200_2000,U_U_2,,1,415232,5.000,38040
200_2000,U_U_2,,2,417554,5.000,37367
200_2000,U_U_2,,3,418894,5.000,37875
200_2000,U_U_2,,4,414726,5.000,36796
200_2000,U_U_2,,5,414993,5.000,38785
200_2000,U_U_2,,6,414989,5.000,37612
200_2000,U_U_2,,7,416375,5.000,37072
200_2000,U_U_2,,8,419445,5.000,38106
200_2000,U_U_2,,9,412875,5.000,38332
200_2000,U_U_2,,10,414824,5.000,39033
200_2000,U_U_3,,1,448715,5.000,38397
200_2000,U_U_3,,2,445331,5.000,37460
200_2000,U_U_3,,3,453002,5.000,37342
200_2000,U_U_3,,4,443693,5.000,40327
200_2000,U_U_3,,5,445708,5.000,40752
200_2000,U_U_3,,6,445790,5.000,40580
200_2000,U_U_3,,7,442733,5.000,40701
200_2000,U_U_3,,8,446094,5.000,40631
200_2000,U_U_3,,9,443184,5.000,40578
200_2000,U_U_3,,10,446108,5.000,40594
200_2000,U_U_4,,1,585103,5.000,41627
200_2000,U_U_4,,2,582010,5.000,41073
200_2000,U_U_4,,3,582635,5.000,41307
200_2000,U_U_4,,4,581063,5.000,41552
200_2000,U_U_4,,5,587551,5.000,39534
200_2000,U_U_4,,6,584881,5.000,34852
200_2000,U_U_4,,7,585574,5.000,39684
200_2000,U_U_4,,8,582735,5.000,40694
200_2000,U_U_4,,9,586988,5.001,41981
200_2000,U_U_4,,10,585814,5.000,40153
200_2000,U_U_5,,1,418875,5.000,41420
200_2000,U_U_5,,2,416865,5.000,36771
200_2000,U_U_5,,3,419343,5.000,36141
200_2000,U_U_5,,4,424766,5.000,30567
200_2000,U_U_5,,5,429692,5.000,23601
200_2000,U_U_5,,6,431390,5.000,23659
200_2000,U_U_5,,7,427370,5.000,24291
200_2000,U_U_5,,8,425437,5.000,23991
200_2000,U_U_5,,9,429274,5.000,23612
200_2000,U_U_5,,10,423429,5.000,23757
200_5000,N_N_1,,1,93010980,5.001,11111
200_5000,N_N_1,,2,95261069,5.000,11134
200_5000,N_N_1,,3,91719462,5.000,11255
