Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_1,,1,1060153,5.000,41015
200_2000,N_N_1,,2,1121168,5.000,26036
200_2000,N_N_1,,3,1112017,5.000,25023
200_2000,N_N_1,,4,1103750,5.007,25149
200_2000,N_N_1,,5,1105062,5.000,25347
200_2000,N_N_1,,6,1104425,5.000,25003
200_2000,N_N_1,,7,1114902,5.000,24477
200_2000,N_N_1,,8,1110281,5.000,24817
200_2000,N_N_1,,9,1092107,5.000,24540
200_2000,N_N_1,,10,1115795,5.000,24173
200_2000,N_N_2,,1,1038987,5.000,24759
200_2000,N_N_2,,2,1053748,5.000,24052
200_2000,N_N_2,,3,1052675,5.000,24679
200_2000,N_N_2,,4,1063031,5.000,24343
200_2000,N_N_2,,5,1064331,5.000,23698
200_2000,N_N_2,,6,1050268,5.000,23817
200_2000,N_N_2,,7,1058334,5.000,24548
200_2000,N_N_2,,8,1051294,5.000,24646
200_2000,N_N_2,,9,1048355,5.000,24470
200_2000,N_N_2,,10,1050979,5.000,25690
200_2000,N_N_3,,1,517232,5.000,25986
200_2000,N_N_3,,2,520219,5.000,24668
200_2000,N_N_3,,3,516869,5.000,25913
200_2000,N_N_3,,4,517066,5.000,25212
200_2000,N_N_3,,5,516012,5.000,25157
200_2000,N_N_3,,6,518118,5.000,24626
200_2000,N_N_3,,7,518301,5.000,25148
200_2000,N_N_3,,8,519078,5.000,26206
200_2000,N_N_3,,9,519654,5.000,24836
200_2000,N_N_3,,10,514625,5.000,25320
200_2000,N_N_4,,1,4884615,5.000,25482
200_2000,N_N_4,,2,4778980,5.000,24903
200_2000,N_N_4,,3,4795358,5.000,23692
200_2000,N_N_4,,4,4700642,5.001,24386
200_2000,N_N_4,,5,4667321,5.000,24090
200_2000,N_N_4,,6,4669558,5.000,23368
200_2000,N_N_4,,7,4818672,5.000,23888
200_2000,N_N_4,,8,4738331,5.001,23321
200_2000,N_N_4,,9,4782250,5.000,24278
200_2000,N_N_4,,10,4697072,5.000,24694
200_2000,N_N_5,,1,8999950,5.000,23647
200_2000,N_N_5,,2,8780337,5.000,25024
200_2000,N_N_5,,3,9477671,5.000,24746
200_2000,N_N_5,,4,8695109,5.000,24982
200_2000,N_N_5,,5,8978724,5.000,24734
200_2000,N_N_5,,6,8794136,5.000,25230
200_2000,N_N_5,,7,9298517,5.000,24691
200_2000,N_N_5,,8,8940619,5.000,24731
200_2000,N_N_5,,9,9120039,5.000,25445
200_2000,N_N_5,,10,9108195,5.000,25191
200_2000,N_U_1,,1,665851,5.000,25516
200_2000,N_U_1,,2,662779,5.000,25119
200_2000,N_U_1,,3,661207,5.000,25145
200_2000,N_U_1,,4,663077,5.000,23853
200_2000,N_U_1,,5,663182,5.000,24239
200_2000,N_U_1,,6,658488,5.000,24285
200_2000,N_U_1,,7,665765,5.000,24692
200_2000,N_U_1,,8,660226,5.000,25673
200_2000,N_U_1,,9,662201,5.000,25185
200_2000,N_U_1,,10,656734,5.000,24551
200_2000,N_U_2,,1,754145,5.000,24733
200_2000,N_U_2,,2,753901,5.000,24268
200_2000,N_U_2,,3,749820,5.000,24824
200_2000,N_U_2,,4,752311,5.000,24271
200_2000,N_U_2,,5,746032,5.000,24885
200_2000,N_U_2,,6,751282,5.002,25038
200_2000,N_U_2,,7,754985,5.001,25054
200_2000,N_U_2,,8,750954,5.000,24756
200_2000,N_U_2,,9,754359,5.000,24448
200_2000,N_U_2,,10,753130,5.000,25000
200_2000,N_U_3,,1,724032,5.000,24514
200_2000,N_U_3,,2,712172,5.000,24896
200_2000,N_U_3,,3,711438,5.000,25139
200_2000,N_U_3,,4,714098,5.000,24543
200_2000,N_U_3,,5,711289,5.004,25152
200_2000,N_U_3,,6,713550,5.000,24218
200_2000,N_U_3,,7,711909,5.000,24548
200_2000,N_U_3,,8,712124,5.000,24796
200_2000,N_U_3,,9,714802,5.000,24139
200_2000,N_U_3,,10,708374,5.000,24380
200_2000,N_U_4,,1,1987821,5.001,24805
200_2000,N_U_4,,2,1966768,5.000,24572
200_2000,N_U_4,,3,1971066,5.000,22894
200_2000,N_U_4,,4,2014134,5.000,23968
200_2000,N_U_4,,5,2060844,5.000,24370
200_2000,N_U_4,,6,1959206,5.000,24075
200_2000,N_U_4,,7,1997633,5.000,24669
