Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_1,,1,1076237,5.000,32139
200_2000,N_N_1,,2,1072287,5.001,32609
200_2000,N_N_1,,3,1086810,5.010,32478
200_2000,N_N_1,,4,1069504,5.020,31614
200_2000,N_N_1,,5,1088741,5.000,32498
200_2000,N_N_1,,6,1080435,5.000,32291
200_2000,N_N_1,,7,1066124,5.007,32049
200_2000,N_N_1,,8,1079695,5.006,31784
200_2000,N_N_1,,9,1077356,5.009,30727
200_2000,N_N_1,,10,1081732,5.000,32442
200_2000,N_N_2,,1,1036849,5.000,31776
200_2000,N_N_2,,2,1037347,5.011,31110
200_2000,N_N_2,,3,1041855,5.000,30329
200_2000,N_N_2,,4,1036591,5.000,30957
200_2000,N_N_2,,5,1043997,5.001,30784
200_2000,N_N_2,,6,1039301,5.000,31722
200_2000,N_N_2,,7,1051058,5.000,30177
200_2000,N_N_2,,8,1043801,5.000,29898
200_2000,N_N_2,,9,1049730,5.001,30210
200_2000,N_N_2,,10,1043899,5.000,32440
200_2000,N_N_3,,1,504710,5.020,23747
200_2000,N_N_3,,2,503154,5.017,23811
200_2000,N_N_3,,3,504849,5.000,23334
200_2000,N_N_3,,4,508180,5.000,23457
200_2000,N_N_3,,5,505945,5.000,24491
200_2000,N_N_3,,6,505564,5.004,23007
200_2000,N_N_3,,7,512345,5.000,23786
200_2000,N_N_3,,8,506050,5.000,23870
200_2000,N_N_3,,9,506921,5.000,24265
200_2000,N_N_3,,10,506145,5.000,24026
200_2000,N_N_4,,1,4536939,5.000,33269
200_2000,N_N_4,,2,4451809,5.000,33516
200_2000,N_N_4,,3,4465001,5.000,32648
200_2000,N_N_4,,4,4534723,5.000,32835
200_2000,N_N_4,,5,4584436,5.010,33553
200_2000,N_N_4,,6,4456700,5.000,32728
200_2000,N_N_4,,7,4455935,5.000,34512
200_2000,N_N_4,,8,4662609,5.010,31073
200_2000,N_N_4,,9,4741658,5.000,29864
200_2000,N_N_4,,10,4587816,5.000,33884
200_2000,N_N_5,,1,8390098,5.001,33268
200_2000,N_N_5,,2,7903512,5.000,36176
200_2000,N_N_5,,3,7356226,5.000,38005
200_2000,N_N_5,,4,8132218,5.000,37650
200_2000,N_N_5,,5,7784875,5.000,37150
200_2000,N_N_5,,6,7753246,5.000,37167
200_2000,N_N_5,,7,7886319,5.000,34795
200_2000,N_N_5,,8,7870965,5.000,36048
200_2000,N_N_5,,9,8406973,5.000,34984
200_2000,N_N_5,,10,8449099,5.000,32670
200_2000,N_U_1,,1,646839,5.000,26584
200_2000,N_U_1,,2,644589,5.000,28576
200_2000,N_U_1,,3,644175,5.000,26991
200_2000,N_U_1,,4,646058,5.011,27925
200_2000,N_U_1,,5,646064,5.000,28506
200_2000,N_U_1,,6,645529,5.001,28196
200_2000,N_U_1,,7,645271,5.000,26572
200_2000,N_U_1,,8,650831,5.006,26571
200_2000,N_U_1,,9,647315,5.000,26358
200_2000,N_U_1,,10,647389,5.000,25124
200_2000,N_U_2,,1,740158,5.016,23041
200_2000,N_U_2,,2,744917,5.000,26747
200_2000,N_U_2,,3,738302,5.000,26849
200_2000,N_U_2,,4,740780,5.000,28021
200_2000,N_U_2,,5,741563,5.000,28613
200_2000,N_U_2,,6,735583,5.000,28729
200_2000,N_U_2,,7,744580,5.000,28105
200_2000,N_U_2,,8,741636,5.000,29169
