Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_1,,1,1065715,5.001,43427
200_2000,N_N_1,,2,1075541,5.000,42345
200_2000,N_N_1,,3,1070133,5.000,43627
200_2000,N_N_1,,4,1092129,5.000,38610
200_2000,N_N_1,,5,1072281,5.000,40676
200_2000,N_N_1,,6,1076584,5.000,41672
200_2000,N_N_1,,7,1077224,5.000,40208
200_2000,N_N_1,,8,1084275,5.000,38531
200_2000,N_N_1,,9,1069210,5.000,41146
200_2000,N_N_1,,10,1056809,5.000,40945
200_2000,N_N_2,,1,1051549,5.000,32580
200_2000,N_N_2,,2,1048875,5.000,40249
200_2000,N_N_2,,3,1039989,5.000,42198
200_2000,N_N_2,,4,1041012,5.000,43292
200_2000,N_N_2,,5,1050695,5.000,42442
200_2000,N_N_2,,6,1052583,5.000,42104
200_2000,N_N_2,,7,1048523,5.000,41925
200_2000,N_N_2,,8,1042382,5.001,43000
200_2000,N_N_2,,9,1044619,5.000,42239
200_2000,N_N_2,,10,1049368,5.000,42223
200_2000,N_N_3,,1,513913,5.000,39445
200_2000,N_N_3,,2,514629,5.000,39759
200_2000,N_N_3,,3,515731,5.000,40537
200_2000,N_N_3,,4,514719,5.000,40534
200_2000,N_N_3,,5,515723,5.000,40057
200_2000,N_N_3,,6,513458,5.000,40567
200_2000,N_N_3,,7,514986,5.000,41421
200_2000,N_N_3,,8,513302,5.000,40230
200_2000,N_N_3,,9,515905,5.000,41407
200_2000,N_N_3,,10,515571,5.000,39889
200_2000,N_N_4,,1,4492888,5.000,41918
200_2000,N_N_4,,2,4408917,5.000,40527
200_2000,N_N_4,,3,4598502,5.000,38644
200_2000,N_N_4,,4,4414396,5.000,41013
200_2000,N_N_4,,5,4443754,5.000,40800
200_2000,N_N_4,,6,4542127,5.000,40798
200_2000,N_N_4,,7,4334756,5.000,40392
200_2000,N_N_4,,8,4550495,5.000,40140
200_2000,N_N_4,,9,4468477,5.000,41166
200_2000,N_N_4,,10,4365055,5.000,40125
200_2000,N_N_5,,1,7826461,5.000,41208
200_2000,N_N_5,,2,7810948,5.000,39590
200_2000,N_N_5,,3,7757455,5.000,41254
200_2000,N_N_5,,4,7298197,5.000,40478
200_2000,N_N_5,,5,7647473,5.000,40391
200_2000,N_N_5,,6,8157823,5.001,40579
200_2000,N_N_5,,7,7814821,5.000,42092
200_2000,N_N_5,,8,7371992,5.000,42052
200_2000,N_N_5,,9,8542216,5.000,39331
200_2000,N_N_5,,10,7938369,5.000,41175
200_2000,N_U_1,,1,659045,5.000,41412
200_2000,N_U_1,,2,661191,5.000,42153
200_2000,N_U_1,,3,660531,5.000,41766
200_2000,N_U_1,,4,660462,5.000,42192
200_2000,N_U_1,,5,660770,5.000,42058
200_2000,N_U_1,,6,663674,5.000,42231
200_2000,N_U_1,,7,657514,5.000,41753
200_2000,N_U_1,,8,656556,5.000,41365
200_2000,N_U_1,,9,661784,5.000,42511
200_2000,N_U_1,,10,659886,5.000,43392
200_2000,N_U_2,,1,753248,5.000,41702
200_2000,N_U_2,,2,746918,5.000,42455
200_2000,N_U_2,,3,751289,5.000,42862
200_2000,N_U_2,,4,750845,5.000,42125
200_2000,N_U_2,,5,747767,5.000,42783
200_2000,N_U_2,,6,748766,5.000,42580
200_2000,N_U_2,,7,747151,5.000,41697
200_2000,N_U_2,,8,750711,5.000,40776
200_2000,N_U_2,,9,748863,5.000,40502
200_2000,N_U_2,,10,761579,5.000,25358
200_2000,N_U_3,,1,716390,5.000,24734
200_2000,N_U_3,,2,722411,5.000,24197
200_2000,N_U_3,,3,717132,5.000,24563
200_2000,N_U_3,,4,728780,5.000,24578
200_2000,N_U_3,,5,720441,5.000,24534
200_2000,N_U_3,,6,717170,5.001,25069
200_2000,N_U_3,,7,714796,5.000,24844
200_2000,N_U_3,,8,722483,5.000,25717
200_2000,N_U_3,,9,727708,5.000,24021
200_2000,N_U_3,,10,721261,5.000,24722
200_2000,N_U_4,,1,2063813,5.000,25257
200_2000,N_U_4,,2,2085852,5.000,24867
200_2000,N_U_4,,3,2042847,5.000,24957
200_2000,N_U_4,,4,1963376,5.000,24565
200_2000,N_U_4,,5,2104566,5.000,24142
200_2000,N_U_4,,6,1990479,5.000,25322
200_2000,N_U_4,,7,2063315,5.000,24566
200_2000,N_U_4,,8,2029191,5.000,24843
200_2000,N_U_4,,9,1993206,5.000,23707
200_2000,N_U_4,,10,2004163,5.000,23813
200_2000,N_U_5,,1,757761,5.000,24810
200_2000,N_U_5,,2,754118,5.001,24263
200_2000,N_U_5,,3,744579,5.000,24122
200_2000,N_U_5,,4,752887,5.000,23902
200_2000,N_U_5,,5,756736,5.000,23674
200_2000,N_U_5,,6,753600,5.000,24714
200_2000,N_U_5,,7,753741,5.000,24971
200_2000,N_U_5,,8,751242,5.000,23809
200_2000,N_U_5,,9,754879,5.000,23591
200_2000,N_U_5,,10,754274,5.000,24616
200_2000,U_N_1,,1,940635,5.000,25818
200_2000,U_N_1,,2,957413,5.000,24674
200_2000,U_N_1,,3,929793,5.000,25211
200_2000,U_N_1,,4,932572,5.000,24923
200_2000,U_N_1,,5,937146,5.000,24608
200_2000,U_N_1,,6,938685,5.000,25308
200_2000,U_N_1,,7,946196,5.000,25625
200_2000,U_N_1,,8,924733,5.000,25495
200_2000,U_N_1,,9,930626,5.000,24354
200_2000,U_N_1,,10,920673,5.000,24135
200_2000,U_N_2,,1,473191,5.000,25010
200_2000,U_N_2,,2,478160,5.000,22979
200_2000,U_N_2,,3,472957,5.000,24316
200_2000,U_N_2,,4,471711,5.000,23584
200_2000,U_N_2,,5,472244,5.000,24086
200_2000,U_N_2,,6,475034,5.000,23560
200_2000,U_N_2,,7,474048,5.000,23791
200_2000,U_N_2,,8,474863,5.000,23557
200_2000,U_N_2,,9,477088,5.000,23649
200_2000,U_N_2,,10,472628,5.000,23588
200_2000,U_N_3,,1,889540,5.000,24048
200_2000,U_N_3,,2,873741,5.000,24879
200_2000,U_N_3,,3,883488,5.000,25128
200_2000,U_N_3,,4,877907,5.000,24677
200_2000,U_N_3,,5,876113,5.000,25630
200_2000,U_N_3,,6,873771,5.000,24924
200_2000,U_N_3,,7,874459,5.000,25619
200_2000,U_N_3,,8,873706,5.000,24743
200_2000,U_N_3,,9,879143,5.000,24513
200_2000,U_N_3,,10,874091,5.002,25058
200_2000,U_N_4,,1,977913,5.000,25736
200_2000,U_N_4,,2,974024,5.000,25004
200_2000,U_N_4,,3,991990,5.000,24681
200_2000,U_N_4,,4,996293,5.000,24078
200_2000,U_N_4,,5,980112,5.000,24477
200_2000,U_N_4,,6,985070,5.000,24901
200_2000,U_N_4,,7,960636,5.000,24454
200_2000,U_N_4,,8,960935,5.000,24618
200_2000,U_N_4,,9,976566,5.000,23961
200_2000,U_N_4,,10,985311,5.000,23771
200_2000,U_N_5,,1,8943597,5.000,24406
200_2000,U_N_5,,2,9641628,5.000,24092
200_2000,U_N_5,,3,9415398,5.000,22920
200_2000,U_N_5,,4,9198672,5.000,23477
200_2000,U_N_5,,5,9550777,5.000,24020
200_2000,U_N_5,,6,9252143,5.000,24410
200_2000,U_N_5,,7,9445811,5.000,24426
200_2000,U_N_5,,8,9147661,5.000,24132
200_2000,U_N_5,,9,9545956,5.000,24394
200_2000,U_N_5,,10,9004446,5.000,24697
200_2000,U_U_1,,1,1612826,5.000,25706
200_2000,U_U_1,,2,1574715,5.000,24768
200_2000,U_U_1,,3,1567176,5.000,24773
200_2000,U_U_1,,4,1598008,5.000,25092
200_2000,U_U_1,,5,1639230,5.000,24902
200_2000,U_U_1,,6,1610109,5.000,24496
200_2000,U_U_1,,7,1643542,5.001,24654
200_2000,U_U_1,,8,1693245,5.000,24351
200_2000,U_U_1,,9,1560059,5.000,24003
200_2000,U_U_1,,10,1651267,5.000,23252
200_2000,U_U_2,,1,421918,5.000,24689
200_2000,U_U_2,,2,420382,5.002,23664
