Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,N_N_1,,1,1063450,5.000,42654
200_2000,N_N_1,,2,1055173,5.000,42766
200_2000,N_N_1,,3,1058110,5.000,42340
200_2000,N_N_1,,4,1060048,5.000,42545
200_2000,N_N_1,,5,1054187,5.000,42964
200_2000,N_N_1,,6,1056694,5.000,43274
200_2000,N_N_1,,7,1056595,5.000,43404
200_2000,N_N_1,,8,1061462,5.000,43006
200_2000,N_N_1,,9,1065098,5.000,43171
200_2000,N_N_1,,10,1060298,5.000,43192
200_2000,N_N_2,,1,1038494,5.000,42836
200_2000,N_N_2,,2,1036537,5.000,42825
200_2000,N_N_2,,3,1034008,5.000,43066
200_2000,N_N_2,,4,1030325,5.000,42931
200_2000,N_N_2,,5,1039008,5.000,43229
200_2000,N_N_2,,6,1028233,5.000,43132
200_2000,N_N_2,,7,1037400,5.000,43223
200_2000,N_N_2,,8,1030542,5.000,43096
200_2000,N_N_2,,9,1034869,5.000,43140
200_2000,N_N_2,,10,1033368,5.000,43006
200_2000,N_N_3,,1,514731,5.000,42027
200_2000,N_N_3,,2,512945,5.000,42222
200_2000,N_N_3,,3,513090,5.000,42090
200_2000,N_N_3,,4,510729,5.000,42560
200_2000,N_N_3,,5,511677,5.000,41792
200_2000,N_N_3,,6,516091,5.000,31830
200_2000,N_N_3,,7,521723,5.000,25588
200_2000,N_N_3,,8,518380,5.000,25774
200_2000,N_N_3,,9,520613,5.000,25374
200_2000,N_N_3,,10,520221,5.000,22863
200_2000,N_N_4,,1,4576828,5.000,24736
200_2000,N_N_4,,2,4521820,5.000,24152
200_2000,N_N_4,,3,4719514,5.000,24916
200_2000,N_N_4,,4,4804568,5.000,25218
200_2000,N_N_4,,5,4729495,5.000,24464
200_2000,N_N_4,,6,4728441,5.000,24404
200_2000,N_N_4,,7,4629328,5.002,25913
200_2000,N_N_4,,8,4705587,5.000,25489
200_2000,N_N_4,,9,4659103,5.001,25010
200_2000,N_N_4,,10,4754916,5.000,24700
200_2000,N_N_5,,1,9189399,5.000,24494
200_2000,N_N_5,,2,8515851,5.000,25249
200_2000,N_N_5,,3,8676294,5.000,25583
200_2000,N_N_5,,4,8700263,5.000,24682
200_2000,N_N_5,,5,8397010,5.000,25071
200_2000,N_N_5,,6,8842301,5.000,24997
200_2000,N_N_5,,7,8663652,5.000,25339
