Folder,Instance,TabuO3_obj_best,TabuO3Smart_obj_best,delta_best,delta_best_pct,verdict_best,TabuO3_obj_avg,TabuO3Smart_obj_avg,delta_avg,delta_avg_pct,verdict_avg,TabuO3_obj_std,TabuO3Smart_obj_std,TabuO3_iter_avg,TabuO3Smart_iter_avg,TabuO3_runtime_avg,TabuO3Smart_runtime_avg,TabuO3_n_runs,TabuO3Smart_n_runs
200_2000,N_N_1,1056809,1054187,-2622,-0.24810538138868993,TabuO3Smart,1073990.1,1059111.5,-14878.600000000093,-1.3853572765708075,TabuO3Smart,9767.893295554197,3581.014637408419,41118.7,42931.6,5.0001,5.0,10,10
200_2000,N_N_2,1039989,1028233,-11756,-1.1303965715021986,TabuO3Smart,1046959.5,1034278.4,-12681.099999999977,-1.2112311889810423,TabuO3Smart,4581.943310430638,3687.422020267768,41225.2,43048.4,5.0001,5.0,10,10
200_2000,N_N_3,513302,510729,-2573,-0.5012643628896829,TabuO3Smart,514793.7,516020.0,1226.2999999999884,0.23821192838995278,TabuO3,968.1536895899703,3991.675727199179,40384.6,34212.0,5.0,5.0,10,10
200_2000,N_N_4,4334756,4521820,187064,4.315444744756106,TabuO3,4461936.7,4682960.0,221023.2999999998,4.953528363591528,TabuO3,84909.56492652113,86103.31270437082,40552.3,24900.2,5.0,5.0003,10,10
200_2000,N_N_5,7298197,8397010,1098813,15.055951490484567,TabuO3,7816575.5,8828837.7,1012262.1999999993,12.950200506602913,TabuO3,358458.3913613809,335813.26633183437,40815.0,25067.9,5.0001,5.0,10,10
200_2000,N_U_1,656556,658364,1808,0.27537635784304765,TabuO3,660141.3,662497.1,2355.79999999993,0.3568629928168303,TabuO3,2053.57179621804,2635.3020257015455,42083.3,25192.4,5.0,5.0,10,10
200_2000,N_U_2,746918,747476,558,0.07470699594868513,TabuO3,750713.7,752317.8,1604.1000000000931,0.21367666528532692,TabuO3,4318.274785400076,3055.562752314776,40284.0,25188.1,5.0,5.0,10,10
200_2000,N_U_3,714796,705485,-9311,-1.3026094158333286,TabuO3Smart,720857.2,713463.4,-7393.79999999993,-1.025695519168003,TabuO3Smart,4705.370425847944,5341.498878280015,24697.9,24881.3,5.0001,5.0002,10,10
200_2000,N_U_4,1963376,1907911,-55465,-2.8249810530433295,TabuO3Smart,2034080.8,1975251.3,-58829.5,-2.8921909100169474,TabuO3Smart,45891.08952436561,49903.091897196115,24603.9,25839.1,5.0,5.0,10,10
200_2000,N_U_5,744579,738724,-5855,-0.7863504074114366,TabuO3Smart,753381.7,744204.7,-9177.0,-1.2181076338859838,TabuO3Smart,3597.7950670437644,3726.80536563598,24247.2,25200.3,5.0001,5.0,10,10
200_2000,U_N_1,920673,907936,-12737,-1.3834445020110289,TabuO3Smart,935847.2,913692.0,-22155.199999999953,-2.367395019186888,TabuO3Smart,10714.825656278528,3768.349476598187,25015.1,25504.9,5.0,5.0003,10,10
200_2000,U_N_2,471711,470674,-1037,-0.2198379940260032,TabuO3Smart,474192.4,473391.0,-801.4000000000233,-0.1690031303749329,TabuO3Smart,2114.3732036810425,2651.3673621150397,23812.0,25032.6,5.0,5.0001,10,10
