Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
1441,1,4183,5.000,415992,255,73,0
1441,2,4189,5.000,405415,249,71,0
1441,3,4188,5.000,395580,243,72,0
1441,4,4175,5.000,397836,226,61,0
1441,5,4177,5.000,390652,225,65,0
1441,6,4177,5.000,388902,205,56,0
1441,7,4176,5.000,392130,241,68,1
1441,8,4183,5.000,405064,228,67,1
1441,9,4188,5.000,400150,246,68,0
1441,10,4178,5.000,404666,246,70,0
1442,1,5105,5.000,412269,228,63,4
1442,2,5097,5.000,434104,238,67,0
1442,3,5078,5.000,439148,251,73,0
1442,4,5096,5.000,435810,251,73,4
1442,5,5095,5.000,411707,249,70,3
1442,6,5109,5.000,413059,227,64,0
1442,7,5095,5.000,391336,217,61,2
1442,8,5110,5.000,420491,216,58,0
1442,9,5101,5.000,426228,263,79,2
1442,10,5101,5.000,435516,219,63,1
1443,1,4296,5.000,430953,255,73,1
1443,2,4292,5.000,423669,216,60,2
1443,3,4284,5.000,430291,253,72,4
1443,4,4298,5.000,433915,249,75,0
1443,5,4292,5.000,387080,213,64,0
1443,6,4287,5.000,421427,238,68,2
1443,7,4296,5.000,422655,255,76,1
1443,8,4288,5.000,404179,242,67,0
1443,9,4280,5.000,397079,247,71,0
1443,10,4286,5.000,412302,236,66,2
1444,1,5392,5.000,415687,249,70,2
1444,2,5393,5.000,413054,234,69,1
1444,3,5374,5.000,409338,240,68,1
1444,4,5374,5.000,414412,246,65,1
1444,5,5366,5.000,420290,237,65,2
1444,6,5369,5.000,436426,246,68,0
1444,7,5376,5.000,403839,248,68,2
1444,8,5367,5.000,405782,252,70,0
1444,9,5404,5.000,394677,244,66,2
1444,10,5385,5.000,396385,246,68,1
1445,1,11486,5.000,418207,208,50,2
1445,2,11428,5.000,430859,250,75,1
1445,3,11494,5.000,421192,226,56,4
1445,4,11617,5.000,414336,242,67,4
1445,5,11496,5.000,415965,234,61,2
1445,6,11437,5.000,404943,228,48,5
1445,7,11482,5.000,399510,216,58,3
1445,8,11414,5.000,420548,230,62,0
1445,9,11430,5.000,402410,232,52,3
1445,10,11455,5.000,425586,234,59,2
1446,1,6023,5.000,411110,247,71,0
1446,2,6032,5.000,411412,244,71,1
1446,3,6020,5.000,417338,244,70,0
1446,4,6027,5.000,398607,248,67,2
1446,5,6029,5.000,396226,203,52,1
1446,6,6030,5.000,373168,203,57,1
1446,7,6022,5.000,415624,237,66,1
1446,8,6028,5.000,416529,244,70,2
1446,9,6029,5.000,440111,240,66,0
1446,10,6016,5.000,426926,250,66,1
1447,1,8624,5.000,436984,250,69,0
1447,2,8604,5.000,401899,241,62,3
1447,3,8585,5.000,418787,228,64,1
1447,4,8599,5.000,410513,222,60,2
1447,5,8564,5.000,432737,251,59,2
1447,6,8577,5.000,411710,249,66,2
1447,7,8645,5.000,428165,220,59,1
1447,8,8624,5.000,427067,253,69,0
1447,9,8610,5.000,413729,238,64,4
1447,10,8576,5.000,422563,243,62,2
1448,1,5187,5.000,428075,256,73,0
1448,2,5194,5.000,426059,257,73,2
1448,3,5195,5.000,422307,251,70,1
1448,4,5191,5.000,413459,230,66,0
1448,5,5178,5.000,396867,214,57,2
1448,6,5182,5.000,414551,246,68,1
1448,7,5191,5.000,412307,231,64,3
1448,8,5189,5.000,413997,236,68,4
1448,9,5187,5.000,404099,253,72,3
1448,10,5184,5.000,410599,218,61,2
1449,1,7197,5.000,410073,234,62,1
1449,2,7151,5.000,429652,247,68,0
1449,3,7157,5.000,429461,259,74,0
1449,4,7169,5.000,416093,240,59,2
1449,5,7182,5.000,433788,251,68,1
1449,6,7181,5.000,425915,242,65,2
1449,7,7195,5.000,414914,253,66,1
1449,8,7206,5.000,424681,248,67,0
1449,9,7171,5.000,435055,253,66,5
1449,10,7176,5.000,423830,253,67,1
1450,1,4795,5.000,414411,246,67,1
1450,2,4783,5.000,395635,238,66,2
1450,3,4784,5.000,404042,224,66,2
1450,4,4787,5.000,413777,246,65,2
1450,5,4791,5.000,397334,251,71,3
1450,6,4790,5.000,393151,230,64,1
1450,7,4786,5.000,388923,194,52,1
1450,8,4786,5.000,398750,224,61,3
1450,9,4788,5.000,397165,246,69,5
1450,10,4785,5.000,417946,211,57,1
1451,1,3280,5.000,411748,242,71,0
1451,2,3277,5.000,409567,241,70,0
1451,3,3266,5.000,411917,249,72,1
1451,4,3279,5.000,395761,203,56,1
1451,5,3278,5.000,394557,234,69,1
1451,6,3276,5.000,396859,236,68,1
1451,7,3275,5.000,396122,244,72,0
1451,8,3284,5.000,387596,188,51,0
1451,9,3279,5.000,355845,225,62,2
1451,10,3271,5.000,390518,212,56,0
1452,1,2929,5.000,441178,247,70,1
