Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
1,1,182,1.000,225336,1502,751,8132
1,2,182,1.000,225713,1505,752,8069
1,3,182,1.000,228389,1522,761,8447
1,4,182,1.000,232818,1552,776,8420
1,5,182,1.000,247256,1648,824,8953
1,6,182,1.000,249693,1664,832,8941
1,7,182,1.000,249528,1664,831,8829
1,8,182,1.000,246387,1642,821,8915
1,9,182,1.000,246603,1644,822,9023
1,10,182,1.000,247100,1647,823,8796
2,1,243,1.000,250964,1673,836,13780
2,2,243,1.000,251281,1675,837,13841
2,3,243,1.000,248620,1658,828,13911
2,4,243,1.000,253306,1689,844,13964
2,5,243,1.000,237854,1586,792,12980
2,6,243,1.000,153464,1023,511,8332
2,7,243,1.000,130078,867,433,7040
2,8,243,1.000,129795,865,432,7013
2,9,243,1.000,131085,874,436,7263
2,10,243,1.000,136715,912,455,7586
3,1,232,1.000,124979,833,416,2898
3,2,232,1.000,128947,860,429,2945
3,3,232,1.000,129122,861,430,2893
3,4,232,1.000,122173,814,407,2827
3,5,232,1.000,119844,799,399,2756
3,6,232,1.000,125930,840,419,3010
3,7,232,1.000,119080,794,396,2850
3,8,232,1.000,124140,828,413,3037
3,9,232,1.000,120503,803,401,2772
3,10,232,1.000,125634,838,418,2936
4,1,331,1.000,127397,849,424,0
4,2,331,1.000,127834,852,426,0
4,3,331,1.000,128713,858,428,1
4,4,331,1.000,125785,838,419,1
4,5,331,1.000,132957,886,443,0
4,6,331,1.000,126012,840,420,0
4,7,331,1.000,131009,874,436,0
4,8,331,1.000,134130,894,447,0
4,9,331,1.000,129830,866,432,0
4,10,331,1.000,125877,839,419,0
5,1,204,1.000,126565,844,421,4421
5,2,204,1.000,130366,869,434,4364
5,3,204,1.000,124114,828,413,4200
5,4,204,1.000,116713,778,389,4003
5,5,204,1.000,136745,912,455,4583
5,6,204,1.000,133169,888,443,4326
5,7,204,1.000,134727,898,449,4604
5,8,204,1.000,132284,882,440,4454
5,9,204,1.000,132291,882,440,4526
5,10,204,1.000,130538,870,435,4423
6,1,285,1.000,132096,880,440,15432
6,2,285,1.000,131934,880,439,15515
6,3,285,1.000,129269,862,430,15170
6,4,285,1.000,127762,852,425,14998
6,5,285,1.000,122558,817,408,14340
6,6,285,1.000,116256,775,387,13769
6,7,285,1.000,133046,887,443,15787
6,8,285,1.000,122780,818,409,14540
6,9,285,1.000,120540,804,401,14200
6,10,285,1.000,125193,834,417,14587
7,1,254,1.000,131861,879,439,9267
7,2,254,1.000,141135,941,470,10088
7,3,254,1.000,137967,920,459,9843
7,4,254,1.000,140011,934,466,10056
7,5,254,1.000,129038,860,430,9399
7,6,254,1.000,141049,940,470,10192
7,7,254,1.000,140990,940,469,10190
7,8,254,1.000,141533,944,471,10213
7,9,254,1.000,133144,888,443,9481
7,10,254,1.000,133564,890,445,9475
8,1,221,1.000,130598,870,435,3764
8,2,221,1.000,191760,1278,639,5571
8,3,221,1.000,247794,1652,825,7169
8,4,221,1.000,250226,1668,834,7149
8,5,221,1.000,245994,1640,819,7064
8,6,221,1.000,247145,1648,823,6989
8,7,221,1.000,249145,1661,830,7369
8,8,221,1.000,247438,1650,824,7090
8,9,221,1.000,248767,1658,829,7016
