Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
200_2000,N_N_1,1,1274774,5.001,27039,68,1,0
200_2000,N_N_1,2,1259626,5.000,28134,60,2,0
200_2000,N_N_1,3,1196394,5.015,28621,57,1,0
200_2000,N_N_1,4,1217623,5.000,29631,54,1,0
200_2000,N_N_1,5,1212419,5.000,28713,58,3,0
200_2000,N_N_1,6,1256293,5.000,26857,71,3,0
200_2000,N_N_1,7,1247794,5.000,27399,71,3,0
200_2000,N_N_1,8,1239643,5.000,28062,64,4,0
200_2000,N_N_1,9,1287232,5.007,28488,61,3,0
200_2000,N_N_1,10,1248583,5.000,27136,68,2,0
200_2000,N_N_2,1,1269226,5.000,24438,76,3,0
200_2000,N_N_2,2,1269089,5.000,24755,75,4,0
200_2000,N_N_2,3,1286636,5.001,23194,74,4,0
200_2000,N_N_2,4,1262492,5.010,23841,60,3,0
200_2000,N_N_2,5,1272879,5.009,23580,70,4,0
200_2000,N_N_2,6,1285060,5.007,21186,57,3,0
200_2000,N_N_2,7,1270822,5.000,22210,64,5,0
200_2000,N_N_2,8,1269322,5.000,22770,72,4,0
200_2000,N_N_2,9,1269845,5.017,23106,68,3,0
200_2000,N_N_2,10,1283598,5.011,22210,53,6,0
200_2000,N_N_3,1,501417,5.016,18990,98,9,0
200_2000,N_N_3,2,501287,5.000,18626,101,9,0
200_2000,N_N_3,3,501364,5.000,18983,97,14,0
200_2000,N_N_3,4,501163,5.008,18572,97,11,0
200_2000,N_N_3,5,501378,5.000,19403,97,16,0
200_2000,N_N_3,6,501351,5.000,17642,97,9,0
200_2000,N_N_3,7,501548,5.000,19438,99,8,0
200_2000,N_N_3,8,501260,5.004,19604,100,13,0
200_2000,N_N_3,9,501768,5.009,19065,102,7,0
200_2000,N_N_3,10,501513,5.000,17953,105,19,0
200_2000,N_N_4,1,4198800,5.013,29271,54,1,0
200_2000,N_N_4,2,3992502,5.000,30487,49,0,0
200_2000,N_N_4,3,4092674,5.000,30795,52,2,0
200_2000,N_N_4,4,4005867,5.000,29761,56,0,0
200_2000,N_N_4,5,4170194,5.000,29426,57,0,0
200_2000,N_N_4,6,4144136,5.000,30282,54,1,0
200_2000,N_N_4,7,4125063,5.000,30575,50,0,0
200_2000,N_N_4,8,4059756,5.000,29830,57,0,0
200_2000,N_N_4,9,4085069,5.000,29720,54,1,0
200_2000,N_N_4,10,3994848,5.022,30070,43,0,0
200_2000,N_N_5,1,3858578,5.000,33086,40,0,0
200_2000,N_N_5,2,3848730,5.000,31713,35,0,0
200_2000,N_N_5,3,3792146,5.000,33107,41,0,0
200_2000,N_N_5,4,3756544,5.000,33596,38,0,0
200_2000,N_N_5,5,3887176,5.000,31748,48,0,0
200_2000,N_N_5,6,3782719,5.008,33999,32,1,0
200_2000,N_N_5,7,3904209,5.001,33194,40,0,0
200_2000,N_N_5,8,3844147,5.000,32049,40,0,0
200_2000,N_N_5,9,3850305,5.000,33591,33,0,0
200_2000,N_N_5,10,3824271,5.000,32305,40,0,0
200_2000,N_U_1,1,635687,5.000,18755,85,14,0
200_2000,N_U_1,2,636239,5.000,18609,92,16,0
200_2000,N_U_1,3,636050,5.000,18487,88,14,0
200_2000,N_U_1,4,636256,5.022,18787,80,20,0
200_2000,N_U_1,5,636055,5.000,20442,100,20,0
