iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=10 | T=132074 | NewBest=452574 | Δ=5344 | ImproveTotal=1
[IMPROVE] Iter=34 | T=131679 | NewBest=451648 | Δ=1142 | ImproveTotal=2
[IMPROVE] Iter=73 | T=131153 | NewBest=449832 | Δ=2054 | ImproveTotal=3
[IMPROVE] Iter=182 | T=129717 | NewBest=445293 | Δ=7126 | ImproveTotal=4
[IMPROVE] Iter=193 | T=129587 | NewBest=442146 | Δ=3384 | ImproveTotal=5
[IMPROVE] Iter=195 | T=129587 | NewBest=442113 | Δ=37 | ImproveTotal=6
[IMPROVE] Iter=196 | T=129587 | NewBest=442108 | Δ=5 | ImproveTotal=7
[IMPROVE] Iter=215 | T=129328 | NewBest=437469 | Δ=4677 | ImproveTotal=8
[IMPROVE] Iter=225 | T=129199 | NewBest=436328 | Δ=1304 | ImproveTotal=9
[IMPROVE] Iter=236 | T=129070 | NewBest=432045 | Δ=4642 | ImproveTotal=10
[IMPROVE] Iter=240 | T=129070 | NewBest=425520 | Δ=6580 | ImproveTotal=11
[IMPROVE] Iter=241 | T=128941 | NewBest=425517 | Δ=3 | ImproveTotal=12
[IMPROVE] Iter=242 | T=128941 | NewBest=425511 | Δ=6 | ImproveTotal=13
[IMPROVE] Iter=252 | T=128812 | NewBest=419880 | Δ=5848 | ImproveTotal=14
[IMPROVE] Iter=290 | T=128426 | NewBest=419411 | Δ=888 | ImproveTotal=15
[IMPROVE] Iter=295 | T=128297 | NewBest=419345 | Δ=75 | ImproveTotal=16
[IMPROVE] Iter=335 | T=127785 | NewBest=416275 | Δ=6569 | ImproveTotal=17
[IMPROVE] Iter=347 | T=127657 | NewBest=413882 | Δ=2433 | ImproveTotal=18
[IMPROVE] Iter=418 | T=126766 | NewBest=413045 | Δ=6442 | ImproveTotal=19
[IMPROVE] Iter=419 | T=126766 | NewBest=413043 | Δ=2 | ImproveTotal=20
[IMPROVE] Iter=423 | T=126639 | NewBest=408311 | Δ=4767 | ImproveTotal=21
[IMPROVE] Iter=425 | T=126639 | NewBest=408263 | Δ=76 | ImproveTotal=22
[IMPROVE] Iter=427 | T=126639 | NewBest=408246 | Δ=17 | ImproveTotal=23
[IMPROVE] Iter=429 | T=126639 | NewBest=408219 | Δ=27 | ImproveTotal=24
[IMPROVE] Iter=455 | T=126260 | NewBest=402673 | Δ=6358 | ImproveTotal=25
[IMPROVE] Iter=465 | T=126134 | NewBest=396559 | Δ=6162 | ImproveTotal=26
[IMPROVE] Iter=469 | T=126134 | NewBest=396539 | Δ=20 | ImproveTotal=27
[IMPROVE] Iter=470 | T=126134 | NewBest=392007 | Δ=4532 | ImproveTotal=28
[IMPROVE] Iter=509 | T=125630 | NewBest=388445 | Δ=4203 | ImproveTotal=29
[IMPROVE] Iter=513 | T=125504 | NewBest=383460 | Δ=5122 | ImproveTotal=30
[IMPROVE] Iter=522 | T=125379 | NewBest=378391 | Δ=5119 | ImproveTotal=31
[IMPROVE] Iter=525 | T=125379 | NewBest=378387 | Δ=4 | ImproveTotal=32
[IMPROVE] Iter=527 | T=125379 | NewBest=378350 | Δ=37 | ImproveTotal=33
[IMPROVE] Iter=528 | T=125379 | NewBest=378336 | Δ=14 | ImproveTotal=34
[IMPROVE] Iter=542 | T=125128 | NewBest=374142 | Δ=4501 | ImproveTotal=35
[IMPROVE] Iter=548 | T=125128 | NewBest=374126 | Δ=19 | ImproveTotal=36
[IMPROVE] Iter=550 | T=125128 | NewBest=374013 | Δ=113 | ImproveTotal=37
[IMPROVE] Iter=560 | T=125003 | NewBest=374009 | Δ=462 | ImproveTotal=38
[IMPROVE] Iter=565 | T=124878 | NewBest=370334 | Δ=5824 | ImproveTotal=39
[IMPROVE] Iter=572 | T=124753 | NewBest=369163 | Δ=1193 | ImproveTotal=40
[IMPROVE] Iter=622 | T=124131 | NewBest=364295 | Δ=57535 | ImproveTotal=41
[IMPROVE] Iter=630 | T=124131 | NewBest=364195 | Δ=185902 | ImproveTotal=42
[IMPROVE] Iter=659 | T=123759 | NewBest=359304 | Δ=5499 | ImproveTotal=43
[IMPROVE] Iter=666 | T=123635 | NewBest=359274 | Δ=30 | ImproveTotal=44
[IMPROVE] Iter=668 | T=123635 | NewBest=359268 | Δ=13 | ImproveTotal=45
[IMPROVE] Iter=703 | T=123141 | NewBest=357029 | Δ=14515 | ImproveTotal=46
[IMPROVE] Iter=749 | T=122649 | NewBest=352262 | Δ=5234 | ImproveTotal=47
[IMPROVE] Iter=799 | T=122037 | NewBest=347688 | Δ=5424 | ImproveTotal=48
[IMPROVE] Iter=832 | T=121550 | NewBest=344963 | Δ=3461 | ImproveTotal=49
[IMPROVE] Iter=838 | T=121550 | NewBest=344787 | Δ=176 | ImproveTotal=50
[IMPROVE] Iter=840 | T=121550 | NewBest=344777 | Δ=10 | ImproveTotal=51
[IMPROVE] Iter=841 | T=121428 | NewBest=344766 | Δ=11 | ImproveTotal=52
[IMPROVE] Iter=843 | T=121428 | NewBest=344742 | Δ=24 | ImproveTotal=53
[IMPROVE] Iter=848 | T=121428 | NewBest=344666 | Δ=76 | ImproveTotal=54
[IMPROVE] Iter=849 | T=121428 | NewBest=344656 | Δ=10 | ImproveTotal=55
[IMPROVE] Iter=854 | T=121307 | NewBest=344551 | Δ=169 | ImproveTotal=56
[IMPROVE] Iter=914 | T=120581 | NewBest=343415 | Δ=1719 | ImproveTotal=57
[IMPROVE] Iter=919 | T=120581 | NewBest=343014 | Δ=597 | ImproveTotal=58
[IMPROVE] Iter=920 | T=120581 | NewBest=342999 | Δ=15 | ImproveTotal=59
[IMPROVE] Iter=944 | T=120219 | NewBest=341389 | Δ=2192 | ImproveTotal=60
