iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=88 | T=131021 | NewBest=451943 | Δ=7033 | ImproveTotal=1
[IMPROVE] Iter=89 | T=131021 | NewBest=450304 | Δ=1639 | ImproveTotal=2
[IMPROVE] Iter=91 | T=130890 | NewBest=445338 | Δ=4969 | ImproveTotal=3
[IMPROVE] Iter=99 | T=130890 | NewBest=442870 | Δ=2589 | ImproveTotal=4
[IMPROVE] Iter=117 | T=130629 | NewBest=441077 | Δ=1895 | ImproveTotal=5
[IMPROVE] Iter=134 | T=130368 | NewBest=440851 | Δ=592 | ImproveTotal=6
[IMPROVE] Iter=141 | T=130237 | NewBest=434291 | Δ=6671 | ImproveTotal=7
[IMPROVE] Iter=188 | T=129717 | NewBest=433881 | Δ=1009 | ImproveTotal=8
[IMPROVE] Iter=223 | T=129199 | NewBest=431064 | Δ=3288 | ImproveTotal=9
[IMPROVE] Iter=224 | T=129199 | NewBest=424265 | Δ=6799 | ImproveTotal=10
[IMPROVE] Iter=266 | T=128683 | NewBest=422094 | Δ=2435 | ImproveTotal=11
[IMPROVE] Iter=269 | T=128683 | NewBest=418280 | Δ=3897 | ImproveTotal=12
[IMPROVE] Iter=485 | T=125882 | NewBest=415172 | Δ=4539 | ImproveTotal=13
[IMPROVE] Iter=490 | T=125882 | NewBest=415167 | Δ=5 | ImproveTotal=14
[IMPROVE] Iter=533 | T=125253 | NewBest=409101 | Δ=6545 | ImproveTotal=15
[IMPROVE] Iter=537 | T=125253 | NewBest=409072 | Δ=71 | ImproveTotal=16
[IMPROVE] Iter=568 | T=124878 | NewBest=402949 | Δ=6395 | ImproveTotal=17
[IMPROVE] Iter=655 | T=123759 | NewBest=402691 | Δ=1383 | ImproveTotal=18
[IMPROVE] Iter=658 | T=123759 | NewBest=402663 | Δ=28 | ImproveTotal=19
[IMPROVE] Iter=662 | T=123635 | NewBest=402617 | Δ=46 | ImproveTotal=20
[IMPROVE] Iter=666 | T=123635 | NewBest=402615 | Δ=15 | ImproveTotal=21
[IMPROVE] Iter=678 | T=123511 | NewBest=402536 | Δ=134 | ImproveTotal=22
[IMPROVE] Iter=711 | T=123018 | NewBest=396894 | Δ=6353 | ImproveTotal=23
[IMPROVE] Iter=714 | T=123018 | NewBest=396892 | Δ=2 | ImproveTotal=24
[IMPROVE] Iter=715 | T=123018 | NewBest=396680 | Δ=212 | ImproveTotal=25
[IMPROVE] Iter=762 | T=122404 | NewBest=391190 | Δ=54484 | ImproveTotal=26
[IMPROVE] Iter=773 | T=122282 | NewBest=391173 | Δ=17 | ImproveTotal=27
