iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=50 | T=131547 | NewBest=451280 | Δ=7166 | ImproveTotal=1
[IMPROVE] Iter=104 | T=130760 | NewBest=447677 | Δ=4187 | ImproveTotal=2
[IMPROVE] Iter=146 | T=130237 | NewBest=441394 | Δ=6731 | ImproveTotal=3
[IMPROVE] Iter=147 | T=130237 | NewBest=435934 | Δ=5460 | ImproveTotal=4
[IMPROVE] Iter=151 | T=130107 | NewBest=435874 | Δ=150 | ImproveTotal=5
[IMPROVE] Iter=178 | T=129847 | NewBest=435798 | Δ=395 | ImproveTotal=6
[IMPROVE] Iter=196 | T=129587 | NewBest=429590 | Δ=6418 | ImproveTotal=7
[IMPROVE] Iter=201 | T=129458 | NewBest=423006 | Δ=6584 | ImproveTotal=8
[IMPROVE] Iter=206 | T=129458 | NewBest=422853 | Δ=153 | ImproveTotal=9
[IMPROVE] Iter=256 | T=128812 | NewBest=422294 | Δ=1545 | ImproveTotal=10
[IMPROVE] Iter=257 | T=128812 | NewBest=422284 | Δ=10 | ImproveTotal=11
[IMPROVE] Iter=258 | T=128812 | NewBest=422267 | Δ=17 | ImproveTotal=12
[IMPROVE] Iter=261 | T=128683 | NewBest=422239 | Δ=28 | ImproveTotal=13
[IMPROVE] Iter=281 | T=128426 | NewBest=419107 | Δ=6639 | ImproveTotal=14
[IMPROVE] Iter=294 | T=128297 | NewBest=416691 | Δ=2529 | ImproveTotal=15
[IMPROVE] Iter=297 | T=128297 | NewBest=413431 | Δ=3501 | ImproveTotal=16
[IMPROVE] Iter=298 | T=128297 | NewBest=413398 | Δ=33 | ImproveTotal=17
[IMPROVE] Iter=299 | T=128297 | NewBest=413295 | Δ=103 | ImproveTotal=18
[IMPROVE] Iter=315 | T=128041 | NewBest=407323 | Δ=6265 | ImproveTotal=19
[IMPROVE] Iter=324 | T=127913 | NewBest=407299 | Δ=201 | ImproveTotal=20
[IMPROVE] Iter=384 | T=127147 | NewBest=403485 | Δ=4096 | ImproveTotal=21
[IMPROVE] Iter=387 | T=127147 | NewBest=403473 | Δ=12 | ImproveTotal=22
[IMPROVE] Iter=392 | T=127020 | NewBest=399150 | Δ=4341 | ImproveTotal=23
[IMPROVE] Iter=393 | T=127020 | NewBest=399027 | Δ=123 | ImproveTotal=24
[IMPROVE] Iter=509 | T=125630 | NewBest=396975 | Δ=5614 | ImproveTotal=25
[IMPROVE] Iter=541 | T=125128 | NewBest=394746 | Δ=12720 | ImproveTotal=26
[IMPROVE] Iter=548 | T=125128 | NewBest=394669 | Δ=77 | ImproveTotal=27
[IMPROVE] Iter=549 | T=125128 | NewBest=394640 | Δ=29 | ImproveTotal=28
[IMPROVE] Iter=603 | T=124379 | NewBest=393895 | Δ=1016 | ImproveTotal=29
[IMPROVE] Iter=650 | T=123882 | NewBest=390317 | Δ=4334 | ImproveTotal=30
[IMPROVE] Iter=666 | T=123635 | NewBest=388345 | Δ=2065 | ImproveTotal=31
[IMPROVE] Iter=710 | T=123141 | NewBest=386428 | Δ=2014 | ImproveTotal=32
[IMPROVE] Iter=750 | T=122649 | NewBest=383501 | Δ=3094 | ImproveTotal=33
[IMPROVE] Iter=753 | T=122527 | NewBest=383471 | Δ=55 | ImproveTotal=34
[IMPROVE] Iter=761 | T=122404 | NewBest=383452 | Δ=26 | ImproveTotal=35
[IMPROVE] Iter=774 | T=122282 | NewBest=382756 | Δ=958 | ImproveTotal=36
[IMPROVE] Iter=778 | T=122282 | NewBest=382754 | Δ=2 | ImproveTotal=37
[IMPROVE] Iter=781 | T=122159 | NewBest=382752 | Δ=2 | ImproveTotal=38
[IMPROVE] Iter=782 | T=122159 | NewBest=382673 | Δ=79 | ImproveTotal=39
[IMPROVE] Iter=783 | T=122159 | NewBest=382640 | Δ=33 | ImproveTotal=40
[IMPROVE] Iter=795 | T=122037 | NewBest=382548 | Δ=297 | ImproveTotal=41
[IMPROVE] Iter=835 | T=121550 | NewBest=379558 | Δ=3213 | ImproveTotal=42
[IMPROVE] Iter=838 | T=121550 | NewBest=379544 | Δ=22 | ImproveTotal=43
[IMPROVE] Iter=893 | T=120822 | NewBest=379429 | Δ=20090 | ImproveTotal=44
[IMPROVE] Iter=906 | T=120701 | NewBest=379414 | Δ=107 | ImproveTotal=45
[IMPROVE] Iter=909 | T=120701 | NewBest=379334 | Δ=80 | ImproveTotal=46
[IMPROVE] Iter=960 | T=120099 | NewBest=378553 | Δ=2226 | ImproveTotal=47
[IMPROVE] Iter=961 | T=119979 | NewBest=378518 | Δ=35 | ImproveTotal=48
[IMPROVE] Iter=962 | T=119979 | NewBest=372746 | Δ=5772 | ImproveTotal=49
[IMPROVE] Iter=964 | T=119979 | NewBest=372643 | Δ=103 | ImproveTotal=50
[IMPROVE] Iter=965 | T=119979 | NewBest=372634 | Δ=9 | ImproveTotal=51
[IMPROVE] Iter=973 | T=119859 | NewBest=372603 | Δ=58 | ImproveTotal=52
[IMPROVE] Iter=978 | T=119859 | NewBest=371302 | Δ=1528 | ImproveTotal=53
[IMPROVE] Iter=1001 | T=119500 | NewBest=366701 | Δ=4673 | ImproveTotal=54
[IMPROVE] Iter=1011 | T=119380 | NewBest=363063 | Δ=4002 | ImproveTotal=55
[IMPROVE] Iter=1022 | T=119261 | NewBest=362497 | Δ=836 | ImproveTotal=56
[IMPROVE] Iter=1024 | T=119261 | NewBest=362398 | Δ=99 | ImproveTotal=57
[IMPROVE] Iter=1068 | T=118785 | NewBest=358522 | Δ=4202 | ImproveTotal=58
[IMPROVE] Iter=1073 | T=118666 | NewBest=358519 | Δ=3 | ImproveTotal=59
[IMPROVE] Iter=1103 | T=118310 | NewBest=355927 | Δ=2759 | ImproveTotal=60
[IMPROVE] Iter=1116 | T=118192 | NewBest=355286 | Δ=721 | ImproveTotal=61
[IMPROVE] Iter=1118 | T=118192 | NewBest=355204 | Δ=82 | ImproveTotal=62
[IMPROVE] Iter=1120 | T=118192 | NewBest=355186 | Δ=18 | ImproveTotal=63
[IMPROVE] Iter=1188 | T=117367 | NewBest=355000 | Δ=1006 | ImproveTotal=64
[IMPROVE] Iter=1191 | T=117250 | NewBest=354985 | Δ=15 | ImproveTotal=65
[IMPROVE] Iter=1193 | T=117250 | NewBest=354962 | Δ=59 | ImproveTotal=66
[IMPROVE] Iter=1194 | T=117250 | NewBest=354917 | Δ=45 | ImproveTotal=67
[IMPROVE] Iter=1195 | T=117250 | NewBest=354805 | Δ=112 | ImproveTotal=68
[IMPROVE] Iter=1204 | T=117132 | NewBest=354188 | Δ=625 | ImproveTotal=69
[IMPROVE] Iter=1284 | T=116199 | NewBest=353800 | Δ=2627 | ImproveTotal=70
[IMPROVE] Iter=1285 | T=116199 | NewBest=353718 | Δ=82 | ImproveTotal=71
[IMPROVE] Iter=1307 | T=115966 | NewBest=348557 | Δ=5394 | ImproveTotal=72
[IMPROVE] Iter=1311 | T=115850 | NewBest=348493 | Δ=64 | ImproveTotal=73
[IMPROVE] Iter=1314 | T=115850 | NewBest=348342 | Δ=151 | ImproveTotal=74
[IMPROVE] Iter=1315 | T=115850 | NewBest=348262 | Δ=80 | ImproveTotal=75
[IMPROVE] Iter=1320 | T=115850 | NewBest=348260 | Δ=2 | ImproveTotal=76
[IMPROVE] Iter=1351 | T=115388 | NewBest=345284 | Δ=3369 | ImproveTotal=77
[IMPROVE] Iter=1364 | T=115272 | NewBest=345228 | Δ=98 | ImproveTotal=78
[IMPROVE] Iter=1406 | T=114812 | NewBest=340966 | Δ=4553 | ImproveTotal=79
[IMPROVE] Iter=1407 | T=114812 | NewBest=340948 | Δ=18 | ImproveTotal=80
[IMPROVE] Iter=1412 | T=114697 | NewBest=340850 | Δ=48062 | ImproveTotal=81
[IMPROVE] Iter=1659 | T=111976 | NewBest=339831 | Δ=1753 | ImproveTotal=82
[IMPROVE] Iter=1662 | T=111864 | NewBest=339819 | Δ=24 | ImproveTotal=83
[IMPROVE] Iter=1667 | T=111864 | NewBest=338443 | Δ=1376 | ImproveTotal=84
[IMPROVE] Iter=1668 | T=111864 | NewBest=338441 | Δ=2 | ImproveTotal=85
[IMPROVE] Iter=1669 | T=111864 | NewBest=338283 | Δ=158 | ImproveTotal=86
[IMPROVE] Iter=1672 | T=111752 | NewBest=338253 | Δ=30 | ImproveTotal=87
[IMPROVE] Iter=1680 | T=111752 | NewBest=338234 | Δ=32 | ImproveTotal=88
[IMPROVE] Iter=1681 | T=111640 | NewBest=338084 | Δ=150 | ImproveTotal=89
[IMPROVE] Iter=1704 | T=111417 | NewBest=333376 | Δ=5007 | ImproveTotal=90
[IMPROVE] Iter=1709 | T=111417 | NewBest=333084 | Δ=292 | ImproveTotal=91
[IMPROVE] Iter=1736 | T=111083 | NewBest=332149 | Δ=1835 | ImproveTotal=92
[IMPROVE] Iter=1741 | T=110972 | NewBest=331901 | Δ=272 | ImproveTotal=93
[IMPROVE] Iter=1759 | T=110861 | NewBest=331890 | Δ=25 | ImproveTotal=94
[IMPROVE] Iter=1777 | T=110639 | NewBest=331357 | Δ=949 | ImproveTotal=95
[IMPROVE] Iter=1784 | T=110529 | NewBest=327910 | Δ=3468 | ImproveTotal=96
[IMPROVE] Iter=1786 | T=110529 | NewBest=327845 | Δ=65 | ImproveTotal=97
[IMPROVE] Iter=1788 | T=110529 | NewBest=327773 | Δ=72 | ImproveTotal=98
[IMPROVE] Iter=1793 | T=110418 | NewBest=327760 | Δ=72 | ImproveTotal=99
[IMPROVE] Iter=1800 | T=110418 | NewBest=327753 | Δ=19 | ImproveTotal=100
[IMPROVE] Iter=2188 | T=106193 | NewBest=327706 | Δ=1058 | ImproveTotal=101
[IMPROVE] Iter=2194 | T=106087 | NewBest=327506 | Δ=200 | ImproveTotal=102
[IMPROVE] Iter=2197 | T=106087 | NewBest=323167 | Δ=4339 | ImproveTotal=103
[IMPROVE] Iter=2201 | T=105981 | NewBest=323089 | Δ=78 | ImproveTotal=104
[IMPROVE] Iter=2209 | T=105981 | NewBest=322970 | Δ=159 | ImproveTotal=105
[IMPROVE] Iter=2213 | T=105875 | NewBest=322915 | Δ=55 | ImproveTotal=106
[IMPROVE] Iter=2217 | T=105875 | NewBest=322631 | Δ=314 | ImproveTotal=107
