instance,run,TCT,TEC,bound,feasible,runtime
data/T_1.txt,1,182,88,89,1,0.247443
data/T_1.txt,2,182,88,89,1,0.321711
data/T_1.txt,3,182,88,89,1,0.298117
data/T_1.txt,4,182,88,89,1,0.298421
data/T_1.txt,5,182,88,89,1,0.316709
data/T_1.txt,6,182,88,89,1,0.294817
data/T_1.txt,7,182,88,89,1,0.293655
data/T_1.txt,8,182,88,89,1,0.293847
data/T_1.txt,9,182,88,89,1,0.290333
data/T_1.txt,10,182,88,89,1,0.29445
data/T_2.txt,1,243,353,353,1,0.316267
data/T_2.txt,2,243,353,353,1,0.286863
data/T_2.txt,3,243,353,353,1,0.290655
data/T_2.txt,4,243,353,353,1,0.289036
data/T_2.txt,5,243,353,353,1,0.289682
data/T_2.txt,6,243,353,353,1,0.317759
data/T_2.txt,7,243,353,353,1,0.30866
data/T_2.txt,8,243,353,353,1,0.315712
data/T_2.txt,9,243,353,353,1,0.315213
data/T_2.txt,10,243,353,353,1,0.374846
data/T_3.txt,1,232,108,114,1,0.322732
data/T_3.txt,2,232,108,114,1,0.304854
data/T_3.txt,3,232,108,114,1,0.321198
data/T_3.txt,4,232,108,114,1,0.330133
data/T_3.txt,5,232,108,114,1,0.317298
data/T_3.txt,6,232,108,114,1,0.303586
data/T_3.txt,7,232,108,114,1,0.31399
data/T_3.txt,8,232,108,114,1,0.307761
data/T_3.txt,9,232,108,114,1,0.332523
data/T_3.txt,10,232,108,114,1,0.449659
data/T_4.txt,1,331,120,134,1,0.42728
data/T_4.txt,2,331,120,134,1,0.414965
data/T_4.txt,3,331,120,134,1,0.445144
data/T_4.txt,4,331,120,134,1,0.44911
data/T_4.txt,5,331,120,134,1,0.42772
data/T_4.txt,6,331,120,134,1,0.439181
data/T_4.txt,7,331,120,134,1,0.450657
data/T_4.txt,8,331,120,134,1,0.436083
data/T_4.txt,9,331,120,134,1,0.442512
data/T_4.txt,10,331,120,134,1,0.448336
data/T_5.txt,1,204,178,188,1,0.44802
data/T_5.txt,2,204,178,188,1,0.420236
data/T_5.txt,3,204,178,188,1,0.449214
data/T_5.txt,4,204,178,188,1,0.470775
data/T_5.txt,5,204,178,188,1,0.44008
data/T_5.txt,6,204,178,188,1,0.396909
data/T_5.txt,7,204,178,188,1,0.479561
data/T_5.txt,8,204,178,188,1,0.435962
data/T_5.txt,9,204,178,188,1,0.469447
data/T_5.txt,10,204,178,188,1,0.464878
data/T_6.txt,1,285,213,213,1,0.452099
data/T_6.txt,2,285,213,213,1,0.423864
data/T_6.txt,3,285,213,213,1,0.403322
data/T_6.txt,4,285,213,213,1,0.445928
data/T_6.txt,5,285,213,213,1,0.443738
data/T_6.txt,6,285,213,213,1,0.456205
data/T_6.txt,7,285,213,213,1,0.453763
data/T_6.txt,8,285,213,213,1,0.441459
data/T_6.txt,9,285,213,213,1,0.436881
data/T_6.txt,10,285,213,213,1,0.392089
data/T_7.txt,1,254,357,357,1,0.451457
data/T_7.txt,2,254,357,357,1,0.440166
data/T_7.txt,3,254,357,357,1,0.445496
data/T_7.txt,4,254,357,357,1,0.443078
data/T_7.txt,5,254,357,357,1,0.373293
data/T_7.txt,6,254,357,357,1,0.414046
data/T_7.txt,7,254,357,357,1,0.444499
data/T_7.txt,8,254,357,357,1,0.448473
data/T_7.txt,9,254,357,357,1,0.442686
data/T_7.txt,10,254,357,357,1,0.425634
data/T_8.txt,1,221,93,93,1,0.442844
data/T_8.txt,2,221,93,93,1,0.445181
data/T_8.txt,3,221,93,93,1,0.447167
data/T_8.txt,4,221,93,93,1,0.409192
data/T_8.txt,5,221,93,93,1,0.436538
data/T_8.txt,6,221,93,93,1,0.427118
data/T_8.txt,7,221,93,93,1,0.447565
data/T_8.txt,8,221,93,93,1,0.441411
data/T_8.txt,9,221,93,93,1,0.42843
data/T_8.txt,10,221,93,93,1,0.436751
data/T_9.txt,1,253,270,270,1,0.441185
data/T_9.txt,2,253,270,270,1,0.43402
data/T_9.txt,3,253,270,270,1,0.425013
data/T_9.txt,4,253,270,270,1,0.416391
data/T_9.txt,5,253,270,270,1,0.443217
data/T_9.txt,6,253,270,270,1,0.437934
data/T_9.txt,7,253,270,270,1,0.428343
data/T_9.txt,8,253,270,270,1,0.463864
data/T_9.txt,9,253,270,270,1,0.433684
data/T_9.txt,10,253,270,270,1,0.441178
data/T_10.txt,1,286,378,382,1,0.448509
data/T_10.txt,2,286,378,382,1,0.435445
data/T_10.txt,3,286,378,382,1,0.448039
data/T_10.txt,4,286,378,382,1,0.418135
data/T_10.txt,5,286,378,382,1,0.444559
data/T_10.txt,6,286,378,382,1,0.394991
data/T_10.txt,7,286,378,382,1,0.428018
data/T_10.txt,8,286,378,382,1,0.425032
data/T_10.txt,9,286,378,382,1,0.444057
data/T_10.txt,10,286,378,382,1,0.426207
data/T_11.txt,1,212,161,161,1,0.461469
data/T_11.txt,2,212,161,161,1,0.465619
data/T_11.txt,3,212,161,161,1,0.452949
data/T_11.txt,4,212,161,161,1,0.422623
data/T_11.txt,5,212,161,161,1,0.442305
data/T_11.txt,6,212,161,161,1,0.451489
data/T_11.txt,7,212,161,161,1,0.448582
data/T_11.txt,8,212,161,161,1,0.447411
data/T_11.txt,9,212,161,161,1,0.460245
data/T_11.txt,10,212,161,161,1,0.430832
data/T_12.txt,1,161,187,187,1,0.440842
data/T_12.txt,2,161,187,187,1,0.452471
data/T_12.txt,3,161,187,187,1,0.441507
data/T_12.txt,4,161,187,187,1,0.43809
data/T_12.txt,5,161,187,187,1,0.415625
data/T_12.txt,6,161,187,187,1,0.400453
data/T_12.txt,7,161,187,187,1,0.409114
