iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=17 | T=47239.4 | NewBest=161776 | Δ=2523 | ImproveTotal=1
[IMPROVE] Iter=29 | T=47192.1 | NewBest=161764 | Δ=154 | ImproveTotal=2
[IMPROVE] Iter=36 | T=47144.9 | NewBest=160030 | Δ=1951 | ImproveTotal=3
[IMPROVE] Iter=37 | T=47144.9 | NewBest=157965 | Δ=2065 | ImproveTotal=4
[IMPROVE] Iter=89 | T=46909.7 | NewBest=156346 | Δ=1773 | ImproveTotal=5
[IMPROVE] Iter=90 | T=46909.7 | NewBest=156339 | Δ=7 | ImproveTotal=6
[IMPROVE] Iter=98 | T=46862.8 | NewBest=155273 | Δ=1345 | ImproveTotal=7
[IMPROVE] Iter=104 | T=46815.9 | NewBest=152340 | Δ=3032 | ImproveTotal=8
[IMPROVE] Iter=110 | T=46815.9 | NewBest=152327 | Δ=65 | ImproveTotal=9
[IMPROVE] Iter=111 | T=46769.1 | NewBest=152165 | Δ=162 | ImproveTotal=10
[IMPROVE] Iter=114 | T=46769.1 | NewBest=152158 | Δ=7 | ImproveTotal=11
[IMPROVE] Iter=124 | T=46722.3 | NewBest=150454 | Δ=1851 | ImproveTotal=12
[IMPROVE] Iter=127 | T=46722.3 | NewBest=149532 | Δ=1084 | ImproveTotal=13
[IMPROVE] Iter=128 | T=46722.3 | NewBest=149512 | Δ=20 | ImproveTotal=14
[IMPROVE] Iter=131 | T=46675.6 | NewBest=149505 | Δ=13 | ImproveTotal=15
[IMPROVE] Iter=132 | T=46675.6 | NewBest=149494 | Δ=11 | ImproveTotal=16
[IMPROVE] Iter=133 | T=46675.6 | NewBest=149490 | Δ=4 | ImproveTotal=17
[IMPROVE] Iter=136 | T=46675.6 | NewBest=148467 | Δ=1029 | ImproveTotal=18
[IMPROVE] Iter=144 | T=46628.9 | NewBest=148455 | Δ=50 | ImproveTotal=19
[IMPROVE] Iter=145 | T=46628.9 | NewBest=148000 | Δ=455 | ImproveTotal=20
[IMPROVE] Iter=147 | T=46628.9 | NewBest=147330 | Δ=670 | ImproveTotal=21
[IMPROVE] Iter=148 | T=46628.9 | NewBest=147154 | Δ=176 | ImproveTotal=22
[IMPROVE] Iter=149 | T=46628.9 | NewBest=147144 | Δ=10 | ImproveTotal=23
[IMPROVE] Iter=153 | T=46582.3 | NewBest=147056 | Δ=145 | ImproveTotal=24
[IMPROVE] Iter=154 | T=46582.3 | NewBest=147026 | Δ=30 | ImproveTotal=25
[IMPROVE] Iter=158 | T=46582.3 | NewBest=147006 | Δ=34 | ImproveTotal=26
[IMPROVE] Iter=159 | T=46582.3 | NewBest=146974 | Δ=32 | ImproveTotal=27
[IMPROVE] Iter=161 | T=46535.7 | NewBest=146899 | Δ=75 | ImproveTotal=28
[IMPROVE] Iter=168 | T=46535.7 | NewBest=144467 | Δ=2645 | ImproveTotal=29
[IMPROVE] Iter=170 | T=46535.7 | NewBest=144450 | Δ=37 | ImproveTotal=30
[IMPROVE] Iter=225 | T=46257.2 | NewBest=143618 | Δ=1267 | ImproveTotal=31
