iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=86 | T=446235 | NewBest=1.54449e+06 | Δ=15104 | ImproveTotal=1
[IMPROVE] Iter=129 | T=444453 | NewBest=1.52986e+06 | Δ=14995 | ImproveTotal=2
[IMPROVE] Iter=138 | T=444008 | NewBest=1.51566e+06 | Δ=14352 | ImproveTotal=3
[IMPROVE] Iter=167 | T=442677 | NewBest=1.50102e+06 | Δ=14870 | ImproveTotal=4
[IMPROVE] Iter=191 | T=441351 | NewBest=1.49741e+06 | Δ=3886 | ImproveTotal=5
[IMPROVE] Iter=222 | T=440028 | NewBest=1.49733e+06 | Δ=458 | ImproveTotal=6
[IMPROVE] Iter=224 | T=440028 | NewBest=1.49604e+06 | Δ=1294 | ImproveTotal=7
[IMPROVE] Iter=262 | T=438270 | NewBest=1.49041e+06 | Δ=6089 | ImproveTotal=8
[IMPROVE] Iter=266 | T=438270 | NewBest=1.4864e+06 | Δ=4015 | ImproveTotal=9
[IMPROVE] Iter=267 | T=438270 | NewBest=1.48634e+06 | Δ=60 | ImproveTotal=10
[IMPROVE] Iter=282 | T=437394 | NewBest=1.47372e+06 | Δ=12972 | ImproveTotal=11
[IMPROVE] Iter=286 | T=437394 | NewBest=1.47371e+06 | Δ=9 | ImproveTotal=12
[IMPROVE] Iter=287 | T=437394 | NewBest=1.46033e+06 | Δ=13381 | ImproveTotal=13
[IMPROVE] Iter=320 | T=436083 | NewBest=1.45637e+06 | Δ=26415 | ImproveTotal=14
[IMPROVE] Iter=415 | T=431742 | NewBest=1.4428e+06 | Δ=14268 | ImproveTotal=15
[IMPROVE] Iter=467 | T=429588 | NewBest=1.43221e+06 | Δ=140406 | ImproveTotal=16
[IMPROVE] Iter=609 | T=423613 | NewBest=1.43155e+06 | Δ=16178 | ImproveTotal=17
[IMPROVE] Iter=665 | T=421077 | NewBest=1.41825e+06 | Δ=14092 | ImproveTotal=18
[IMPROVE] Iter=667 | T=421077 | NewBest=1.41818e+06 | Δ=78 | ImproveTotal=19
[IMPROVE] Iter=671 | T=420656 | NewBest=1.41808e+06 | Δ=98 | ImproveTotal=20
[IMPROVE] Iter=673 | T=420656 | NewBest=1.41808e+06 | Δ=2 | ImproveTotal=21
[IMPROVE] Iter=675 | T=420656 | NewBest=1.41806e+06 | Δ=17 | ImproveTotal=22
[IMPROVE] Iter=705 | T=419395 | NewBest=1.40451e+06 | Δ=14109 | ImproveTotal=23
[IMPROVE] Iter=726 | T=418557 | NewBest=1.39122e+06 | Δ=13799 | ImproveTotal=24
[IMPROVE] Iter=785 | T=416052 | NewBest=1.37799e+06 | Δ=13529 | ImproveTotal=25
[IMPROVE] Iter=786 | T=416052 | NewBest=1.37788e+06 | Δ=113 | ImproveTotal=26
[IMPROVE] Iter=790 | T=416052 | NewBest=1.36783e+06 | Δ=10167 | ImproveTotal=27
[IMPROVE] Iter=895 | T=411498 | NewBest=1.36047e+06 | Δ=8042 | ImproveTotal=28
[IMPROVE] Iter=897 | T=411498 | NewBest=1.34865e+06 | Δ=11833 | ImproveTotal=29
[IMPROVE] Iter=907 | T=411087 | NewBest=1.3486e+06 | Δ=54 | ImproveTotal=30
[IMPROVE] Iter=919 | T=410676 | NewBest=1.33538e+06 | Δ=13312 | ImproveTotal=31
[IMPROVE] Iter=965 | T=408626 | NewBest=1.33339e+06 | Δ=2097 | ImproveTotal=32
[IMPROVE] Iter=966 | T=408626 | NewBest=1.33339e+06 | Δ=3 | ImproveTotal=33
[IMPROVE] Iter=967 | T=408626 | NewBest=1.33332e+06 | Δ=70 | ImproveTotal=34
[IMPROVE] Iter=1082 | T=403750 | NewBest=1.32584e+06 | Δ=9474 | ImproveTotal=35
[IMPROVE] Iter=1146 | T=401333 | NewBest=1.31284e+06 | Δ=369809 | ImproveTotal=36
[IMPROVE] Iter=1147 | T=401333 | NewBest=1.31276e+06 | Δ=87 | ImproveTotal=37
[IMPROVE] Iter=1160 | T=400932 | NewBest=1.31268e+06 | Δ=87 | ImproveTotal=38
[IMPROVE] Iter=1175 | T=400130 | NewBest=1.30612e+06 | Δ=57712 | ImproveTotal=39
[IMPROVE] Iter=1179 | T=400130 | NewBest=1.30611e+06 | Δ=11 | ImproveTotal=40
[IMPROVE] Iter=1218 | T=398532 | NewBest=1.29758e+06 | Δ=9060 | ImproveTotal=41
[IMPROVE] Iter=1253 | T=396941 | NewBest=1.28539e+06 | Δ=12676 | ImproveTotal=42
[IMPROVE] Iter=1255 | T=396941 | NewBest=1.28533e+06 | Δ=57 | ImproveTotal=43
[IMPROVE] Iter=1257 | T=396941 | NewBest=1.28523e+06 | Δ=96 | ImproveTotal=44
[IMPROVE] Iter=1271 | T=396147 | NewBest=1.28441e+06 | Δ=1068 | ImproveTotal=45
[IMPROVE] Iter=1274 | T=396147 | NewBest=1.28437e+06 | Δ=46 | ImproveTotal=46
[IMPROVE] Iter=1277 | T=396147 | NewBest=1.28429e+06 | Δ=76 | ImproveTotal=47
[IMPROVE] Iter=1329 | T=394170 | NewBest=1.28398e+06 | Δ=841 | ImproveTotal=48
[IMPROVE] Iter=1349 | T=393382 | NewBest=1.27096e+06 | Δ=13058 | ImproveTotal=49
[IMPROVE] Iter=1458 | T=389077 | NewBest=1.26653e+06 | Δ=5128 | ImproveTotal=50
[IMPROVE] Iter=1488 | T=387911 | NewBest=1.26154e+06 | Δ=5550 | ImproveTotal=51
[IMPROVE] Iter=1489 | T=387911 | NewBest=1.26154e+06 | Δ=1 | ImproveTotal=52
[IMPROVE] Iter=1490 | T=387911 | NewBest=1.26152e+06 | Δ=17 | ImproveTotal=53
[IMPROVE] Iter=1506 | T=387135 | NewBest=1.26152e+06 | Δ=14 | ImproveTotal=54
[IMPROVE] Iter=1507 | T=387135 | NewBest=1.26138e+06 | Δ=140 | ImproveTotal=55
[IMPROVE] Iter=1510 | T=387135 | NewBest=1.25427e+06 | Δ=7426 | ImproveTotal=56
[IMPROVE] Iter=1532 | T=385975 | NewBest=1.24547e+06 | Δ=9106 | ImproveTotal=57
[IMPROVE] Iter=1547 | T=385589 | NewBest=1.24511e+06 | Δ=16102 | ImproveTotal=58
[IMPROVE] Iter=1555 | T=385203 | NewBest=1.2451e+06 | Δ=14 | ImproveTotal=59
[IMPROVE] Iter=1619 | T=382898 | NewBest=1.24505e+06 | Δ=744030 | ImproveTotal=60
[IMPROVE] Iter=1627 | T=382515 | NewBest=1.24505e+06 | Δ=3 | ImproveTotal=61
[IMPROVE] Iter=1631 | T=382133 | NewBest=1.23586e+06 | Δ=9189 | ImproveTotal=62
[IMPROVE] Iter=1638 | T=382133 | NewBest=1.22642e+06 | Δ=9444 | ImproveTotal=63
[IMPROVE] Iter=1668 | T=380987 | NewBest=1.21614e+06 | Δ=10522 | ImproveTotal=64
[IMPROVE] Iter=1684 | T=380226 | NewBest=1.21245e+06 | Δ=51123 | ImproveTotal=65
[IMPROVE] Iter=1694 | T=379846 | NewBest=1.20014e+06 | Δ=12343 | ImproveTotal=66
[IMPROVE] Iter=1726 | T=378707 | NewBest=1.20006e+06 | Δ=105824 | ImproveTotal=67
[IMPROVE] Iter=1728 | T=378707 | NewBest=1.1979e+06 | Δ=2160 | ImproveTotal=68
[IMPROVE] Iter=1734 | T=378328 | NewBest=1.19343e+06 | Δ=4470 | ImproveTotal=69
[IMPROVE] Iter=1736 | T=378328 | NewBest=1.19342e+06 | Δ=15 | ImproveTotal=70
[IMPROVE] Iter=1754 | T=377572 | NewBest=1.18316e+06 | Δ=10401 | ImproveTotal=71
[IMPROVE] Iter=1759 | T=377572 | NewBest=1.18311e+06 | Δ=71 | ImproveTotal=72
[IMPROVE] Iter=1769 | T=377195 | NewBest=1.17513e+06 | Δ=8101 | ImproveTotal=73
[IMPROVE] Iter=1785 | T=376441 | NewBest=1.16318e+06 | Δ=12009 | ImproveTotal=74
[IMPROVE] Iter=1840 | T=374562 | NewBest=1.15299e+06 | Δ=10444 | ImproveTotal=75
[IMPROVE] Iter=1841 | T=374188 | NewBest=1.14875e+06 | Δ=4243 | ImproveTotal=76
[IMPROVE] Iter=1853 | T=373813 | NewBest=1.14874e+06 | Δ=53 | ImproveTotal=77
[IMPROVE] Iter=1918 | T=371576 | NewBest=1.1376e+06 | Δ=11680 | ImproveTotal=78
[IMPROVE] Iter=1922 | T=371205 | NewBest=1.12586e+06 | Δ=11804 | ImproveTotal=79
[IMPROVE] Iter=1938 | T=370833 | NewBest=1.12576e+06 | Δ=1.15524e+06 | ImproveTotal=80
[IMPROVE] Iter=1939 | T=370833 | NewBest=1.12576e+06 | Δ=1 | ImproveTotal=81
[IMPROVE] Iter=1955 | T=370092 | NewBest=1.11412e+06 | Δ=11680 | ImproveTotal=82
[IMPROVE] Iter=2006 | T=368245 | NewBest=1.11268e+06 | Δ=1964 | ImproveTotal=83
[IMPROVE] Iter=2022 | T=367509 | NewBest=1.104e+06 | Δ=8954 | ImproveTotal=84
[IMPROVE] Iter=2024 | T=367509 | NewBest=1.104e+06 | Δ=8 | ImproveTotal=85
[IMPROVE] Iter=2027 | T=367509 | NewBest=1.10399e+06 | Δ=3 | ImproveTotal=86
[IMPROVE] Iter=2034 | T=367142 | NewBest=1.10392e+06 | Δ=71 | ImproveTotal=87
[IMPROVE] Iter=2104 | T=364579 | NewBest=1.09393e+06 | Δ=572394 | ImproveTotal=88
[IMPROVE] Iter=2122 | T=363851 | NewBest=1.09391e+06 | Δ=57 | ImproveTotal=89
[IMPROVE] Iter=2168 | T=362397 | NewBest=1.08297e+06 | Δ=11468 | ImproveTotal=90
[IMPROVE] Iter=2172 | T=362035 | NewBest=1.08289e+06 | Δ=78 | ImproveTotal=91
[IMPROVE] Iter=2200 | T=361311 | NewBest=1.07715e+06 | Δ=6068 | ImproveTotal=92
[IMPROVE] Iter=2230 | T=360228 | NewBest=1.06807e+06 | Δ=9399 | ImproveTotal=93
[IMPROVE] Iter=2234 | T=359868 | NewBest=1.06805e+06 | Δ=35 | ImproveTotal=94
[IMPROVE] Iter=2312 | T=356999 | NewBest=1.06676e+06 | Δ=2840 | ImproveTotal=95
[IMPROVE] Iter=2313 | T=356999 | NewBest=1.06673e+06 | Δ=31 | ImproveTotal=96
[IMPROVE] Iter=2314 | T=356999 | NewBest=1.06664e+06 | Δ=88 | ImproveTotal=97
[IMPROVE] Iter=2401 | T=353799 | NewBest=1.06406e+06 | Δ=4911 | ImproveTotal=98
[IMPROVE] Iter=2403 | T=353799 | NewBest=1.06404e+06 | Δ=12 | ImproveTotal=99
[IMPROVE] Iter=2409 | T=353799 | NewBest=1.06404e+06 | Δ=1 | ImproveTotal=100
[IMPROVE] Iter=2412 | T=353445 | NewBest=1.06401e+06 | Δ=35 | ImproveTotal=101
[IMPROVE] Iter=2416 | T=353445 | NewBest=1.06392e+06 | Δ=129 | ImproveTotal=102
[IMPROVE] Iter=2470 | T=351682 | NewBest=1.05374e+06 | Δ=11030 | ImproveTotal=103
[IMPROVE] Iter=2471 | T=351330 | NewBest=1.0536e+06 | Δ=137 | ImproveTotal=104
[IMPROVE] Iter=2475 | T=351330 | NewBest=1.05342e+06 | Δ=393 | ImproveTotal=105
[IMPROVE] Iter=2476 | T=351330 | NewBest=1.05331e+06 | Δ=112 | ImproveTotal=106
[IMPROVE] Iter=2668 | T=344714 | NewBest=1.04983e+06 | Δ=5424 | ImproveTotal=107
[IMPROVE] Iter=2671 | T=344370 | NewBest=1.03888e+06 | Δ=11050 | ImproveTotal=108
[IMPROVE] Iter=2680 | T=344370 | NewBest=1.0388e+06 | Δ=127 | ImproveTotal=109
[IMPROVE] Iter=2692 | T=343681 | NewBest=1.03688e+06 | Δ=1950 | ImproveTotal=110
[IMPROVE] Iter=2773 | T=340941 | NewBest=1.02954e+06 | Δ=8591 | ImproveTotal=111
[IMPROVE] Iter=2793 | T=340260 | NewBest=1.02026e+06 | Δ=9362 | ImproveTotal=112
[IMPROVE] Iter=2797 | T=340260 | NewBest=1.02003e+06 | Δ=236 | ImproveTotal=113
[IMPROVE] Iter=2801 | T=339920 | NewBest=1.01998e+06 | Δ=52 | ImproveTotal=114
[IMPROVE] Iter=2806 | T=339920 | NewBest=1.01996e+06 | Δ=14 | ImproveTotal=115
[IMPROVE] Iter=2807 | T=339920 | NewBest=1.01991e+06 | Δ=53 | ImproveTotal=116
[IMPROVE] Iter=2827 | T=339240 | NewBest=1.01945e+06 | Δ=1198 | ImproveTotal=117
[IMPROVE] Iter=2858 | T=338223 | NewBest=1.01931e+06 | Δ=218 | ImproveTotal=118
[IMPROVE] Iter=2859 | T=338223 | NewBest=1.01926e+06 | Δ=43 | ImproveTotal=119
[IMPROVE] Iter=2860 | T=338223 | NewBest=1.01926e+06 | Δ=8 | ImproveTotal=120
[IMPROVE] Iter=2870 | T=337885 | NewBest=1.01373e+06 | Δ=5574 | ImproveTotal=121
[IMPROVE] Iter=2871 | T=337547 | NewBest=1.01372e+06 | Δ=15 | ImproveTotal=122
[IMPROVE] Iter=2991 | T=333519 | NewBest=1.00784e+06 | Δ=6695 | ImproveTotal=123
[IMPROVE] Iter=3137 | T=328880 | NewBest=1.00356e+06 | Δ=4738 | ImproveTotal=124
[IMPROVE] Iter=3196 | T=326912 | NewBest=1.00337e+06 | Δ=336354 | ImproveTotal=125
[IMPROVE] Iter=3207 | T=326585 | NewBest=992934 | Δ=10440 | ImproveTotal=126
[IMPROVE] Iter=3265 | T=324630 | NewBest=983597 | Δ=10267 | ImproveTotal=127
[IMPROVE] Iter=3274 | T=324305 | NewBest=983552 | Δ=92 | ImproveTotal=128
[IMPROVE] Iter=3363 | T=321398 | NewBest=983331 | Δ=2501 | ImproveTotal=129
[IMPROVE] Iter=3411 | T=319795 | NewBest=980285 | Δ=4441 | ImproveTotal=130
[IMPROVE] Iter=3412 | T=319795 | NewBest=980251 | Δ=34 | ImproveTotal=131
[IMPROVE] Iter=3416 | T=319795 | NewBest=980134 | Δ=145 | ImproveTotal=132
[IMPROVE] Iter=3424 | T=319475 | NewBest=978668 | Δ=1466 | ImproveTotal=133
[IMPROVE] Iter=3427 | T=319475 | NewBest=976334 | Δ=2374 | ImproveTotal=134
[IMPROVE] Iter=3432 | T=319155 | NewBest=973981 | Δ=2423 | ImproveTotal=135
[IMPROVE] Iter=3440 | T=319155 | NewBest=973746 | Δ=259 | ImproveTotal=136
[IMPROVE] Iter=3474 | T=317881 | NewBest=973714 | Δ=6015 | ImproveTotal=137
[IMPROVE] Iter=3500 | T=317245 | NewBest=973595 | Δ=238004 | ImproveTotal=138
[IMPROVE] Iter=3516 | T=316611 | NewBest=973418 | Δ=1832 | ImproveTotal=139
[IMPROVE] Iter=3522 | T=316294 | NewBest=973400 | Δ=18 | ImproveTotal=140
[IMPROVE] Iter=3526 | T=316294 | NewBest=973081 | Δ=319 | ImproveTotal=141
[IMPROVE] Iter=3530 | T=316294 | NewBest=972321 | Δ=760 | ImproveTotal=142
[IMPROVE] Iter=3535 | T=315978 | NewBest=972272 | Δ=65 | ImproveTotal=143
[IMPROVE] Iter=3539 | T=315978 | NewBest=972171 | Δ=101 | ImproveTotal=144
[IMPROVE] Iter=3540 | T=315978 | NewBest=972077 | Δ=94 | ImproveTotal=145
[IMPROVE] Iter=3563 | T=315031 | NewBest=971857 | Δ=370020 | ImproveTotal=146
[IMPROVE] Iter=3581 | T=314401 | NewBest=971334 | Δ=14416 | ImproveTotal=147
[IMPROVE] Iter=3588 | T=314401 | NewBest=961389 | Δ=68424 | ImproveTotal=148
[IMPROVE] Iter=3589 | T=314401 | NewBest=961332 | Δ=57 | ImproveTotal=149
[IMPROVE] Iter=3592 | T=314087 | NewBest=961324 | Δ=8 | ImproveTotal=150
[IMPROVE] Iter=3593 | T=314087 | NewBest=961258 | Δ=66 | ImproveTotal=151
[IMPROVE] Iter=3623 | T=313146 | NewBest=958379 | Δ=3485 | ImproveTotal=152
[IMPROVE] Iter=3627 | T=313146 | NewBest=958361 | Δ=18 | ImproveTotal=153
[IMPROVE] Iter=3629 | T=313146 | NewBest=958279 | Δ=82 | ImproveTotal=154
[IMPROVE] Iter=3636 | T=312832 | NewBest=958107 | Δ=245135 | ImproveTotal=155
[IMPROVE] Iter=3660 | T=312207 | NewBest=957897 | Δ=22017 | ImproveTotal=156
