iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=54 | T=153388 | NewBest=530065 | Δ=4820 | ImproveTotal=1
[IMPROVE] Iter=170 | T=151710 | NewBest=526520 | Δ=5013 | ImproveTotal=2
[IMPROVE] Iter=212 | T=150953 | NewBest=520493 | Δ=6381 | ImproveTotal=3
[IMPROVE] Iter=385 | T=148407 | NewBest=516529 | Δ=7748 | ImproveTotal=4
[IMPROVE] Iter=392 | T=148258 | NewBest=516514 | Δ=15 | ImproveTotal=5
[IMPROVE] Iter=411 | T=147962 | NewBest=511084 | Δ=5617 | ImproveTotal=6
[IMPROVE] Iter=414 | T=147962 | NewBest=504018 | Δ=7066 | ImproveTotal=7
[IMPROVE] Iter=436 | T=147666 | NewBest=496771 | Δ=7747 | ImproveTotal=8
[IMPROVE] Iter=437 | T=147666 | NewBest=492475 | Δ=4296 | ImproveTotal=9
[IMPROVE] Iter=508 | T=146636 | NewBest=492284 | Δ=1016 | ImproveTotal=10
[IMPROVE] Iter=513 | T=146489 | NewBest=492282 | Δ=60 | ImproveTotal=11
[IMPROVE] Iter=532 | T=146196 | NewBest=492149 | Δ=11204 | ImproveTotal=12
[IMPROVE] Iter=550 | T=146050 | NewBest=485985 | Δ=7284 | ImproveTotal=13
[IMPROVE] Iter=555 | T=145904 | NewBest=485973 | Δ=12 | ImproveTotal=14
[IMPROVE] Iter=556 | T=145904 | NewBest=485924 | Δ=49 | ImproveTotal=15
[IMPROVE] Iter=561 | T=145758 | NewBest=483070 | Δ=3034 | ImproveTotal=16
[IMPROVE] Iter=685 | T=144019 | NewBest=482183 | Δ=2078 | ImproveTotal=17
[IMPROVE] Iter=687 | T=144019 | NewBest=482174 | Δ=9 | ImproveTotal=18
[IMPROVE] Iter=688 | T=144019 | NewBest=482117 | Δ=57 | ImproveTotal=19
[IMPROVE] Iter=700 | T=143875 | NewBest=482084 | Δ=65 | ImproveTotal=20
[IMPROVE] Iter=717 | T=143587 | NewBest=482046 | Δ=48 | ImproveTotal=21
[IMPROVE] Iter=723 | T=143443 | NewBest=482011 | Δ=35 | ImproveTotal=22
[IMPROVE] Iter=726 | T=143443 | NewBest=481880 | Δ=131 | ImproveTotal=23
[IMPROVE] Iter=779 | T=142728 | NewBest=480342 | Δ=75875 | ImproveTotal=24
[IMPROVE] Iter=785 | T=142585 | NewBest=480276 | Δ=66 | ImproveTotal=25
[IMPROVE] Iter=912 | T=140742 | NewBest=477677 | Δ=3610 | ImproveTotal=26
[IMPROVE] Iter=920 | T=140742 | NewBest=474513 | Δ=180037 | ImproveTotal=27
[IMPROVE] Iter=942 | T=140321 | NewBest=469803 | Δ=72143 | ImproveTotal=28
[IMPROVE] Iter=965 | T=140040 | NewBest=468841 | Δ=173983 | ImproveTotal=29
[IMPROVE] Iter=967 | T=140040 | NewBest=464792 | Δ=4100 | ImproveTotal=30
[IMPROVE] Iter=978 | T=139900 | NewBest=458429 | Δ=6773 | ImproveTotal=31
[IMPROVE] Iter=1054 | T=138785 | NewBest=456897 | Δ=2526 | ImproveTotal=32
[IMPROVE] Iter=1081 | T=138369 | NewBest=452447 | Δ=5067 | ImproveTotal=33
[IMPROVE] Iter=1113 | T=137954 | NewBest=446079 | Δ=6481 | ImproveTotal=34
[IMPROVE] Iter=1115 | T=137954 | NewBest=445999 | Δ=80 | ImproveTotal=35
[IMPROVE] Iter=1129 | T=137816 | NewBest=439351 | Δ=6722 | ImproveTotal=36
[IMPROVE] Iter=1132 | T=137678 | NewBest=439299 | Δ=52 | ImproveTotal=37
[IMPROVE] Iter=1139 | T=137678 | NewBest=438407 | Δ=2085 | ImproveTotal=38
[IMPROVE] Iter=1140 | T=137678 | NewBest=438363 | Δ=44 | ImproveTotal=39
[IMPROVE] Iter=1144 | T=137541 | NewBest=433445 | Δ=4918 | ImproveTotal=40
[IMPROVE] Iter=1160 | T=137403 | NewBest=433424 | Δ=212 | ImproveTotal=41
[IMPROVE] Iter=1166 | T=137266 | NewBest=433420 | Δ=4 | ImproveTotal=42
[IMPROVE] Iter=1180 | T=137128 | NewBest=428447 | Δ=162451 | ImproveTotal=43
[IMPROVE] Iter=1235 | T=136308 | NewBest=425110 | Δ=6624 | ImproveTotal=44
