cooling_rate,adaptation_rate,block_param,reset_threshold,phi1,phi2,penalty_factor,t0_factor,best,worst,avg,stddev
0.999900,0.100000,0.400000,300,0.850000,0.600000,50.000000,0.200000,22801.000000,22857.000000,22822.300000,18.852321
0.999900,0.100000,0.100000,300,0.800000,0.700000,50.000000,0.200000,22793.000000,22905.000000,22841.300000,31.790093
0.999900,0.120000,0.100000,300,0.800000,0.700000,50.000000,0.200000,22804.000000,22862.000000,22832.900000,17.478272
0.999900,0.180000,0.100000,300,0.800000,0.700000,50.000000,0.200000,22798.000000,22875.000000,22827.500000,21.671410
0.999900,0.200000,0.100000,300,0.800000,0.700000,50.000000,0.200000,22806.000000,22873.000000,22839.800000,22.283626
0.999900,0.150000,0.050000,300,0.800000,0.700000,50.000000,0.200000,22786.000000,22864.000000,22818.900000,25.093625
0.999900,0.150000,0.080000,300,0.800000,0.700000,50.000000,0.200000,22787.000000,22837.000000,22807.900000,15.319595
0.999900,0.150000,0.150000,300,0.800000,0.700000,50.000000,0.200000,22799.000000,22879.000000,22838.900000,23.274235
0.999900,0.150000,0.200000,300,0.800000,0.700000,50.000000,0.200000,22814.000000,22914.000000,22853.400000,34.966269
0.999900,0.150000,0.100000,200,0.800000,0.700000,50.000000,0.200000,22808.000000,22912.000000,22848.600000,29.846943
0.999900,0.150000,0.100000,250,0.800000,0.700000,50.000000,0.200000,22821.000000,22892.000000,22849.700000,24.364113
0.999900,0.150000,0.100000,400,0.800000,0.700000,50.000000,0.200000,22799.000000,22881.000000,22840.600000,30.809739
0.999900,0.150000,0.100000,500,0.800000,0.700000,50.000000,0.200000,22804.000000,22881.000000,22831.400000,24.257782
0.999900,0.150000,0.100000,300,0.750000,0.700000,50.000000,0.200000,22787.000000,22898.000000,22836.000000,40.415344
0.999900,0.150000,0.100000,300,0.850000,0.700000,50.000000,0.200000,22803.000000,22881.000000,22837.400000,25.714587
0.999900,0.150000,0.100000,300,0.900000,0.700000,50.000000,0.200000,22790.000000,22875.000000,22829.800000,25.482543
0.999900,0.150000,0.100000,300,0.800000,0.500000,50.000000,0.200000,22801.000000,22897.000000,22841.000000,28.347839
0.999900,0.150000,0.100000,300,0.800000,0.600000,50.000000,0.200000,22793.000000,22872.000000,22825.300000,28.611361
0.999900,0.150000,0.100000,300,0.800000,0.800000,50.000000,0.200000,22800.000000,22872.000000,22840.600000,18.895502
0.999900,0.150000,0.100000,300,0.800000,0.700000,30.000000,0.200000,22793.000000,22895.000000,22844.500000,23.934285
0.999900,0.150000,0.100000,300,0.800000,0.700000,75.000000,0.200000,22800.000000,22981.000000,22851.500000,48.637948
0.999900,0.150000,0.100000,300,0.800000,0.700000,100.000000,0.200000,22807.000000,22903.000000,22855.000000,31.670175
0.999900,0.150000,0.100000,300,0.800000,0.700000,50.000000,0.150000,22783.000000,22889.000000,22838.000000,28.209927
0.999900,0.150000,0.100000,300,0.800000,0.700000,50.000000,0.250000,22796.000000,22955.000000,22840.700000,42.379358
0.999900,0.150000,0.100000,300,0.800000,0.700000,50.000000,0.300000,22807.000000,22938.000000,22847.000000,46.919079
0.999900,0.120000,0.080000,300,0.850000,0.600000,50.000000,0.200000,22796.000000,22837.000000,22815.300000,12.625767
0.999900,0.180000,0.150000,300,0.800000,0.800000,75.000000,0.250000,22791.000000,22872.000000,22836.300000,24.182845
