iter,phase,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
26,0,47192.1,164780,162322,162322,-2458,1,0
31,0,47144.9,162349,158934,158934,-3415,2,0
32,0,47144.9,158934,158925,158925,-9,3,0
116,0,46769.1,210693,156092,156092,-54601,4,0
182,0,46442.7,157067,155216,155216,-1851,5,0
183,0,46442.7,155216,155140,155140,-76,6,0
185,0,46442.7,155144,155101,155101,-43,7,0
186,0,46442.7,155101,151956,151956,-3145,8,0
225,0,46257.2,152627,151497,151497,-1130,9,0
230,0,46257.2,151518,151496,151496,-22,10,0
232,0,46210.9,151496,151474,151474,-22,11,0
234,0,46210.9,151474,151445,151445,-29,12,0
245,0,46164.7,151494,148666,148666,-2828,13,0
298,0,45934.4,151100,148203,148203,-2897,14,0
300,0,45934.4,148203,148157,148157,-46,15,0
396,0,45477.1,148439,148075,148075,-364,16,0
411,0,45386.2,148099,147986,147986,-113,17,0
412,0,45386.2,147986,147917,147917,-69,18,0
416,0,45386.2,147917,147735,147735,-182,19,0
419,0,45386.2,147735,147640,147640,-95,20,0
429,0,45340.8,147988,146186,146186,-1802,21,0
431,0,45295.4,146186,146182,146182,-4,22,0
432,0,45295.4,146182,145952,145952,-230,23,0
473,0,45114.5,147573,144863,144863,-2710,24,0
497,0,45024.3,145189,142622,142622,-2567,25,0
549,0,44799.7,144210,142180,142180,-2030,26,0
566,0,44710.1,150387,140523,140523,-9864,27,0
576,0,44665.4,140544,140482,140482,-62,28,0
675,0,44220.8,140488,140435,140435,-53,29,0
676,0,44220.8,140435,140390,140390,-45,30,0
703,0,44088.2,140408,140335,140335,-73,31,0
708,0,44088.2,140713,140232,140232,-481,32,0
710,0,44088.2,140232,140167,140167,-65,33,0
716,0,44044.1,140184,140149,140149,-35,34,0
2623,1,18172.6,140408,139967,139967,-441,35,0
2630,1,18172.6,143439,139387,139387,-4052,36,0
2644,1,18136.3,147794,139380,139380,-8414,37,0
2648,1,18136.3,139691,138697,138697,-994,38,0
2650,1,18136.3,138697,138454,138454,-243,39,0
2651,1,18118.2,138454,138379,138379,-75,40,0
2654,1,18118.2,138468,138324,138324,-144,41,0
2662,1,18100.1,138405,138243,138243,-162,42,0
2685,1,18063.9,138823,137957,137957,-866,43,0
2686,1,18063.9,137957,136719,136719,-1238,44,0
2687,1,18063.9,136719,136659,136659,-60,45,0
2709,1,18027.8,137039,136517,136517,-522,46,0
2710,1,18027.8,136517,136515,136515,-2,47,0
2711,1,18009.7,136515,136415,136415,-100,48,0
2712,1,18009.7,136415,136170,136170,-245,49,0
2713,1,18009.7,136170,135617,135617,-553,50,0
2725,1,17991.7,136257,135397,135397,-860,51,0
2727,1,17991.7,135696,135039,135039,-657,52,0
2770,1,17919.9,135046,134922,134922,-124,53,0
2771,1,17901.9,134922,134918,134918,-4,54,0
2772,1,17901.9,134918,134528,134528,-390,55,0
2774,1,17901.9,134551,133643,133643,-908,56,0
2775,1,17901.9,133643,133596,133596,-47,57,0
2776,1,17901.9,133596,133067,133067,-529,58,0
2781,1,17884,133939,132913,132913,-1026,59,0
2782,1,17884,132913,131811,131811,-1102,60,0
2783,1,17884,131811,131714,131714,-97,61,0
2898,1,17688.3,131726,131396,131396,-330,62,0
2899,1,17688.3,131396,131266,131266,-130,63,0
2900,1,17688.3,131266,131145,131145,-121,64,0
2901,1,17670.6,131145,131129,131129,-16,65,0
2902,1,17670.6,131129,130955,130955,-174,66,0
2904,1,17670.6,131144,130834,130834,-310,67,0
2906,1,17670.6,130887,130742,130742,-145,68,0
2907,1,17670.6,130742,130688,130688,-54,69,0
2908,1,17670.6,130688,130671,130671,-17,70,0
2910,1,17670.6,130671,130597,130597,-74,71,0
2915,1,17652.9,130867,130543,130543,-324,72,0
2916,1,17652.9,130543,130473,130473,-70,73,0
2938,1,17617.7,130560,130434,130434,-126,74,0
2939,1,17617.7,130434,130430,130430,-4,75,0
2940,1,17617.7,130430,130345,130345,-85,76,0
2946,1,17600,130516,129634,129634,-882,77,0
2947,1,17600,129634,129574,129574,-60,78,0
2984,1,17529.7,130438,129297,129297,-1141,79,0
3010,1,17494.7,129314,128588,128588,-726,80,0
3011,1,17477.2,128588,128560,128560,-28,81,0
3012,1,17477.2,128560,128511,128511,-49,82,0
3014,1,17477.2,128511,128107,128107,-404,83,0
3018,1,17477.2,128243,128066,128066,-177,84,0
3023,1,17459.7,128262,127992,127992,-270,85,0
3024,1,17459.7,127992,127983,127983,-9,86,0
3026,1,17459.7,128003,127941,127941,-62,87,0
3028,1,17459.7,128022,127596,127596,-426,88,0
3029,1,17459.7,127596,127464,127464,
